TEMA;TEMA NOMBRE;ENTIDAD;ENTIDAD NOMBRE;ELEMENTO;ELEMENTO NOMBRE;NOMBRE;NIVEL
1;"Red Topográfica";8;"Vértice de la Red de Nivelación";343;"Símbolo de Vértice de Red de Nivelación";"01_vertice_nivelacion_a.shp";"01008343"
1;"Red Topográfica";8;"Vértice de la Red de Nivelación";343;"Símbolo de Vértice de Red de Nivelación";"01_vertice_nivelacion_a.shp";"01008343"
1;"Red Topográfica";7;"Vértice de la Red Topográfica";5;"Símbolo de Vértice";"01_rtm_vertices_pt.shp";"01007005"
1;"Red Topográfica";7;"Vértice de la Red Topográfica";804;"Texto de vértice de la red topográfica";"01_rtm_vertices_a.shp";"01007804"
2;"Divisiones administrativas";12;"Barrio Municipal";346;"Límite de barrio Municipal";"02_barrio_l.shp";"02012346"
2;"Divisiones administrativas";12;"Barrio Municipal";705;"Rotulación de barrios por hojas 5000";"02_barrio_5000_a.shp";"02012705"
2;"Divisiones administrativas";11;"Distrito Municipal";345;"Límite de distrito";"02_distrito_l.shp";"02011345"
2;"Divisiones administrativas";11;"Distrito Municipal";704;"Rótulo de distrito 5000";"02_distrito_5000_a.shp";"02011704"
2;"Divisiones administrativas";10;"Límite de Municipio";6;"Línea de término municipal";"02_limite_municipio_l.shp";"02010006"
2;"Divisiones administrativas";10;"Límite de Municipio";442;"Texto de municipio";"02_texto_municipio_a.shp";"02010442"
2;"Divisiones administrativas";16;"Límite de Término Municipal colindante";17;"Línea de término municipal colindante";"02_municipios_colindantes_l.shp";"02016017"
2;"Divisiones administrativas";16;"Límite de Término Municipal colindante";18;"Rótulo de término municipal colindante por Hoja 5000";"02_municipios_colindates_a.shp";"02016018"
3;"Edificaciones, construcciones y cerramientos";18;"Cerramiento sin especificar";20;"Línea de cerramiento sin especificar";"03_cerramiento_sin_especificar_l.shp";"03018020"
3;"Edificaciones, construcciones y cerramientos";182;"Depósito";707;"Línea de depósito";"03_deposito_l.shp";"03182707"
3;"Edificaciones, construcciones y cerramientos";182;"Depósito";706;"Recinto de depósito";"03_deposito_p.shp";"03182706"
3;"Edificaciones, construcciones y cerramientos";34;"Depósito elevado";745;"Etiqueta de depósito elevado restitución";"03_deposito_elevado_pt.shp";"03034745"
3;"Edificaciones, construcciones y cerramientos";34;"Depósito elevado";307;"Línea de depósito elevado";"03_deposito_elevado_l.shp";"03034307"
3;"Edificaciones, construcciones y cerramientos";34;"Depósito elevado";48;"Recinto de depósito elevado";"03_deposito_elevado_p.shp";"03034048"
3;"Edificaciones, construcciones y cerramientos";28;"Edificio";758;"Línea de edificio";"03_edificio_l.shp";"03028758"
3;"Edificaciones, construcciones y cerramientos";28;"Edificio";36;"Línea de fachada de edificio";"03_edificio_fachada_l.shp";"03028036"
3;"Edificaciones, construcciones y cerramientos";28;"Edificio";37;"Recinto de edificio";"03_edificio_p.shp";"03028037"
3;"Edificaciones, construcciones y cerramientos";21;"Edificio en construcción";23;"Línea de edificio en construcción";"03_edificio_en_construccion_l.shp";"03021023"
3;"Edificaciones, construcciones y cerramientos";21;"Edificio en construcción";24;"Recinto de edificio en construcción";"03_edificio_en_construccion_p.shp";"03021024"
3;"Edificaciones, construcciones y cerramientos";22;"Edificio indefinido";26;"Línea de edificio indefinido";"03_edificio_indefinido_l.shp";"03022026"
3;"Edificaciones, construcciones y cerramientos";22;"Edificio indefinido";28;"Póligono de edificio indefinido";"03_edificio_indefinido_p.shp";"03022028"
3;"Edificaciones, construcciones y cerramientos";23;"Escalera";803;"Línea de escalera representativa";"03_escalera_5000_l.shp";"03023803"
3;"Edificaciones, construcciones y cerramientos";25;"Marquesina";31;"Línea de marquesina";"03_marquesina_l.shp";"03025031"
3;"Edificaciones, construcciones y cerramientos";25;"Marquesina";32;"Recinto de marquesina";"03_marquesina_p.shp";"03025032"
3;"Edificaciones, construcciones y cerramientos";138;"Muro, pared, tapia";310;"Línea de muro, pared o tapia";"03_muro_pared_tapia_l.shp";"03138310"
3;"Edificaciones, construcciones y cerramientos";35;"Paso subterráneo o Túnel";49;"Línea de entrada/boca de paso subterráneo o túnel";"03_paso_subterraneo_l.shp";"03035049"
3;"Edificaciones, construcciones y cerramientos";35;"Paso subterráneo o Túnel";326;"Línea de trazado de paso subterráneo o túnel";"03_trazado_tunel_l.shp";"03035326"
3;"Edificaciones, construcciones y cerramientos";32;"Patio";45;"Línea de patio";"03_patio_l.shp";"03032045"
3;"Edificaciones, construcciones y cerramientos";32;"Patio";46;"Recinto de patio";"03_patio_p.shp";"03032046"
3;"Edificaciones, construcciones y cerramientos";202;"Pontón o Alcantarilla";799;"Línea de pontón o alcantarilla";"03_ponton_alcantarilla_l.shp";"03202799"
3;"Edificaciones, construcciones y cerramientos";26;"Porche, caseta, cobertizo";33;"Línea de porche, caseta, cobertizo";"03_porche_caseta_cobertizo_l.shp";"03026033"
3;"Edificaciones, construcciones y cerramientos";26;"Porche, caseta, cobertizo";34;"Recinto de porche, caseta, cobertizo";"03_porche_caseta_cobertizo_p.shp";"03026034"
