"dc:identifier";"dc:modified";"id";"lpgc:anno";"lpgc:edad";"lpgc:sexo";"lpgc:subvencion"
"257813";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257813";"2016";"82";"mujer";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"257838";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257838";"2016";"28";"hombre";"A.E. CONV. CABILDO  "
"257863";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257863";"2016";"63";"mujer";"A.E. CONV. CABILDO  "
"257907";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257907";"2016";"117";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"257923";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257923";"2016";"59";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"257935";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257935";"2016";"34";"hombre";"A.E. CONV. CABILDO  "
"257940";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257940";"2016";"38";"mujer";"A.E. CONV. CABILDO  "
"257945";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257945";"2016";"63";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"257949";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257949";"2016";"44";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"257965";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257965";"2016";"82";"mujer";"TELEASISTENCIA"
"257966";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257966";"2016";"48";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"257979";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257979";"2016";"38";"mujer";"A.E. CONV. CABILDO  "
"258717";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258717";"2016";"55";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"258815";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258815";"2016";"39";"mujer";"A.E. CONV. CABILDO  "
"258853";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258853";"2016";"60";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"258893";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258893";"2016";"47";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"258959";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258959";"2016";"20";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259009";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259009";"2016";"38";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259721";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259721";"2016";"47";"mujer";"A.E. CONV. CABILDO  "
"259853";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259853";"2016";"58";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259881";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259881";"2016";"62";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259891";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259891";"2016";"25";"hombre";"A.E. CONV. CABILDO  "
"259921";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259921";"2016";"51";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259925";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259925";"2016";"78";"hombre";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"259980";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259980";"2016";"31";"mujer";"A.E. CONV. CABILDO  "
"260059";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/260059";"2016";"72";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"260061";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/260061";"2016";"117";"hombre";"A.E. CONV. CABILDO  "
"260074";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/260074";"2016";"41";"hombre";"A.E. CONV. CABILDO  "
"260120";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/260120";"2016";"61";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"260137";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/260137";"2016";"69";"hombre";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"256599";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/256599";"2016";"38";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"256734";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/256734";"2016";"59";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"256918";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/256918";"2016";"81";"mujer";"PRESTACIÓN INDIVIDUAL A PERSONAS MAYORES (PIPM)"
"256919";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/256919";"2016";"54";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"258542";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258542";"2016";"61";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"258543";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258543";"2016";"51";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"258554";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258554";"2016";"26";"mujer";"A.E. CONV. CABILDO  "
"258557";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258557";"2016";"68";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"258568";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258568";"2016";"53";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"258570";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/258570";"2016";"117";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259774";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259774";"2016";"59";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"259843";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259843";"2016";"37";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"259874";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259874";"2016";"37";"mujer";"A.E. CONV. CABILDO  "
"259886";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259886";"2016";"44";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"259893";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259893";"2016";"56";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"259913";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259913";"2016";"73";"hombre";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"259920";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/259920";"2016";"56";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"257534";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257534";"2016";"45";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"257575";"2017-10-29 11:11:47";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2016/257575";"2016";"46";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
