"dc:identifier";"dc:modified";"id";"lpgc:anno";"lpgc:edad";"lpgc:sexo";"lpgc:subvencion"
"266797";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/266797";"2017";"47";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"266822";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/266822";"2017";"117";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267504";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267504";"2017";"65";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267512";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267512";"2017";"48";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267514";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267514";"2017";"45";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267518";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267518";"2017";"46";"hombre";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"267525";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267525";"2017";"52";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267527";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267527";"2017";"63";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267528";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267528";"2017";"46";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267529";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267529";"2017";"61";"mujer";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"267537";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267537";"2017";"34";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267541";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267541";"2017";"57";"hombre";"PRESTACION ECONOMICA DE EMERGENCIA SOCIAL"
"267542";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267542";"2017";"87";"mujer";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"267459";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267459";"2017";"74";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267466";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267466";"2017";"26";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267467";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267467";"2017";"88";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267470";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267470";"2017";"70";"mujer";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"267471";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267471";"2017";"85";"mujer";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"267478";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267478";"2017";"53";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267479";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267479";"2017";"54";"hombre";"A.E. CONV. CABILDO  "
"267481";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267481";"2017";"117";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267482";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267482";"2017";"43";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267485";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267485";"2017";"55";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267489";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267489";"2017";"30";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267494";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267494";"2017";"63";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"267501";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267501";"2017";"42";"mujer";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"267502";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/267502";"2017";"57";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"265382";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265382";"2017";"58";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"265776";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265776";"2017";"43";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"265800";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265800";"2017";"82";"mujer";"SERVICIO DE AYUDA A DOMICILIO (SAD)."
"265803";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265803";"2017";"88";"mujer";"TELEASISTENCIA"
"265808";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265808";"2017";"117";"hombre";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
"265814";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265814";"2017";"44";"mujer";"A.E. CONV. CABILDO  "
"265859";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265859";"2017";"53";"hombre";"PRESTACIÓN CANARIA DE INSERCIÓN. (PCI)"
"265860";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265860";"2017";"53";"hombre";"A.E. CONV. CABILDO  "
"265865";"2017-10-29 11:11:45";"http://datosabiertos.laspalmasgc.es/api/datos/bienestar_social_expedientes_2017/265865";"2017";"117";"mujer";"PRESTACION ECONOMICA DE ESPECIAL NECESIDAD"
