"dc:description";"dc:identifier";"dc:modified";"dc:title";"geo:lat";"geo:long";"id";"lpgc:acceso";"lpgc:accesomapas";"lpgc:categoria";"lpgc:contacto";"lpgc:corriente";"lpgc:dificultad";"lpgc:direccion";"lpgc:lugar";"lpgc:pois";"lpgc:profundidadmaxima";"lpgc:profundidadmedia";"lpgc:servicios";"lpgc:telefono";"lpgc:tiempoestimado";"lpgc:tipo";"lpgc:web"
"Ubicado en el centro de la Avenida Marítima, junto a la playa de las Alcaravaneras, la marina de Las Palmas de Gran Canaria, es la de mayor número de atraques del archipiélago.Dotada con los mejores servicios náuticos y talleres de reparaciones, permite además la práctica de deportes durante todo el año, hecho que lo convierten en un centro náutico único en el mundo. Es el puerto de atraque de la Regata Transatlántica ARC (Atlantic Rally for Cruisers).Es, además, hogar de escuelas de vela latina y cuenta con un centro comercial y de ocio, además de tiendas especializadas en náutica y diferentes locales de restauración.";"315";"2017-10-31 04:04:40";"Muelle deportivo";"28.1233895";"-15.4251244";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/315";"";"";"Muelle deportivo";"";"";"";"";"";"28.1233895,-15.4251244";"";"";"Cajero Automático “Banco Sabadell” en CC SotaventoTeléfono Público en CC. SotaventoAcceso minusválidos (Rampa Playa de Las Alcaravaneras y CC Sotavento)WIFIParking gratuitoServicio de alquiler de bicicletas (Rampa Playa Alcaravaneras)Otros servicios para la tripulación (Baños, aseos, duchas)";"620 341752 // 928 242547";"";"";"http://www.marinalpa.com"
"Centro autorizado por el Gobierno de Canarias.El Centro y Escuela de Buceo Lavy Sub, está situado en el Muelle Deportivo. Ofrece cursos de buceo, bautizos, salidas guiadas por costa o desde embarcación y  visitas a barcos hundidos. Además cuenta con alquiler y recarga de aire. ";"340";"2017-10-31 04:04:40";"Lavy Sub";"28.126447";"-15.427701";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/340";"";"";"Buceo";"";"";"";"Joaquín Blanco Torrent s/n (Muelle Deportivo) Frente Pantalán L-10 35005 Las Palmas de Gran Canaria.";"";"28.126447, -15.427701";"";"";"";"+34 928232530 639076245";"";"escuela";"www.lavysub.com"
"Centro autorizado por el Gobierno de CanariasEl Centro de Buceo 7 Mares está situado a pocos metros de la zona de La Puntilla, en la Playa de Las Canteras de Las Palmas de Gran Canaria. Ofrece bautizos, cursos OWD PADI, de especialidad, de primeros auxilios y nitrox.  ";"341";"2017-10-31 04:04:40";"Siete Mares";"28.147642";"-15.429785";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/341";"";"";"Buceo";"";"";"";"Tenerife 12 35008 Las Palmas de Gran Canaria";"";"28.147642, -15.429785";"";"";"";"+34 928467959 620061028";"";"";"www.7mares.es"
"Centro autorizado por el Gobierno de CanariasOfrece una gran variedad de servicios por y para el buceo, formación tanto en Buceo Recreativo como en Buceo Técnico, alquiler de equipos, inmersiones, reparación de material, viajes organizados...etc   ";"342";"2017-10-31 04:04:40";"Mirafondos";"28.135434";"-15.435662";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/342";"";"";"Buceo";"";"";"";"Galileo 51 35010 Las Palmas de Gran Canaria";"";"28.135434, -15.435662";"";"";"";"+34 928490867 699308576";"";"";"www.mirafondos.com"
"Centro autorizado por el Gobierno de CanariasSituado en el Muelle Deportivo, el centro de Buceo Canarias, ofrece inmersiones durante todo el año: bautizos, iniciaciones en aguas abiertas, cursos avanzados, de stress y rescate y de primeros auxilios y administración de oxígeno.  ";"343";"2017-10-31 04:04:40";"Buceo Canarias";"28.124960";"-15.426662";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/343";"";"";"Buceo";"";"";"";"Joaquín Blanco Torrent s/n frente al pantalán H. 35004 Las Palmas de Gran Canaria.";"";"28.124960, -15.426662";"";"";"";"Tlf.: (+34) 928232085 / (+34) 649893653";"";"";"www.buceocanarias.com"
"Actividades relacionadas con el buceo, para todas las edades desde los 8 años: (bautizos, salidas de buceo, cursos, etc)Las actividades se realizan en la Playa de Las Canterasemail: info@elazuldivecenter.com";"1236";"2017-10-31 04:04:40";"El Azul Dive Center";"28.1387389";"-15.43531889999997";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/1236";"";"";"Buceo";"";"";"";"Calle José Franchy Roca n 56, bajo";"";"28.1387389, -15.43531889999997";"";"";"";"+34 722507007";"";"centro de buceo";"www.elazuldivecenter.com"
"Situada a unos 20 min de navegación del puerto deportivo de Las Palmas de Gran Canaria, justo en frente de la “península del nido”, se sitúa esta espectacular inmersión que destaca por su extraordinaria belleza paisajística.La inmersión comienza en una gran cueva, en cuya parte superior hay un sifón a unos 10 m de profundidad. Las paredes exteriores caen sobre los 45-50 m. Durante el recorrido se van sucediendo inmensas bóvedas, de forma que siempre divisamos varias salidas que crean un paisaje de luces y sombras. El resto del recorrido corresponde a un entramado de pasillos y cuevas. La fauna de esta zona se compone de erizos, nudibranquios, camarones y peces de pequeño tamaño como las bogas, pejeverdes, cabrillas, etc. En la caída exterior, con un poco de suerte, se puede observar algún pelágico, como medregales, bicudas, etc.";"326";"2017-10-31 04:04:40";"La Catedral";"28.1810451";"-15.4164552";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/326";"";"Desde embarcación";"Spots de Buceo";"";"Escasa";"Media";"";"Zona Norte de la Isleta";"28.1810451,-15.4164552";"40m";"20m";"";"";"45 minutos";"";""
"Hay que acceder en embarcación, ya que se encuentra en las inmediaciones de la Bahía del Confital. Se trata de una barra sumergida, entre 15 y 30 m de profundidad.Los materiales de origen sedimentario que la componen se encuentran muy erosionados, dando lugar a formaciones espectaculares y de una gran belleza. Aquí pueden observarse arcos, pasadizos, extraplomos y cornisas. Es un fondo muy irregular que alberga una fauna muy interesante.Se pueden observar ejemplares de anémona gigante y, por la noche, de anémona de bolas naranjas. También abundan los erizos de mar. Los peces están representados por sargos de diferentes especies, algún ejemplar de pejeperro y, con suerte, también podemos ver algún chucho amarillo. En esta inmersión lo más llamativo es el paisaje submarino. ";"324";"2017-10-31 04:04:40";"Baja Fernando";"28.1277161";"-15.4703291";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/324";"";"Desde embarcación";"Spots de Buceo";"";"Escasa";"Media";"";"Bahía del Confital";"28.1277161,-15.4703291";"25m";"18m ";"";"";"45 minutos";"";""
"En 1972, un incendio localizado en la sala de máquinas, provocó que este gigante de 110 m de eslora se hundiera cerca de la potabilizadora de Las Palmas, sobre su costado de estribor. La profundidad oscila entre los 24 y los 36 m. Se encuentra en un relativo buen estado de conservación, ya que mantiene la estructura del casco entera y gran parte de las cubiertas. Aunque es un pecio grande, puede recorrerse en una sola inmersión.Su casco presenta gran cantidad de incrustaciones, pudiendo encontrarse en algunos puntos gorgonias amarillas y rojas. También son interesantes algunos animales típicos de ambientes oscuros que habitan en el interior, como pequeños coralitos y anémonas. En las partes altas, rodeando las torretas, casi siempre hay cardúmenes de pelágicos como las bogas. A éstas les acompañan algún grupo de bicudas y, ocasionalmente, medregales. En los alrededores del casco, podemos encontrar grandes grupos de roncadores y besuguitos, mientras que alimentándose en el fondo pueden verse muchos salmonetes.Municipio Las Palmas de Gran Canaria";"323";"2017-10-31 04:04:40";"Arona";"28.0316009";"-15.3965394";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/323";"";"Desde embarcación";"Spots de Buceo";"";"Escasa";"Media";"";"Bocabarranco";"28.0316009,-15.3965394";"35m";"20m ";"";"";"45 minutos";"";""
"Playa Grande";"330";"2017-10-31 04:04:40";"Playa Grande (snorkel)";"28.1472304";"-15.4322397";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/330";"";"Desde Tierra";"Spots de Buceo";"";"";"Baja";"";"Playa de Las Canteras";"28.1472304,-15.4322397";"5m";"2m";"";"";"";"";""
