"INVENTARIO","NOMBRE","VIAL","CALLE","NUMERO","BAJA"
1,"CASAS CONSISTORIALES","PLAZA","DE SANTA ANA","8","N"
2,"CASA DE LA CULTURA DE TAMARACEITE","CARRETERA","GENERAL A TAMARACEITE","111","N"
3,"SERVICIO MUNICIPAL LIMPIEZA VIARIA DISTRITO CENTRO","CALLE","PAMOCHAMOSO","30","N"
4,"CASA INTERNADO","CALLE","SALVADOR CALDERON","2","N"
6,"ANTIGUA ESTACION PILOTO DE SCHAMANN","CALLE","MARIUCHA","4","N"
7,"CASA EN LA PLAZA DE SANTO DOMINGO - LOCAL SOCIAL","PLAZA","DE SANTO DOMINGO","1","N"
8,"TEATRO PEREZ GALDOS","CALLE","LENTINI","2","N"
9,"CONCEJALIA, SERVICIOS SOCIALES Y U.P. DISTRITO CENTRO","CALLE","ALFONSO XIII","2","N"
10,"ANTIGUA ACADEMIA MUNICIPAL","PLAZA","RSE AMIGOS DEL PAIS","1","N"
11,"OFICINAS MUNICIPALES PLAZA DE LA CONSTITUCION","PLAZA","DE LA CONSTITUCION","2","N"
12,"CASA EN CL. DOMINGO GUERRA DEL RIO  16","CALLE","DOMINGO GUERRA DEL RIO","16","N"
13,"CASA EN CL. MONTESDEOCA  N� 13","CALLE","MONTESDEOCA","13","N"
14,"CASA EN CL.TRIANA  72  (SIN USO)","CALLE","TRIANA","72","N"
15,"ANTIGUA CASA DE MAESTRO EN CL. BRUNO NARANJO DIAZ","CALLE","BRUNO NARANJO DIAZ","19","N"
16,"ANTIGUA CASA DE MAESTRO EN CL. BRUNO NARANJO DIAZ","CALLE","BRUNO NARANJO DIAZ","17","N"
19,"OFICINAS MUNICIPALES CL LEON Y CASTILLO 270","CALLE","LEON Y CASTILLO","270","N"
21,"OFICINA MUNICIPAL DE INFORMACION AL CONSUMIDOR","CALLE","FRANCISCO GONZALEZ DIAZ","2","N"
22,"ANTIGUO PABELLON NORTE HOTEL SANTA CATALINA","CALLE","LEON Y CASTILLO","227A","N"
23,"PUEBLO CANARIO","CALLE","FRANCISCO GONZALEZ DIAZ","6","N"
24,"SOLAR DE LA VIVIENDA DEL GUARDA CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","46","N"
25,"SOLAR 1� VIVIENDA FUNCIONARIO CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","52","N"
26,"2& VIVIENDA FUNCIONARIO CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","50","N"
27,"SOLAR 3� VIVIENDA FUNCIONARIO CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","34","N"
28,"SOLAR 4� VIVIENDA FUNCIONARIO CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","36","N"
29,"SOLAR 5� VIVIENDA FUNCIONARIO CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","38","N"
33,"KIOSCO "" LAS FLORES "" EN SAN TELMO","PARQUE","DE SAN TELMO","","N"
34,"KIOSCO "" TROPICAL "" O "" MODERNISTA ""","PARQUE","DE SAN TELMO","S/N","N"
35,"ANTIGUO RESTAURANTE ""CUEVA DEL GUANCHE ""","CALLE","ALTAVISTA","","N"
36,"MERCADO DE ABASTOS DE LAS PALMAS (MERCADO DE VEGUETA)","CALLE","MENDIZABAL","1","N"
37,"MERCADO DE ABASTOS DEL PUERTO DE LA LUZ","CALLE","ALBAREDA","76","N"
38,"CASA MUNICIPAL DE LA MUJER (ANTIGUO MERCADO DE ESCALERITAS)","PLAZA","PLACIDO ALVAREZ BUYLLA","","N"
39,"MERCADO CENTRAL DE ALCARAVANERAS","CALLE","GALICIA","24","N"
40,"CONCEJALIA DISTRITO VEGUETA, CONO SUR Y TAFIRA","CALLE","ALCALDE DIAZ-SAAVEDRA NAVARRO","2","N"
41,"CAMPO DE FUTBOL DE COSTA AYALA (ANTES MATADERO MUNICIPAL)","CALLE","MAR MEDITERRANEO","2","N"
43,"PISCINAS"" JULIO NAVARRO"" Y ""ROQUE DIAZ"" Y GIMNASIO""DORAMAS""","CALLE","BEETHOVEN","9","N"
44,"RESTAURANTE "" JULIO NAVARRO ""","CALLE","BEETHOVEN","9","N"
45,"CLUB DE TENIS "" GRAN CANARIA ""","CALLE","BEETHOVEN","7","N"
46,"POLIDEPORTIVO "" VICENTE LOPEZ SOCAS ""","CALLE","ORTIZ DE ZARATE","","N"
47,"COMPLEJO DEPORTIVO ""PEPE GONCALVEZ""","CALLE","LUIS BENITEZ INGLOTT","","N"
48,"TALLERES Y DEPOSITOS MUNICIPALES MILLER BAJO","CALLE","EUFEMIANO FUENTES CABRERA","1","N"
49,"ANTIGUO INSTITUTO ANATOMICO FORENSE","CALLE","EL OLIVO","44","N"
50,"LOCAL ANEXO AL INSTITUTO ANATOMICO FORENSE","CALLE","EL OLIVO","48","N"
51,"ANTIGUO EVACUATORIO PUBLICO EL CL. ANDRES DENIZ","CALLE","ANDRES DENIZ","1","N"
52,"CEMENTERIO DE LAS PALMAS, EN VEGUETA","CALLE","CALLEJONES","S/N","N"
53,"CEMENTERIO DE TAFIRA","LUGAR","LOMO DEL CAPON","","N"
54,"CEMENTERIO DEL PUERTO DE LA LUZ","AVENIDA","ANSITE","12","N"
55,"CEMENTERIO DE SAN LAZARO","CALLE","EL OLIVO","","N"
56,"IGLESIA DE SANTA ISABEL DE HUNGRIA, EN ESCALERITAS","PLAZA","ARGENTINA","","N"
57,""" CASA ROJA ""  (ANTIGUA ESTACION ELEVADORA DE AGUA DE MAR)","CALLE","HERMANOS JORGE MARRERO","1","N"
58,"SOLAR DE LA SUBESTACION TRANSFORMADORA DE UNELCO","CALLE","EUSEBIO NAVARRO","68","N"
59,"POLIDEPORTIVO "" CARLOS GARCIA SAN ROMAN ""","CALLE","DOCTOR JIMENEZ NEYRA","41","N"
61,"SOLAR 19 DE LA PARCELA 40 DE SCHAMANN","CALLE","DON PEDRO INFINITO","85","N"
62,"SOLAR SOBRANTE DE VIA PUBLICA EN CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","63","N"
63,"PARCELA EL/AP, PARTE EL/AP 1B/1-303, CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","77","N"
64,"PARCELA EL/AP, PARTE EL/AP 1B/1-303, CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","81","N"
65,"PARCELA EL/AP, PARTE EL/AP 1B/1-303, CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","87","N"
66,"PARCELA EL/AP, PARTE EL/AP 1B/1-303, CL. FRANCISCO GOURIE","CALLE","FRANCISCO GOURIE","95","N"
68,"ANTIGUO DEPOSITO DE LAVADO DE ALCANTARILLADO","CALLE","AGUSTIN RAMOS","","N"
70,"DEPURADORA DE BARRANCO SECO   I   Y   II","CARRETERA","DEL CENTRO","S/N","N"
75,"OFICINAS MUNCIPALES Y LOCALES COMERCIALES CL. TENERIFE","CALLE","SAGASTA","47","N"
