"INVENTARIO","NOMBRE","DESCRIPCION"
1,"BODEGON","BODEGON CON PERDICES Y FRUTAS 0,83 X 1,03M. ANONIMO SIGLO XVII"
2,"MUELLE DE SANTA CATALINA","OLEO CON MARCO DE MADERA TALLADO Y DORADO.0,24 X 0,38M. AUTOR; E. LIGTELYN-BREOKELEN"
3,"FUENTE","FUENTE DE COPA EN PIEDRA DE CANTERIA"
4,"ABSTRACTO","ABSTRACTO DE TONOS ROJOS CON MARCO BLANCO.    AUTOR JORGE QUINTANA CAAMA�O. ( FIRMADO J. Q. - 74)"
5,"RETRATO DE AMADEO I DE SABOYA","OLEO SOBRE LIENZO REPRESENTANDO AL REY ( SIN MARCO)."
6,"ESCENA RELIGIOSA","OLEO (SIN MARCO) REPRESENTANDO A JESUS DIRIGIENDOSE A LA MULTITUD.  ANONIMO ESCUELA ESPA�OLA S. XVII�"
7,"ABSTRACTO","DIBUJO ABSTRACTO PINTADO CON TITANLUX SOBRE TABLEX. AUTOR: YOLANDA  GRACIANI  1963     0,48 X 1,23M"
9,"VISTA DE TOLEDO","PANORAMICA DE LA CIUDAD CON TONOS VIVOS.    MARCO DE MADERA 1,17 X 1,52M.  AUTOR ANDRES CONEJO"
12,"SIN TITULO (RETRATO DE NI�O LLORANDO)","OLEO CON MARCO DE MADERA BLANCO. NI�O OCULTANDO EL ROSTRO. AUTOR JUAN BETANCOR GONZALEZ 1.968.   1,12 X 0,82M"
13,"RETRATO","OLEO CON MARCO DE MADERA DORADO.    DAMA CON PEINETA Y VESTIDO VERDE"
15,"""CREOULA""   (ABSTRACTO)","OLEO ( SIN MARCO) ABSTRACTO CON MUCHO COLORIDO. AUTOR C. FOIX"
17,"RETRATO","DAMA VESTIDA DE NEGRO CON PEINETA.    OLEO SOBRE LIENZO, MARCO MADERA DORADA"
18,"RETRATO DEL REY ALFONSO XII","OLEO SOBRE LIENZO SIN MARCO. APOYADO EN UNA MESA SOBRE LA QUE HAY UNA CORONA."
19,"MANUSCRITO DE BACH","OLEO CON MARCO MADERA NEGRO.    ABSTRACTO, TONOS AZULES Y GRISES, OSCUROS. AUTOR: ANA DE LA PUENTE"
20,"BARCAS","OLEO CON MARCO BLANCO.    (1,30 X 0,80).    ABSTRACTO.   AUTOR: ROSA PENOT PUJOL 1.976"
21,"ABSTRACTO","OLEO CON MARCO BLANCO.    ABSTRACTO DE UN CICLISTA EN TONOS ROJOS. AUTOR: MEDINA 1971"
23,"ATLETAS","CERA CON MARCO MADERA BLANCO.     ATLETAS CORRIENDO.    AUTOR: GURREA"
24,"ATLETA","CERA CON MARCO MADERA BLANCO.     ATLETA SALTANDO.     AUTOR: GURREA"
25,"RETRATO ANTIGUO","OLEO SIN MARCO.    RETRATO DE UN CABALLERO CON PA�UELO AL CUELLO. ( AUTOR: C. ROBENGAS ���)   0,56 X 0,43M"
26,"ATLETAS","CERA CON MARCO BLANCO DE MADERA.    ATLETAS CORRIENDO.   AUTOR: GURREA"
31,"MARINA - VISTA DE LA CANTERAS","ACUARELA DE LA COSTA DE LA CIUDAD.  CON MARCO AZUL.     MARINA.    AUTOR M. J.   JACQUELINE HUIBERS, 1970"
32,"PLAZA DEL PILAR NUEVO","PINTURA DE UNA ESQUINA DE LA PLAZA CON MARCO DE MADERA NEGRO.    AUTOR: DONINA ROMERO"
33,"ESCENA RELIGIOSA","ESCENA DE JESUS TENDIENDO LA MANO , OLEO SOBRE LIENZO SIN MARCO..  ANONIMO ESCUELA ESPA�OLA S. XVII�"
34,"RETRATO DE UNA DAMA","DAMA VESTIDA DE EPOCA CON FLOR ROJA EN EL ESCOTE. OLEO SOBRE  LIENZO CON MARCO DORADO DE 2,00 X 1,30 M."
35,"PAISAJE","PAISAJE AL OLEO DE MONTA�AS Y CASAS ( SIN MARCO).    AUTOR: CARMELO   0,48 X 0,54"
36,"DON NICETO ALCALA ZAMORA","RETRATO AL OLEO CON MARCO DORADO.  AUTOR: CIRILO  SUAREZ MORENO.  MEDIDAS 2,21 X 1,20M    LAS PALMAS 1935"
37,"ROMERIA DE SANTA LUCIA","MURAL DE 5,10  X 3,10 REPRESENTANDO UN NAUFRAGIO.     AUTOR: JESUS ARENCIBIA"
38,"GENERAL GARCIA ESCAMEZ","BUSTO EN BRONCE CON BASE DE MARMOL SOBRE SOPORTE DE MADERA. AUTOR: PLACIDO FLEITAS"
39,"TIERRA","ESCULTURA EN BRONCE. MUCHACHA CON FRUTAS PEDESTAL DE MARMOL. FUNDICION BECHINI -BARCELONA - PLACIDO FLEITAS"
40,"MAR","ESCULTURA EN BRONCE.  HOMBRE CON CARACOLA. PEDESTAL DE MARMOL. FUNDICION BECHINI -BARCELONA -  PLACIDO FLEITAS"
41,"EL VUELO DE LAS BRUJAS","VUELO DE LAS BRUJAS SOBRE ESCOBAS, FESTEJO PROFANO Y EL CANTO DEL GALLO. OLEO SOBRE LIENZO. AUTOR: JESUS ARENCIBIA"
42,"GALLOS","PAREJAS CON GALLOS, REDES Y FRUTOS. OLEO SOBRE LIENZO PEGADO A PAREDES. AUTOR: JESUS ARENCIBIA"
