EJERCICIO,PROGRAMA,DESCRIPCIÓN
2015,"0","DEUDA PUBLICA"
2015,"01","DEUDA PUBLICA"
2015,"011","DEUDA PUBLICA"
2015,"0111","DEUDA PUBLICA"
2015,"1","SERVICIOS PUBLICOS BASICOS"
2015,"13","SEGURIDAD Y MOVILIDAD CIUDADANA"
2015,"130","ADMON. GRAL. SEGURIDAD Y PROTECCION CIVIL"
2015,"1301","ADMON. GRAL. SEGURIDAD Y PROTECC CIVIL"
2015,"132","SEGURIDAD Y ORDEN PUBLICO"
2015,"1320",""
2015,"1321","POLICIA LOCAL"
2015,"133","ORDENACION DEL TRAFICO Y ESTACIONAMIENTO"
2015,"1331","SDAD MPAL DE APARCAMIENTOS Y SERVICIOS"
2015,"134","MOVILIDAD URBANA"
2015,"1341","CONTROL DE TRAFICO"
2015,"135","PROTECCION CIVIL"
2015,"1351","SERVICIO DE PROTECCION CIVIL"
2015,"136","SERVICIO DE EXTINCION DE INCENDIOS"
2015,"1361","SERVICIO DE EXTINCION DE INCENDIOS"
2015,"15","VIVIENDA Y URBANISMO"
2015,"150","ADMON GRAL DE VIVIENDA Y URBANISMO"
2015,"1501","ADMON GRAL DE URBANISMO"
2015,"1502","ADMON GRAL DE VIVIENDA"
2015,"151","URBANISMO: PLANEAMIENTO, GESTION,EJECUCION Y DISC"
2015,"1511","GERENCIA MPAL URBANISMO, OBRAS E INFRAESTRUCTURAS"
2015,"1512","OBRAS Y PROYECTOS"
2015,"152","VIVIENDA"
2015,"1521","PROMOCION Y GESTION DE VIVIENDA DE PROTEC PUBLICA"
2015,"1522","CONSERVACION Y REHABILITACION DE LA EDIFICACION"
2015,"1523","INSTITUTO MUNICIPAL DE LA VIVIENDA"
2015,"1524","SOCIEDAD  MPAL DE LA VIVIENDA DE MALAGA SL"
2015,"153","VIAS PUBLICAS"
2015,"1530",""
2015,"1531","ACCESO A LOS NUCLEOS DE POBLACION"
2015,"1532","PAVIMENTACION DE LAS VIAS PUBLICAS"
