FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_museos.fid--7b4b556b_15ed4cde20f_-cc2,129,Museo del Patrimonio Municipal (MUPAM),"Se trata de un proyecto museológico concebido como un reflejo de lo que es la ciudad y lo que ha sido a lo largo de su historia. La colección comienza con la creación del primer Ayuntamiento en 1487 y se prolonga hasta nuestros días.

Una realidad que pone en valor y difunde lo mejor de las más de 4.000 obras que componen la colección del Ayuntamiento.

Nace con un espíritu muy claro de relacionar museo y ciudad. Para ello, además de la estudiada selección y disposición de las piezas expuestas, se le va a conceder gran importancia a los aspectos de divulgación y pedagógicos del museo.",POINT (373866.39717578527 4064866.8215854275)
da_museos.fid--7b4b556b_15ed4cde20f_-cc1,1183,Museo de Artes y Costumbres Populares,"Se encuentra situado en pleno centro de Málaga, en el antiguo mesón de la Victoria, un edificio del siglo XVII. Sus antecedentes arrancan en los años sesenta, en 1974 se ultima la compra del antiguo mesón de la Victoria, que se comienza a restaurar y acondicionar para su conversión en museo, proceso que dura hasta el año 1976, en que se inaugura. <br>
La construcción data del siglo XVII, siendo realizada sobre un solar ocupado desde finales del siglo XV por otro mesón, propiedad de la hija de Miguel de Araso, repostero de camas de los Reyes Católicos y propietario de varias casas en la ciudad. A partir de 1621 sufre una ampliación a consecuencia del uso efectuado por los frailes 
Mínimos. La ampliación consistió en la realización de una bodega para más de mil arrobas de vasijas y vivienda encima.<br>
El edificio tiene planta cuadrangular, prolongada en un trapecio irregular hacia el fondo de las caballerizas. Las dependencias se distribuyen en torno a un patio central, que cuenta con galería baja y alta sobre columnas y al cual van a desembocar las vertientes de las cubiertas de teja morisca, ofreciendo un pintoresco y singular 
aspecto. Su estructura arquitectónica ofrece un ejemplo del tipo de construcción abundante en la baja Andalucía, en la que destacan viviendas con dos pisos, con patio interior al que se abren diferentes estancias, caracteríscas del pueblo malagueño, con carácter de tradición morisca por un lado e italizante por otro.
<br>
El objetivo inicial fue el de poner en práctica la conservación y recuperación del patrimonio etnográfico, con el fin de mostrar la vida cotidiana de Málaga y su provincia en sus niveles más característicos, sus costumbres y actividades, así como recuperar piezas dispersas y en peligro de desaparecer.
<br>
El edificio cuenta con 19 salas distribuidas entre dos plantas del edificio. Tratan de representar, a través de diferentes áreas de conocimiento, la vida rural y urbana de Málaga y su provincia, 
en la que el mundo burgués tiene una presencia muy destacada.",POINT (372739.3364799127 4064763.6723034936)
da_museos.fid--7b4b556b_15ed4cde20f_-cc0,1676,Centro de Interpretación de Gibralfaro,"Situado en el recinto del antiguo polvorín del Castillo, se representa una exposición que refleja la vida del Castillo como guarnición militar y vigía costero desde 1487, fecha de la incorporación de Málaga a la Corona de Castilla, hasta 1925 en que un Real Decreto de Alfonso XIII lo cede a la ciudad para uso de la población.

Durante esos 483 años el castillo se utilizó como instalación militar de modo ininterrumpidamente. 

Por medio de planos con la evolución urbana, armas, uniformes y objetos de la vida cotidiana (maquetas, sellos, miniaturas, naipes, instrumentos de navegación y cartografía) se refleja la evolución de la guarnición íntimamente ligada a los avatares de la población a la que pertenece.",POINT (374073.62758384005 4065108.994438577)
da_museos.fid--7b4b556b_15ed4cde20f_-cbf,1677,Ecomuseo Lagar de Torrijos,"El Ecomuseo <b>'Lagar de Torrijos'</b> es un equipamiento de uso público de la Consejería de Medio Ambiente de la Junta de Andalucía ubicado en pleno corazón del Parque Natural Montes de Málaga.
",POINT (378314.58218149643 4076500.968552501)
da_museos.fid--7b4b556b_15ed4cde20f_-cbe,1678,Museo Catedralicio,"El <b>Museo Catedralicio</b> se ubica en las antiguas dependencias de la Sala Capitular de la Catedral, obra del siglo XVIII. 

El espacio se organiza en dos estancias cubiertas por un artesonado de madera que data del siglo XIX, a lo largo de las cuales se exponen obras  que proceden de distintos emplazamientos de la Catedral, tales como la desaparecida Sala de ornamentos o Tesoro y la ya citada Sala Capitular.

La primera de las estancias  recoge una importante colección de obras.",POINT (373179.69620866486 4064761.5722738123)
da_museos.fid--7b4b556b_15ed4cde20f_-cbd,1680,Museo Nacional de Aeropuertos y Transporte Aéreo,"El Museo se ubica en la primera terminal de pasajeros del <i>Aeropuerto de Málaga</i> y pretende mostrar piezas relacionadas con la aviación y los aeropuertos, desde sus inicios en los años 20 hasta la actualidad.

Una torre de control de los años 40, que sirve de observatorio de aviones, publicidad histórica de aviación, acceso al interior de una cabina del DC9, motores de aviación de distintas épocas, maquetas  de aviones y aeropuertos, distintas profesiones aeronáuticas, y en definitiva toda la instrumentación que engloba un aeropuerto civil.",POINT (366876.79332451354 4059892.7343392735)
da_museos.fid--7b4b556b_15ed4cde20f_-cbc,1681,"Museo Taurino ""Antonio Ordoñez""","<p>Construida en el año 1874 por Joaquín Rucoba, en estilo neomudéjar, se encuentra en el Paseo de Reding, en terrenos de la Malagueta, y tiene capacidad para 14.000 personas.</p><p> La inauguración tuvo lugar el 11 de junio de 1876. La Plaza de la Malagueta tiene la forma de un polígono regular de 16 lados. En sus dependencias se encuentra ubicado el Museo Taurino que
ofrece al visitante un amplio recorrido por el mundo de los toros. </p><p>Contiene trajes de luces, fotografías, carteles y otros valiosos objetos relacionados con la fiesta nacional.</p><p> Lleva el nombre de Antonio Ordóñez en honor del mítico torero rondeño que tantas tardes de gloria consiguió en esta plaza.</p>",POINT (374018.54168397846 4064825.7433065786)
da_museos.fid--7b4b556b_15ed4cde20f_-cbb,286,Centro de Arte Contemporáneo de Málaga (CAC Málaga),"El <b>CAC Málaga</b> es un espacio destinado a la reflexión y divulgación del arte contemporáneo. Se trata de un espacio dinámico, innovador y abierto a todo tipo de propuestas artísticas e iniciativas ciudadanas. 

Una colección permanente formada por más de cuatrocientas obras de arte de los más prestigiosos artistas de la actualidad, una ambiciosa programación de exposiciones, conferencias, talleres, seminarios y actividades hacen del CAC Málaga un centro vivo, un lugar para la expresión y difusión de las últimas tendencias de las artes visuales. 
",POINT (372685.50485668174 4064147.5221991176)
da_museos.fid--7b4b556b_15ed4cde20f_-cba,1190,MIMMA. Museo Interactivo de la Música de Málaga,"Lo normal al entrar en un museo es encontrar carteles que prohíban acercarse a las piezas y sobretodo tocarlas. En el Museo Interactivo de la Música (MIMMA) es todo lo contrario, aquí el lema es ¿Se ruega tocar, Please play¿. El objetivo de este museo es llegar a todo tipo de público y para ello, además de su exposición permanente, organiza actividades educativas y musicales.
Su colección abarca más de 400 piezas en exposición permanente y casi mil en su totalidad, y el contar con una colección tan completa y versátil permite abordar y dar a conocer todo tipo de épocas y culturas musicales. No se trata sólo de ver distintos instrumentos musicales, se trata de conocer diferentes culturas existentes en el mundo a través de su música. La música, en sus orígenes, no se podía considerar como un arte propiamente dicho, sino como un instrumento indispensable en la vida cotidiana del hombre por su funcionalidad como lenguaje. Esta funcionalidad es la que nos permite conocer las costumbres de diferentes culturas.
El MIMMA es un museo con una alta dosis de interactividad que se consigue a través de recursos multimedia, interactivos y mecánicos, que se entremezclan a lo largo del recorrido expositivo con instrumentos musicales disponibles para que los visitantes los toquen y experimenten la música y el sonido.
",POINT (373205.39995445684 4065109.612653326)
da_museos.fid--7b4b556b_15ed4cde20f_-cb9,1203,Museo-Tesoro de la Cofradía de la Expiración,"La colección se organiza en cuatro salas: la primera, en la iglesia, dedicada a las imágenes titulares de la Cofradía; la sala segunda, ya en la construcción moderna, destinada a los tronos procesionales, donde también se exponen los enseres de la Cofradía; la sala tercera guarda recuerdos y objetos cofrades; la sala cuarta, alberga el tesoro de la Cofradía. 
La colección se organiza en cuatro salas: la primera, en la iglesia, dedicada a las imágenes titulares de la Cofradía; la sala segunda, ya en la construcción moderna, es un gran espacio destinado a los tronos procesionales, donde también se exponen los enseres de la Cofradía en vitrinas tamaño armario, con estructura de madera y fondo de terciopelo rojo; la sala tercera guarda recuerdos y objetos cofrades; la sala cuarta, alberga el tesoro de la Cofradía. 
Más información en: http://www.webmalaga.com/cultura/museos",POINT (372447.27959152916 4064347.473245728)
da_museos.fid--7b4b556b_15ed4cde20f_-cb8,1205,Museo Interactivo de la Ciencia y Tecnología. Principia,"En el museo podemos encontrar un planetarium, salas de proyecciones y laboratorios para llevar a cabo experimentos. Su objetivo es hacer accesible el conocimiento científico al público en general, de una manera amena y divertida. Se divide en tres áreas temáticas: Sala de proyeccciones, con más de 70 experimentos interactivos sobre fenómenos del mundo natural. Sala Faraday, con experimentos sobre electrostática, mecánica y óptica.",POINT (372484.2106453763 4066225.520624784)
da_museos.fid--7b4b556b_15ed4cde20f_-cb7,1889,Museo del Santo Sepulcro,"PERIODO Siglo XX

<p>Dentro del triángulo más importante de Málaga, Alcazaba - Catedral - Museo Picasso, y emplazado en un edificio de singular belleza, se encuentra la Casa Museo de la Hermandad del Santo Sepulcro. </p><p>Museo de arte sacro en general y de Semana Santa en particular, de una de las cofradías más importantes de la Semana de Pasión malagueña, por ser la Cofradía Oficial de la Ciudad y por tener el trono catafalco del Cristo, una verdadera joya de la Semana Santa Malagueña, diseñado por el insigne artista malagueño José Moreno Carbonero.</p>
<p>Este espacio expositivo cuenta con varios escenarios. El espacio principal del museo, ubicado en la planta baja, es el Salón de Tronos, donde se ubican los dos tronos, perfectamente montados y expuestos para su contemplación y deleite. En esta misma planta se pueden contemplar vitrinas con enseres de finales del siglo XIX y principios del XX.</p>
<p> En la primera planta existe una pinacoteca con pintura malagueña de principios del siglo XX hasta actualidad: Moreno Carbonero, Pedro Sáez, Antonio Montiel, Félix Revello de Toro...</p>
<p>Finalmente, en la planta sótano, se encuentra la Sala de Columbarios de la Casa Hermandad, donde destaca por su belleza una Dolorosa del siglo XVIII y autor anónimo.</p>",POINT (373440.76960814925 4064958.547865508)
da_museos.fid--7b4b556b_15ed4cde20f_-cb6,1932,Museo de la Cofradía de Estudiantes,"<p>Ubicado en pleno centro histórico artístico de la ciudad de Málaga, el Museo de esta Cofradía de Estudiantes dispone de dos espacios: Salón de Tronos y Aula Didáctica-Salón de Actos.</p>

<p>El Salón de Tronos dispone de 11 vitrinas y 6 expositores. También dispone de un completo sistema audiovisual. Entre los enseres procesionales destacan la Cruz Guía, Faroles de Cruz Guía, y los Estandartes del Cristo y de la Virgen. Del ajuar de la Virgen, mencionar la Corona de Procesión y las Sayas de terciopelo. Y como piezas centrales del propio museo los tronos del Cristo y la Virgen, el palio y el manto.</p> ",POINT (373426.6418207458 4064848.9044047385)
da_museos.fid--7b4b556b_15ed4cde20f_-cb5,1938,Museo del Vino,"<p>El Museo del vino en Málaga está situado en el centro histórico de la ciudad, en el Palacio de Biedmas, edificio rehabilitado del siglo XVIII.</p>

<p>Pretende ser un espacio donde convivan la historia, la cultura, el arte y la formación en torno a los vinos de la provincia de Málaga. Para ello, cuenta con la exposición de más de 400 litografías, Centro de Interpretación, Sala de Cata, Aula de Formación y Tienda. Además, alberga la sede del Consejo Regulador de las Denominaciones de Origen ""Málaga"", ""Sierras de Málaga"" y ""Pasas de Málaga"".</p> 

<p>La oferta del museo comprende un conjunto de servicios y actividades en los que cabe destacar: Sala de exposición museística, Sala de Catas, Salón de Actos, Aula de Formación, Tienda.</p>

<p>La actividad del Museo transciende de la puramente museística y para convertirse en un Centro de Divulgación de la cultura del vino y de los vinos elaborados en Málaga; un centro que promueve la formación y difusión de todas las técnicas y conocimientos relacionados con la elaboración, conservación, mejora y promoción de los vinos en todas sus variedades; y de todas aquellas otras actividades que, partiendo de la vid y el vino, puedan redundar en beneficio del sector.</p> ",POINT (372807.2296933307 4065124.400237271)
