TIPO,EJERCICIO,ECONÓMICO,ABREVIADA,DESCRIPCIÓN
"I",2015,"1","IMPUESTOS DIRECTOS","IMPUESTOS DIRECTOS"
"I",2015,"10","Impuesto sobre la Renta","Impuesto sobre la Renta"
"I",2015,"100","Imp sobre la renta personas físicas","Impuestos sobre la renta de las personas físicas"
"I",2015,"10000","IMP SOBRE RENTA PERSONAS FISICAS","IMPUESTO SOBRE LA RENTA DE LAS PERSONAS FISICAS"
"I",2015,"101","Impuesto sobre sociedades","Impuesto sobre sociedades"
"I",2015,"10100","IMPUESTO SOBRE SOCIEDADES","IMPUESTO SOBRE SOCIEDADES."
"I",2015,"102","Imp sobre la renta de no residentes","Impuesto sobre la renta de no residentes"
"I",2015,"10200","IMP SOBRE LA RENTA DE NO RESIDENTES","IMPUESTO SOBRE LA RENTA DE NO RESIDENTES."
"I",2015,"11","Impuestos sobre el capital","Impuestos sobre el capital"
"I",2015,"110","Imp sobre sucesiones y donaciones","Impuesto sobre sucesiones y donaciones"
"I",2015,"11000","IMP SOBRE  SUCESIONES Y DONACIONES","IMPUESTO SOBRE  SUCESIONES Y DONACIONES"
"I",2015,"111","Impuesto sobre patrimonio","Impuesto sobre patrimonio"
"I",2015,"11100","IMPUESTO SOBRE  PATRIMONIO","IMPUESTO SOBRE  PATRIMONIO"
"I",2015,"112","Imp sobre binmuebles ntlza rústica","IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RUSTICA"
"I",2015,"11200","IMP SOBRE BINMUEBLES NTLZA RUSTICA","IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RUSTICA."
"I",2015,"113","Imp sobre binmuebles ntlza urbana","IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA"
"I",2015,"11300","","IMPUESTO SOBRE EL INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA."
"I",2015,"11301","IMP SOBRE BINMUEBLES NTLZA URBANA","IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA."
"I",2015,"114","Imp sobre binmuebles especiales","Impuesto sobre bienes inmuebles de caracteristicas ESPECIALES"
"I",2015,"11400","IMP SOBRE BINMUEBLES ESPECIALES","IMPUESTO SOBRE BIENES INMUEBLES DE CARACTERISTICAS ESPECIALES"
"I",2015,"115","Imp sobre vehículos tracción mecánica","Impuesto sobre vehículos de tracción mecánica"
"I",2015,"11500","IMP SOBRE VEHICULOS TRACCION MECANICA","IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA."
"I",2015,"116","Imp inc valor terrenos ntlza urbana","IMPUESTO SOBRE INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA"
"I",2015,"11600","IMP INCR VALOR TERRENOS NTLZA URBANA","IMPUESTO SOBRE EL INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA."
"I",2015,"117","Imp sobre viviendas desocupadas","Impuesto sobre viviendas desocupadas"
