FECHA,DIRECCION,Nº,TIPO CONTENDOR,UND,"NUEVA
UBICACIÓN","COSTE
(unidad)","COSTE
(Total)"
01/01/2013,DIEGO VAZQUEZ OTERO,1,CT RSU,1,HECHO 02/01/2013,"185,24","185,24"
01/01/2013,PASEO DE LOS TILOS,59,CT RSU,1,HECHO 02/01/2013,"185,24","185,24"
02/01/2013,MAGISTRADO SALVADOR BARBERA,FARMACIA,CL ENVASES,2,HECHO 02/01/2013,"830,00","1660,00"
02/01/2013,AV. AURORA X PLZ. ENRIQUE NAVARRO,,CL PAPEL,1,HECHO 03/01/2013,"830,00","830,00"
03/01/2013,VICTORIA KENT,1,CL ENVASES,1,HECHO 04/01/2013,"830,00","830,00"
08/01/2013,CMNO. DE LA CORTA,PARQUE,IGLU VIDRIO,1,,"485,00","485,00"
09/01/2013,ALONSO CARRILLO DE ALBORNOZ,J-MERCADO,CT RSU,1,HECHO 10/01/2013,"185,24","185,24"
11/01/2013,FAUNO X TITANES,,CT RSU,1,HECHO 12/01/2013,"185,24","185,24"
11/01/2013,ALICIA LAROCHA,,CL RSU,1,HECHO 12/01/2013,"910,00","910,00"
19/01/2013,AV. JORGE SILVELA,70,CL RSU,1,HECHO 20/01/2013,"910,00","910,00"
19/01/2013,ALMOGIA,COLEGIO,CL PAPEL,1,HECHO 21/01/2013,"830,00","830,00"
21/01/2013,SAWA MARTINEZ,1,CT RSU,1,HECHO 22/01/2013,"185,24","185,24"
25/01/2013,JUAN DE LA ENCINA,,CT RSU,3,HECHO 26/01/2013,"185,24","555,72"
25/01/2013,RODEO,2,CT RSU,2,HECHO 26/01/2013,"185,24","370,48"
26/01/2013,RONDA SALIENTE (SERVICIOS OPERATIVOS),,CL RSU,3,HECHO 26/01/2013,"910,00","2730,00"
28/01/2013,DECANO IGNACIO ALAMINOS,2,CT RSU,4,HECHO 29/01/2013,"185,24","740,96"
28/01/2013,DECANO IGNACIO ALAMINOS,2,CL PAPEL,1,HECHO 29/01/2013,"830,00","830,00"
29/01/2013,MONTALBAN,1,CT RSU,1,HECHO 30/01/2013,"185,24","185,24"
30/01/2013,DECANO IGNACIO ALAMINOS,1,CL ENVASES,1,HECHO 01/02/2013,"830,00","830,00"
30/01/2013,AYALA,55,CL PAPEL,1,HECHO 31/01/2013,"830,00","830,00"
31/01/2013,RONDA SALIENTE (SERVICIOS OPERATIVOS),,CL PAPEL,1,,"830,00","830,00"
31/01/2013,RONDA SALIENTE (SERVICIOS OPERATIVOS),,CL ENVASES,1,HECHO 25/04/2013,"830,00","830,00"
02/02/2013,DONOSO CORTES,2,CT RSU,1,HECHO  02/02/2013,"185,24","185,24"
04/02/2013,AGUILAR Y CANO,10,CL ENVASES,1,HECHO 04/02/2013,"830,00","830,00"
05/02/2013,AGUILAR Y CANO,10,CL PAPEL,1,HECHO 04/02/2013,"830,00","830,00"
04/02/2013,AGUILAR Y CANO,10,IGLU VIDRIO,1,HECHO 04/02/2013,"485,00","485,00"
04/02/2013,AGUILAR Y CANO,10,CL RSU,1,HECHO 04/02/2013,"910,00","910,00"
04/02/2013,JAMES BOWLES,F-14,CL RSU,2,HECHO 04/02/2013,"910,00","1820,00"
08/02/2013,ANDRES BELLO,F-14,CL RSU,1,HECHO 04/02/2013,"910,00","910,00"
08/02/2013,HORACIO LENGO,16,CT RSU,1,HECHO 08/02/2013,"185,24","185,24"
