EXERCICI,CODI_ORGANIC,ORGANIC,CODI_ECONOMIC,ECONOMIC,APLICACIO,PRESSUPOST_INICIAL,MODIFICACIONS_CREDIT,PREVISIONS_DEFINITIVES,DRETS_RECONEGUTS_NETS,RECAUDACIO_LIQUIDA,PERC_EXECUCIO
2017,15004,Sant Muç,39610,Quotes d'urbanització.,Quotes d'urbanització Sant Muç,0,0,0,,,
2017,15113,DISCIPLINA URBANÍSTICA,39100,Multes per infraccions urbanístiques.,Multes de protecció de la legalitat,5000,0,5000,,,
2017,15001,Peri 22.1,39610,Quotes d'urbanització.,Quotes d'urbanització PERI 22.1,0,358206.14,358206.14,,,
2017,15002,Sector A4,39610,Quotes d'urbanització.,Quotes d'urbanització Sector A4,0,274558.92,274558.92,,,
2017,15003,Cova Solera,39610,Quotes d'urbanització.,Quotes d'urbanització Cova Solera,0,13950.13,13950.13,,,
2017,15005,ADMINISTRACIÓ GENERAL DE L'URBANISME,39610,Quotes d'urbanització.,Quotes d'urbanització polígon 2 subsector D-1,0,975.25,975.25,,,
2017,15111,DISCIPLINA URBANÍSTICA,39100,Multes per infraccions urbanístiques.,Multes per infraccions urbanístiques.,15000,0,15000,,,
2017,15112,DISCIPLINA URBANÍSITCA,39100,Multes per infraccions urbanístiques.,Multes coercitives urbanisme,50000,0,50000,,,
2017,1623,Descripción Orgánica,30400,Retorn del cànon,Retorn del cànon,130000,0,130000,,,
2017,1650,ENLLUMENAT PÚBLIC,45080,Subv corrents de la Admón General de la C.A,PUOSC manteniment instal·lacions enllumenat públic,0,0,0,,,
2017,1720,PROTECCIÓ I MILLORA DEL MEDI AMBIENT,46143,DIBA - Instal·lacions esportives,DIBA - Projecte apadrinament zones naturals,1500,0,1500,,,
2017,1623,Descripción Orgánica,30300,Prestació de servei recollida d'envasos,Prestació de servei recollida d'envasos,270000,0,270000,,,
2017,1623,Descripción Orgánica,30301,Recollida residus elèctrics i electrònics,Recollida residus elèctrics i electrònics,9000,0,9000,,,
2017,1640,CEMENTIRI,30901,Taxes manteniment cementiri municipal,Taxes manteniment cementiri municipal,145000,0,145000,,,
