EXERCICI,CODI_ORGANIC,ORGANIC,CODI_FUNCIONAL,FUNCIONAL,CODI_ECONOMIC,ECONOMIC,APLICACIO,CREDIT_INICIAL,CREDIT_EXTRAORDINARI,SUPLEMENT_CREDIT,AMPLIACIO_CREDIT,INCORPORACIO_REMANENTS,TRANSFERENCIA_CREDIT_POSITIVA,TRANSFERENCIA_CREDIT_NEGATIVA,GENERACIO_INGRESSOS,BAIXA_CREDITS,CREDIT_DEFINITIU
2017,1U016,COMERÇ,4310,COMERÇ,22701,Seguretat.,Seguretat,250,0,0,0,0,0,0,0,0,250
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,10100,Retribucions bàsiques.,Retribucions directius,59999.94,0,0,0,0,0,0,0,0,59999.94
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1200001,Sous del Grup A1 interins,Sou grup A1 interins,14819.74,0,0,0,0,0,0,0,0,14819.74
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210001,Complement de destí interí,Complement de destí interí,0,0,0,0,0,0,0,0,0,0
2017,09,Inversions exercici 2009,1320,SEGURETAT I ORDRE PÚBLIC,62401,AUTOMOVIL,Adquisició 4 motos,0,0,0,0,6000.05,0,0,0,0,6000.05
2017,09,Inversions exercici 2009,1500,ADMINISTRACIÓ GENERAL D'HABITATGE I URBANISME.,60901,OBRAS DE INVERSIONES,Projectes Pla d'inversió Local,0,0,0,0,36072.51,0,0,0,0,36072.51
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210031,Altres complements interins,Altres complements interins,0,0,0,0,0,0,0,0,0,0
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210101,Complement específic interí,Complement específic interí,0,0,0,0,0,0,0,0,0,0
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,13000,Retribucions bàsiques.,Retribucions bàsiques,35218.5,0,0,0,0,0,0,0,0,35218.5
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,13002,Altres remuneracions.,Altres remuneracions,45867.46,0,0,0,0,0,0,0,0,45867.46
