ID,EXP_DATA_ALTA,EXP_TIPUS_CODI,EXP_TIPUS_NOM
7605100011602063107707,22/03/2015,VEHIC,Retirada-immovilització vehicles a la via pública
7605100011601835607707,21/03/2015,SOEP,Sol·licitud d'ocupació de l'espai públic
7605100011601926607707,21/03/2015,VEHIC,Retirada-immovilització vehicles a la via pública
7605100011601925107707,21/03/2015,VEHIC,Retirada-immovilització vehicles a la via pública
7605100011601874107707,21/03/2015,VEHIC,Retirada-immovilització vehicles a la via pública
7605100011601853107707,21/03/2015,VEHIC,Retirada-immovilització vehicles a la via pública
7605100011601601107707,20/03/2015,SOEP-FIRA,Sol·licitud ocupació espai públic (atraccions...)
7605100011601581107707,20/03/2015,SOEP-FIRA,Sol·licitud ocupació espai públic (atraccions...)
7605100011601564607707,20/03/2015,SOEP-FIRA,Sol·licitud ocupació espai públic (atraccions...)
7605100011601445607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601180107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601168607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601158107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601146107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601136107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601108107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601092107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601083107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601063607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601050607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601043107707,20/03/2015,SSUB,Sol·licituts subvencions
7605100011601037107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601024107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011601004107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600980107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600967607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600963107707,20/03/2015,AOM,Assabentats d'obres menors
7605100011600944107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600927607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600895107707,20/03/2015,AQS,"Gestió d'avisos, queixes i suggeriments"
7605100011600877607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600864607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600855607707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600846107707,20/03/2015,DEU,Denúncies llicències urbanístiques
7605100011600770607707,20/03/2015,AQS,"Gestió d'avisos, queixes i suggeriments"
7605100011600761607707,20/03/2015,SOEP,Sol·licitud d'ocupació de l'espai públic
7605100011600571107707,20/03/2015,ACT-UNIF,Llicència Municipal d'Activitats
7605100011600564107707,20/03/2015,PARURB,Llicència de parcel·lació urbanística
7605100011600561607707,20/03/2015,S.CENTRALS,Serveis Centrals - Procediment No Reglat
