ID,Nom entittat,Adreça entitat,Localitat,Telèfon entitat,Email entitat,Tipus entitat,Any fundació,Any d'inscripció
1,CD OLÍMPIC CAN FATJÓ,"c. La Segarra, s/n",08191 Rubí,"93-588 60 06
695 199 767",olimpiccanfatjo@hotmail.com,Entitat esportiva,1968,1989
2,AGRUPACIÓ RUBINENCA D'ESCACS," c. Maria Aurèlia Capmany, 32, 1ª",08191 Rubí,607 731 196,info@escacsrubi.com,Entitat esportiva,1948,1989
4,ESBART DANSAIRE DE RUBÍ,"c. Federico García Lorca, 37, 5è 1a",08191 Rubí,936992620,esbartderubi@esbartderubi.cat,Entitat cultural,1923,1989
5,AV 25 DE SETEMBRE,"Grup 25 Setembre local, 13 (AV)",08191 Rubí,93-699 83 72,aavv25desetembre@gmail.com,Entitat veïnal,1976,1989
6,CLUB NATACIÓ RUBÍ. (PISCINA COBERTA),"Zona esportiva ""Can Rosés""",08191 Rubí,93-588 74 75,f.mateo@cnrubi.com,Entitat esportiva,1971,1989
7,IRMANDADE GALEGA DE RUBÍ,"c. Narcís Monturiol, 18 bxs.",08191 Rubí,678350282,irmgalegarubi@hotmail.es,Entitat cultural,1980,1989
8,A.REC.I CULT. LA RUBINENCA,"c. Ciudad Real, 17",08191 Rubí,93-699 01 14,,Entitat cultural,1945,1989
9,AMPA COL.LEGI MARISTES RUBÍ,"c. Magallanes, 65",08191 Rubí,93-699 12 91,ampamaristesrubi@gmail.com,Entitat educativa,1972,1989
10,CEPNA (CENTRE D'ESTUDIS I PROTECCIO DE LA NATURA),"c. Verge de Lourdes, 86",08191 Rubí,"93-697 46 99
93-588 53 46",,Entitat mediambiental,1989,1989
11,AV CA N'ORIOL,"c. Sòria, 5",08191 Rubí,93-588 70 07,avv_canoriol@hotmail.com,Entitat veïnal,1975,1989
12,AV LES TORRES-RUBÍ 2000,"Joan Puig E.Jamaica, 2. bxs.",08191 Rubí,93-588 50 05,avvlastorres@gmail.com,Entitat veïnal,1974,1989
13,AV EL PINAR,"El Pinar, zona aparcaments",08191 Rubí,626223887,enricdel@msn.com,Entitat veïnal,1973,1989
14,GRUP RIALLES,"c. Lope de Vega, 27",08191 Rubí,93-6994505,,Entitat cultural,1989,1989
15,AV CAN VALLHONRAT,"c. Compositor Chueca, 25 ",08191 Rubí,696356262,avvallhonrat@gmail.com,Entitat veïnal,1966,1989
16,CENTRE D'ESPLAI L'EIXAM,"c. Molí, 21",08191 Rubí,"682550821
647979258
677717472",ceeixam@gmail.com,Entitat educativa,1972,1989
17,CEB SANT JORDI,"c. Pintor Coello, 7",08191 Rubí,93-699 75 14,cebsantjordi@gmail.com,Entitat esportiva,1959,1989
18,URR (UNIÓ DE RADIOAFECCIONATS DE RUBÍ),"c. Xile, 1-3",08191 Rubí,675950360,ea3urr@raf.es,Entitat cultural,1985,1989
19,CASAL DE LA GENT GRAN DE RUBÍ,"c. Magallanes, 60",08191 Rubí,93-588 44 87,cgg.rubi@gencat.cat,Entitat social,1977,1989
20,CENTRE D'ESTUDIS RUBINENC,"c. Aribau, 5",08191 Rubí,936998047,xaviaris@hotmail.com,Entitat cultural,1988,1990
21,CORAL UNIÓ RUBINENCA,"c. Llobateras, 6-10 2n 2a",08191 Rubí,93-699 19 28,uniorubinenca@elcoro.net,Entitat cultural,1949,1990
22,ESCOLA DE SARDANES FLOR DE NEU,"c. Sant Miquel, 31",08191 Rubí,935882551,flordeneu.rubi@gmail.com,Entitat cultural,1984,1990
23,AMPA CEIP TORRE DE LA LLEBRE,"av. Massana, s/n",08191 Rubí,93-699 27 66,ampatorrellebre@gmail.com,Entitat educativa,1985,1990
24,ARCA,"c. Mestre Guerrero, 27",08191 Rubí,,poesiarubi@hotmail.com,Entitat cultural,1981,1990
25,FOMENT DE LA SARDANA DE RUBI,"Av. Castellbisbal, 161",08191 Rubí,93-697 05 58,fomentdelasardanaderubi@gmail.com,Entitat cultural,1927,1990
26,CLUB PETANCA ATLÈTIC LES TORRES (Fusió Club Petanca Rubí),"Av. Can Cabanyes, 5 4t 4a",08191 Rubí,93-6998698,,Entitat esportiva,1989,1990
27,C.D. RAMALLETS,"c. Zafiro, 12 4t 3a",08191 Rubí,93-6997487,,Entitat esportiva,1989,1990
28,CLUB HANDBOL RUBÍ,"Pavelló de Can Rosés/Av. Olimpiades, s/n",08191 Rubí,93-699 72 05,manu_molina666@hotmail.com,Entitat esportiva,1978,1990
29,U.D. LES TORRES,"Av. Catalunya, 18",08191 Rubí,93-6970655,,Entitat esportiva,1986,1990
30,CF JOVENTUT 25 DE SETEMBRE,"c. Penedès, s/n-Camp de Futbol 25 Setembre-",08191 Rubí,93-697 40 04,juventud25@hotmail.com,Entitat esportiva,1963,1990
31,AMPA CEIP MOSSÈN CINTO VERDAGUER,"c. Numància, 20",08191 Rubí,93-5671602,ampamossencintoverdaguer@hotmail.com,Entitat educativa,1989,1990
32,CENTRO ARAGONÉS DE RUBÍ,"c. Marconi, 10",08191 Rubí,93-699 51 90,Caragones.rubi@gmail.com,Entitat cultural,1978,1990
33,ASSOCIACIÓ DE MÚSICS RUBÍ-ROCK,"Ntra. Sra. de Lourdes, 38",08191 Rubí,939 42 81 01,chema@inusual.com,Entitat juvenil,1984,1990
34,GRUP COL.LABORADORS MUSEU RUBÍ,"c. Aribau, 5",08191 Rubí,937851189,xaviaris@hotmail.com,Entitat cultural,1980,1990
35,AV CAN FATJÓ,"av. Castellbisbal, 1",08191 Rubí,93-588 60 06,avcanfatjo@gmail.com,Entitat veïnal,1977,1990
