ANUALITAT,ANY_CONCESIO,CIF,NOM_BENEFICIARI,DATA_CONCESIO,DESC_MOTIU,IMPORT_CONCEDIT,IMPORT_PAGAT,IMPORT_RETORNAT_REINTEGRAT
2013,2013,G58990961,ASSOC PROPIET I VEINS LES VALLS SANT MUÇ,05/11/2013,RUBI SENSE ABOCADORS,1200,1200,0
2013,2013,Q2866001G,CRUZ ROJA ESPAÑOLA,03/12/2013,SUBVENCIÓ CAMPANYA D'EMERGÈNCIA TIFÓN YOLANDA A FILIPINES - CREU ROJA,3000,0,0
2016,2014,B66325978,KLIU SOLUTIONS SL,30/12/2014,SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL,8.64,8.64,0
2016,2014,B66298373,QUALITY & PRECISION SEALING SL,30/12/2014,CREACIÓ D'EMPRESES I SUPORT AL TREBALL AUTÒNOM,450,450,0
2016,2016,G63171698,ASSOC DE VEINS EL PORTAL DE CA N ORIOL,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,1745.8,1745.8,0
2016,2016,G61044673,ASOC DE VECINOS DE LA PLANA DEL CASTELL,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,845,845,0
2016,2016,G59370007,AA VV 25 DE SETEMBRE,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,2639,2639,0
2016,2016,G59496711,AAVV ELS AVETS (ASPUR),04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,900,900,0
2016,2016,G59511048,ASOC DE VECINOS LAS TORRES RUBI 2000,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,2296,2296,0
2016,2016,G59584995,AA VV CASTELLNOU CAN MIR (SECTOR D),04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,500,500,0
2016,2016,G59582007,AA VV CA N'ORIOL,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,2341,2341,0
2016,2016,G61380648,ASSOC VECINOS ZONA RESIDENCIAL CAN SOLA,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,1000,1000,0
2013,2013,B58586900,ANODIZADOS OLIVA SL,31/12/2013,SUPORT A LA CREACIÓ D'OCUPACIÓ 2013,6300,4410,0
2016,2015,Q2866001G,CRUZ ROJA ESPAÑOLA,31/12/2015,Punt de Trobada,3100,3100,0
2016,2016,G58203183,ESBART DANSAIRE DE RUBI,29/03/2016,Campanya de danses a les escoles curs 2015-2016,42152.35,42152.35,0
2016,2016,G59349910,AA VV CAN VALLHONRAT,04/10/2016,MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES,600,600,0
2016,2016,G62943576,AMICS DEL COL.LECCIONISME DE RUBI,04/10/2016,Convocatòria 2016 subvencions entitats culturals,800,800,0
2016,2016,G62654462,APLEC DE RUBI,04/10/2016,Convocatòria 2016 subvencions entitats culturals,2500,2500,0
2016,2016,G65540171,ASSOCIACIO RUBI MUSICAL,04/10/2016,Convocatòria 2016 subvencions entitats culturals,550,550,0
2016,2016,G58543182,AGRUPACIÓ RUBINENCA CULTURAL I ARTISTICA,04/10/2016,Convocatòria 2016 subvencions entitats culturals,450,450,450
2016,2016,G61289658,ASSOCIACIO SANT GALDERIC,04/10/2016,Convocatòria 2016 subvencions entitats culturals,300,300,0
2016,2016,G63501670,ASSOC CASAL POPULAR DE RUBI,04/10/2016,Convocatòria 2016 subvencions entitats culturals,1025,1025,0
