CODI_P,CODI_F,ORGANIC,SEXE,DATA_NAIXEMENT,ANY_NAIXEMENT,MES_NAIXEMENT
,1,ORGANS DE GOVERN,Dona,31/08/1972,1972,8
,1,ORGANS DE GOVERN,Home,20/03/1977,1977,3
,1,ORGANS DE GOVERN,Dona,09/08/1972,1972,8
,1,ORGANS DE GOVERN,Dona,09/08/1979,1979,8
,1,ORGANS DE GOVERN,Home,24/10/1976,1976,10
,1,ORGANS DE GOVERN,Home,07/06/1968,1968,6
,1,ORGANS DE GOVERN,Home,01/01/1967,1967,1
,1,ORGANS DE GOVERN,Home,10/08/1968,1968,8
,1,ORGANS DE GOVERN,Home,25/03/1960,1960,3
,1,ORGANS DE GOVERN,Home,01/08/1986,1986,8
,1,ORGANS DE GOVERN,Home,01/01/1967,1967,1
,1,ORGANS DE GOVERN,Home,08/03/1989,1989,3
,1,ORGANS DE GOVERN,Home,02/05/1956,1956,5
,1,ORGANS DE GOVERN,Home,12/08/1981,1981,8
,1,ORGANS DE GOVERN,Dona,30/08/1977,1977,8
,1,ORGANS DE GOVERN,Dona,03/09/1964,1964,9
,1,ORGANS DE GOVERN,Dona,21/09/1982,1982,9
,1,ORGANS DE GOVERN,Home,27/06/1975,1975,6
,1,ORGANS DE GOVERN,Dona,23/10/1981,1981,10
,1,ORGANS DE GOVERN,Dona,13/01/1984,1984,1
,1,ORGANS DE GOVERN,Home,23/09/1970,1970,9
,1,ORGANS DE GOVERN,Home,27/07/1976,1976,7
,1,ORGANS DE GOVERN,Home,09/11/1974,1974,11
,1,ORGANS DE GOVERN,Home,08/08/1980,1980,8
,1,ORGANS DE GOVERN,Dona,04/02/1984,1984,2
,1,ORGANS DE GOVERN,Home,02/05/1967,1967,5
,1,ORGANS DE GOVERN,Dona,01/01/1967,1967,1
,1,ORGANS DE GOVERN,Dona,12/04/1993,1993,4
,1,ORGANS DE GOVERN,Dona,05/03/1975,1975,3
1,2,GERENCIA,Dona,17/11/1954,1954,11
1,2,GERENCIA,Home,13/05/1963,1963,5
13,17,RECURSOS HUMANS,Dona,06/02/1979,1979,2
13,17,RECURSOS HUMANS,Dona,06/05/1972,1972,5
13,17,RECURSOS HUMANS,Dona,28/06/1963,1963,6
13,17,RECURSOS HUMANS,Dona,04/05/1964,1964,5
13,17,RECURSOS HUMANS,Dona,17/08/1970,1970,8
13,17,RECURSOS HUMANS,Home,09/12/1958,1958,12
13,17,RECURSOS HUMANS,Home,28/09/1978,1978,9
13,17,RECURSOS HUMANS,Dona,03/03/1969,1969,3
13,17,RECURSOS HUMANS,Dona,21/02/1975,1975,2
13,17,RECURSOS HUMANS,Dona,02/05/1967,1967,5
13,17,RECURSOS HUMANS,Dona,26/01/1970,1970,1
13,17,RECURSOS HUMANS,Dona,23/09/1952,1952,9
13,18,INFORMÀTICA,Home,23/02/1985,1985,2
13,18,INFORMÀTICA,Home,16/01/1982,1982,1
13,18,INFORMÀTICA,Home,19/08/1976,1976,8
13,18,INFORMÀTICA,Home,21/12/1987,1987,12
13,18,INFORMÀTICA,Dona,28/02/1954,1954,12
13,18,INFORMÀTICA,Dona,26/09/1964,1964,9
13,18,INFORMÀTICA,Home,11/10/1975,1975,10
13,18,INFORMÀTICA,Home,10/09/1974,1974,9
13,18,INFORMÀTICA,Dona,02/10/1976,1976,10
13,18,INFORMÀTICA,Home,15/04/1960,1960,4
13,18,INFORMÀTICA,Home,14/02/1957,1957,2
13,18,INFORMÀTICA,Home,02/12/1957,1957,12
13,18,INFORMÀTICA,Home,09/05/1957,1957,5
13,18,INFORMÀTICA,Home,05/06/1966,1966,6
13,18,INFORMÀTICA,Dona,17/09/1971,1971,9
13,18,INFORMÀTICA,Dona,29/08/1963,1963,8
13,18,INFORMÀTICA,Home,10/11/1961,1961,11
13,22,SERVEIS JURÍDICS,Dona,13/04/1979,1979,4
13,22,SERVEIS JURÍDICS,Dona,28/09/1965,1965,9
13,22,SERVEIS JURÍDICS,Dona,28/11/1959,1959,11
13,22,SERVEIS JURÍDICS,Dona,28/10/1954,1954,10
13,22,SERVEIS JURÍDICS,Dona,08/02/1962,1962,2
13,22,SERVEIS JURÍDICS,Dona,31/12/1970,1970,12
13,24,HISENDA I SERVEIS ECONÒMICS,Dona,08/05/1970,1970,5
13,26,TRESORERIA,Dona,16/07/1975,1975,7
13,26,TRESORERIA,Dona,31/12/1973,1973,12
13,26,TRESORERIA,Home,07/11/1956,1956,11
13,26,TRESORERIA,Dona,19/08/1974,1974,8
13,27,SECRETARIA GENERAL,Dona,08/06/1982,1982,6
13,27,SECRETARIA GENERAL,Dona,04/08/1974,1974,8
13,27,SECRETARIA GENERAL,Dona,27/04/1961,1961,4
13,27,SECRETARIA GENERAL,Dona,15/06/1973,1973,6
