Area del Ayuntamiento que afecta,Entidad/es con las que el Ayuntamiento firma,Objeto Convenio,Obligaciones economicas convenidas (Ayuntamiento),Duracion inicial (en meses),Fecha firma,Situacion,Modificaciones,Personas obligadas a la realizacion de las prestaciones
Registro,Administración General del Estado,"Permitir a los ciudadanos que presenten en los registros del Ayuntamiento de Alhaurín de la Torre solicitudes, escritos y comunicaciones dirigidos a la A.G.E. y a las entidades de derecho público con personalidad jurídica propia vinculadas o dependientes de aquélla.",No,48,13/11/02,Prorrogado,No,Ayuntamiento de Alhaurín de la Torre
Padrón / Urbanismo / Intervención / Tesorería,Dirección General del Catastro,Colaboración para el ejercicio de las funciones de gestión catastral.,No,12,18/11/02,Prorrogado,No,Ayuntamiento de Alhaurín de la Torre / Dirección General del Catastro
Medio Ambiente,Consejería de Medio Ambiente de la Junta de Andalucía,Gestión del monte Jabalcuza.,No,60,22/07/04,Prorrogado,No,Ayuntamiento de Alhaurín de la Torre / Consejería de Medio Ambiente de la Junta de Andalucía
Formación y Empleo,Servicio Andaluz de Empleo,"Colaboración para el suministro, instalación, mantenimiento y soporte de un PUnto de Información y Gestión en el municipio.",No,Indefinido,12/12/06,En vigor,No,Ayuntamiento de Alhaurín de la Torre / Servicio Andaluz de Empleo
Servicio Municipal de Aguas,"EMASA, S.A.",Establecimiento de las condiciones económicas derivadas de la recepción en la EDAR del Guadalhorce o del Peñón del Cuervo de las aguas residuales de Alhaurín de la Torre,"El Ayuntamiento abonará a EMASA, S.A. el importe resultante de aplicar al volumen de agua residual las tarifas aprobadas por el Ayuntamiento de Málaga (en el momento de la firma Ordenanza nº. 12, artículo 6º, apartado VI), aplicables a servicios prestados a otros municipios. / Fianza de 100.000,00 euros al momento de la firma / 2 avales por un total de 850.000,00 euros.",Indefinido / Finalizará en el momento de la constitución de la entidad que pasará a ser titular del servicio supramunicipal de depuración,26/01/09,En vigor,No,"Ayuntamiento de Alhaurín de la Torre / EMASA, S.A."
Sanidad,Consejería de Salud de la Junta de Andalucía,"Encomienda a la Consejería de Salud, a través de su Delegación Provincial de Málaga, el ejercicio de las funciones de tramitación de procedimientos sancionadores en materia de salud pública.",El Ayuntamiento abonará a la Junta de Andalucía el 25 por ciento del importe de cada sanción que haya percibido.,12,26/03/09,Prorrogado,No,Ayuntamiento de Alhaurín de la Torre / Consejería de Salud - Delegación Territorial en Málaga
Cultura,D. Julián Sesmero Ruiz,Protocolo de aceptación de la cesión del “Legado Sesmero”.,No,Indefinido,25/03/11,En vigor,No,Ayuntamiento de Alhaurín de la Torre
Bienestar Social,"Consejería de Salud y Bienestar Social / Dirección General de Personas Mayores, Infancia y Familia",Programa de tratamiento a familias con menores,1.360€,12,01/08/12,Prorrogado,Si (Se firma prórroga del convenio con fecha 15/07/14),"Dirección General de Pesonas Mayores, Infancia y Familias / Ayuntamiento de Alhaurín de la Torre"
Formación y Empleo,"Cámara de Comercio, Industria y Navegación de Málaga / Fundación Instituto Cameral para la Creación y Desarrollo de la Empresa",Establecer las líneas de colaboración de las partes firmantes encaminadas a mejorar la gestión empresarial a través de la creación de Viveros de Empresa,400.000€,180,20/12/13,En vigor,"Si (Por Addenda firmada el 23/12/2015 se modifica la estipulación cuarta “financiación”  quedando la obligación económica del Ayuntamiento fijada en 403.000,00 €)","Cámara de Comercio, Industria y Navegación de Málaga / Fundación Instituto Cameral para la Creación y Desarrollo de la Empresa / Ayuntamiento de Alhaurín de la Torre"
Tráfico,Jefatura Central de Tráfico,"Desarrollo de determinadas acciones en materia de tráfico y Seguridad  Vial, concretamente las relativas a transmisión de datos y acceso a registros.",No,12,14/01/14,Prorrogado,No,Jefatura Central de Tráfico / Ayuntamiento de Alhaurín de la Torre
