Fecha;Importe;AREA PRESUPUESTARIA;PROGRAMA PRESUPUESTARIO;IDENTIFICACI‡N;BENEFICIARIO;LINEA;CONCEPTO;;;;;;;;;;;;;
07/10/2015;532,08;ALCALD÷A;ORGANOS DE GOBIERNO;V47742440;GRUPO MUNICIPAL CIUDADANOS VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL CIUDADANOS (JUNIO-JULIO-AGOSTO Y SEPTIEMBRE);;;;;;;;;;;;;
07/10/2015;147,80;ALCALD÷A;ORGANOS DE GOBIERNO;V47742440;GRUPO MUNICIPAL CIUDADANOS VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL CIUDADANOS MES DE OCTUBRE;;;;;;;;;;;;;
03/11/2015;147,80;ALCALD÷A;ORGANOS DE GOBIERNO;V47742440;GRUPO MUNICIPAL CIUDADANOS VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL CIUDADANOS MES DE NOVIEMBRE;;;;;;;;;;;;;
16/12/2015;147,80;ALCALD÷A;ORGANOS DE GOBIERNO;V47742440;GRUPO MUNICIPAL CIUDADANOS VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL CIUDADANOS MES DE DICIEMBRE;;;;;;;;;;;;;
03/02/2015;1.393,24;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL PP MESES ENERO Y FEBRERO;;;;;;;;;;;;;
12/03/2015;696,62;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL PP MES DE MARZO;;;;;;;;;;;;;
30/03/2015;696,62;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL PP MES DE ABRIL;;;;;;;;;;;;;
21/05/2015;696,62;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL PP MES DE MAYO;;;;;;;;;;;;;
25/06/2015;278,65;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL PP DEL 1 AL 12 DE JUNIO 2015;;;;;;;;;;;;;
27/07/2015;763,65;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP JUNIO Y JULIO 2015;;;;;;;;;;;;;
