Defunciones de residentes en el Municipio de Valladolid. Año 2015.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tabla 1: Defunciones según mes de defunción y sexo.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tabla 2: Defunciones según edad y sexo.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tabla 3: Defunciones de menores de un año según tramo de edad y sexo.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tabla 4: Defunciones según grupo de edad, estado civil y sexo.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Defunciones de residentes en el Municipio de Valladolid según mes de defunción y sexo. Año 2015.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;;;;;;;
Mes;;Varones;Mujeres;;Total;;;;;;;;;;;;;;;
Enero;;169;222;;391;;;;;;;;;;;;;;;
Febrero;;130;157;;287;;;;;;;;;;;;;;;
Marzo;;132;149;;281;;;;;;;;;;;;;;;
Abril;;143;119;;262;;;;;;;;;;;;;;;
Mayo;;118;113;;231;;;;;;;;;;;;;;;
Junio;;132;108;;240;;;;;;;;;;;;;;;
Julio;;148;144;;292;;;;;;;;;;;;;;;
Agosto;;115;114;;229;;;;;;;;;;;;;;;
Septiembre;;102;115;;217;;;;;;;;;;;;;;;
Octubre;;121;134;;255;;;;;;;;;;;;;;;
Noviembre;;141;125;;266;;;;;;;;;;;;;;;
Diciembre;;117;114;;231;;;;;;;;;;;;;;;
Total;;1.568;1.614;;3.182;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Defunciones de residentes en el Municipio de Valladolid según edad y sexo. Año 2015.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;;;;;;;
Edad;;Varones;Mujeres;;Total;;;;;;;;;;;;;;;
0;;4;4;;8;;;;;;;;;;;;;;;
1;;..;..;;..;;;;;;;;;;;;;;;
2;;..;..;;..;;;;;;;;;;;;;;;
3;;1;..;;1;;;;;;;;;;;;;;;
4;;..;..;;..;;;;;;;;;;;;;;;
5;;..;..;;..;;;;;;;;;;;;;;;
6;;..;..;;..;;;;;;;;;;;;;;;
7;;..;..;;..;;;;;;;;;;;;;;;
8;;..;..;;..;;;;;;;;;;;;;;;
9;;..;..;;..;;;;;;;;;;;;;;;
10;;..;..;;..;;;;;;;;;;;;;;;
11;;1;..;;1;;;;;;;;;;;;;;;
12;;..;..;;..;;;;;;;;;;;;;;;
13;;..;..;;..;;;;;;;;;;;;;;;
14;;1;..;;1;;;;;;;;;;;;;;;
15;;1;..;;1;;;;;;;;;;;;;;;
16;;..;..;;..;;;;;;;;;;;;;;;
17;;1;..;;1;;;;;;;;;;;;;;;
18;;..;1;;1;;;;;;;;;;;;;;;
19;;1;..;;1;;;;;;;;;;;;;;;
20;;1;..;;1;;;;;;;;;;;;;;;
21;;..;1;;1;;;;;;;;;;;;;;;
22;;..;..;;..;;;;;;;;;;;;;;;
23;;..;2;;2;;;;;;;;;;;;;;;
24;;1;..;;1;;;;;;;;;;;;;;;
25;;2;..;;2;;;;;;;;;;;;;;;
26;;1;1;;2;;;;;;;;;;;;;;;
27;;..;..;;..;;;;;;;;;;;;;;;
28;;1;..;;1;;;;;;;;;;;;;;;
29;;2;2;;4;;;;;;;;;;;;;;;
30;;..;..;;..;;;;;;;;;;;;;;;
31;;..;..;;..;;;;;;;;;;;;;;;
32;;..;..;;..;;;;;;;;;;;;;;;
33;;1;1;;2;;;;;;;;;;;;;;;
34;;1;2;;3;;;;;;;;;;;;;;;
35;;..;..;;..;;;;;;;;;;;;;;;
36;;1;1;;2;;;;;;;;;;;;;;;
37;;..;..;;..;;;;;;;;;;;;;;;
38;;3;1;;4;;;;;;;;;;;;;;;
39;;3;2;;5;;;;;;;;;;;;;;;
40;;4;1;;5;;;;;;;;;;;;;;;
41;;5;..;;5;;;;;;;;;;;;;;;
42;;6;1;;7;;;;;;;;;;;;;;;
43;;7;2;;9;;;;;;;;;;;;;;;
44;;4;3;;7;;;;;;;;;;;;;;;
45;;5;6;;11;;;;;;;;;;;;;;;
46;;3;3;;6;;;;;;;;;;;;;;;
47;;3;2;;5;;;;;;;;;;;;;;;
48;;5;2;;7;;;;;;;;;;;;;;;
49;;6;2;;8;;;;;;;;;;;;;;;
50;;4;4;;8;;;;;;;;;;;;;;;
51;;7;4;;11;;;;;;;;;;;;;;;
52;;6;4;;10;;;;;;;;;;;;;;;
53;;9;7;;16;;;;;;;;;;;;;;;
54;;11;10;;21;;;;;;;;;;;;;;;
55;;12;11;;23;;;;;;;;;;;;;;;
56;;11;4;;15;;;;;;;;;;;;;;;
57;;6;3;;9;;;;;;;;;;;;;;;
58;;16;8;;24;;;;;;;;;;;;;;;
59;;17;7;;24;;;;;;;;;;;;;;;
60;;10;7;;17;;;;;;;;;;;;;;;
61;;19;4;;23;;;;;;;;;;;;;;;
62;;22;5;;27;;;;;;;;;;;;;;;
63;;20;9;;29;;;;;;;;;;;;;;;
64;;23;11;;34;;;;;;;;;;;;;;;
65;;28;20;;48;;;;;;;;;;;;;;;
66;;24;13;;37;;;;;;;;;;;;;;;
67;;30;11;;41;;;;;;;;;;;;;;;
68;;28;18;;46;;;;;;;;;;;;;;;
69;;27;15;;42;;;;;;;;;;;;;;;
70;;38;15;;53;;;;;;;;;;;;;;;
71;;39;17;;56;;;;;;;;;;;;;;;
72;;32;18;;50;;;;;;;;;;;;;;;
73;;32;18;;50;;;;;;;;;;;;;;;
74;;41;20;;61;;;;;;;;;;;;;;;
75;;40;25;;65;;;;;;;;;;;;;;;
76;;32;12;;44;;;;;;;;;;;;;;;
77;;39;14;;53;;;;;;;;;;;;;;;
78;;40;28;;68;;;;;;;;;;;;;;;
79;;45;39;;84;;;;;;;;;;;;;;;
80;;38;47;;85;;;;;;;;;;;;;;;
81;;54;48;;102;;;;;;;;;;;;;;;
82;;63;45;;108;;;;;;;;;;;;;;;
83;;57;49;;106;;;;;;;;;;;;;;;
84;;52;53;;105;;;;;;;;;;;;;;;
85;;65;52;;117;;;;;;;;;;;;;;;
86;;51;71;;122;;;;;;;;;;;;;;;
87;;61;75;;136;;;;;;;;;;;;;;;
88;;65;78;;143;;;;;;;;;;;;;;;
89;;51;80;;131;;;;;;;;;;;;;;;
90;;40;89;;129;;;;;;;;;;;;;;;
91;;44;62;;106;;;;;;;;;;;;;;;
92;;39;85;;124;;;;;;;;;;;;;;;
93;;36;70;;106;;;;;;;;;;;;;;;
94;;24;68;;92;;;;;;;;;;;;;;;
95;;9;46;;55;;;;;;;;;;;;;;;
96;;11;40;;51;;;;;;;;;;;;;;;
97;;11;38;;49;;;;;;;;;;;;;;;
98;;7;23;;30;;;;;;;;;;;;;;;
99;;1;20;;21;;;;;;;;;;;;;;;
100;;..;18;;18;;;;;;;;;;;;;;;
Más de 100;;6;36;;42;;;;;;;;;;;;;;;
Total;;1.568;1.614;;3.182;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Defunciones de menores de un año residentes en el Municipio de Valladolid según tramo de edad y sexo. Año 2015.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;;;;;;;
Edad de defunción;;Varones;Mujeres;;Total;;;;;;;;;;;;;;;
Menos de 24 h.;;1;..;;1;;;;;;;;;;;;;;;
De 1 a 6 días;;2;2;;4;;;;;;;;;;;;;;;
De 7 a 27 días;;..;1;;1;;;;;;;;;;;;;;;
De 28 días a 2 meses;;1;..;;1;;;;;;;;;;;;;;;
De 3 a 5 meses;;..;..;;..;;;;;;;;;;;;;;;
De 6 a 8 meses;;..;1;;1;;;;;;;;;;;;;;;
De 9 a 11 meses;;..;..;;..;;;;;;;;;;;;;;;
Total;;4;4;;8;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Defunciones de residentes en el Municipio de Valladolid según grupo de edad, estado civil y sexo. Año 2015.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Soltero;;;;Casado;;;;Viudo;;;;Divorciado;;;;Total;;
Grupo de Edad;;Varón;Mujer;Total;;Varón;Mujer;Total;;Varón;Mujer;Total;;Varón;Mujer;Total;;Varón;Mujer;Total
0-4;;5;4;9;;0;0;0;;0;0;0;;0;0;0;;5;4;9
05-sep;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0
oct-14;;2;0;2;;0;0;0;;0;0;0;;0;0;0;;2;0;2
