DENOMINACION;TIPO;LOCALIZACION_TIPO DE VIA;;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;ENTIDAD RESPONSABLE
Piscina Benito Sanz de la Rica;Cubierta;Paseo;Zorrilla;101;47007;355209,81;4610420,94;983273782;Fundaci¢n Municipal de Deportes
Piscina Ribera de Castilla;Cubierta;Plaza;Ribera de Castilla;4A;47010;356936,22;4614290,48;983310307;Fundaci¢n Municipal de Deportes
Piscina Puente Duero;Verano;Calle;Real;2B;47152;350953,8;4602619,06;983426306;Fundaci¢n Municipal de Deportes
Piscina Henar Alonso Pimentel;Cubierta;Plaza;Bi¢logo JosÇ Antonio Valverde;3;47012;357667,36;4611894,72;983212612;Fundaci¢n Municipal de Deportes
Piscina Huerta del Rey;Cubierta;Calle;Joaqu°n Velasco Mart°n;9;47014;355299,76;4612308,24;983426305;Fundaci¢n Municipal de Deportes
Piscina Canterac;Cubierta;Paseo;Juan Carlos I;16;47013;356915,71;4610750,02;983477904;Fundaci¢n Municipal de Deportes
Piscina Canterac;Verano;Paseo;Juan Carlos I;16;47013;356915,71;4610750,02;983477904;Fundaci¢n Municipal de Deportes
Piscina  la Victoria;Cubierta;Calle;Fuente el Sol;62;47009;355711,97;4614270,68;983344019;Fundaci¢n Municipal de Deportes
Piscina Rondilla;Verano;Calle;Cardenal Torquemada;63;47010;357111,64;4614321,37;680441148;Fundaci¢n Municipal de Deportes
Piscina Parquesol;Cubierta;Calle;Padre Llanos;1;47014;353778,5;4611616,77;983352611;Fundaci¢n Municipal de Deportes
Piscina Juan de Austria;Verano;Plaza;Juan de Austria;s/n;47006;355018,5;4611220,03;630136856;Fundaci¢n Municipal de Deportes
Piscina Valle Esgueva;Cubierta;Avenida;Valle de Esgueva ;59;47011;357772,91;4613615,54;983266347;Junta de Castilla y Le¢n
Piscina Valle Esgueva;Verano;Avenida;Valle de Esgueva ;59;47011;357772,91;4613615,54;983266347;Junta de Castilla y Le¢n
