FECHA DE LA OBLIGACI‡N;IMPORTE;µREA PRESUPUESTARIA;PROGRAMA PRESUPUESTARIO;IDENTIFICACI‡N DEL BENEFICIARIO;BENEFICIARIO;L÷NEA;CONCEPTO
18/03/2014;13.000,00;ALCALDIA;GOBIERNO Y RELACIONES;G09305129;ASOC. IBERICA MUNICIPIOS RIBERE•OS DUERO;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA DEL AYUNTAMIENTO VALLADOLID A LA AIMRD DEL A•O 2014
27/02/2014;17.436,90;ALCALDIA;GOBIERNO Y RELACIONES;G28783991;FEDERACION  ESPA•OLA MUNICIPIOS Y PROVINCIAS;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA 2014 ASOCIADO A LA FEMP
12/02/2014;1.000,00;ALCALDIA;GOBIERNO Y RELACIONES;N4121033G;ORGAN.IBEROAMERICANA COOP.INTERMUNICIPAL;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA A•O 2014 COMO MIEMBRO ASOCIADO DE LA ORGANIZACI‡N IBEROAMERICANA DE COOPERACI‡N INTERMUNICIPAL (OICI)
20/11/2014;3.005,00;ALCALDIA;GOBIERNO Y RELACIONES;P4700017I;MANCOMUNIDAD MUPAL TIERRAS DE VALLADOLID;CUOTA SOCIACIONES SUPRAMUNICIPALES;ABONO CUOTA A•O 2014 PERTENENCIA A MANCOMUNIDAD TIERRAS DE VALLADOLID
28/03/2014;12.393,56;ALCALDIA;GOBIERNO Y RELACIONES;V34041046;FEDERACION REGIONAL DE MUNICIPIOS Y PROVINCIAS DE CASTILLA Y LEON;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA A•O 2014 PERTENENCIA A LA FRMP
14/04/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE ABRIL
21/08/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE AGOSTO
03/12/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE DICIEMBRE
12/02/2014;433,08;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE ENERO
21/02/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE FEBRERO
09/07/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE JULIO
04/06/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE JUNIO
11/03/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE MARZO
12/05/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE MAYO
24/10/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE NOVIEMBRE
29/09/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE OCTUBRE
09/09/2014;433,03;ALCALDIA;‡RGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL);GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE SEPTIEMBRE
14/04/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE ABRIL
21/08/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE AGOSTO
03/12/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE DICIEMBRE
12/02/2014;696,63;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE ENERO
