;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Variaciones Residenciales con origen o destino en el Municipio de Valladolid. 2011-2014.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 1: Inmigrantes llegados a la ciudad de Valladolid según sexo, procedencia y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 2: Emigrantes salidos de la ciudad de Valladolid según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 3: Saldo migratorio de la ciudad de Valladolid según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Inmigrantes llegados a la ciudad de Valladolid según sexo, procedencia y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Resto de España;;;;Extranjero;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;9.433;4.552;4.881;;7.637;3.723;3.914;;1.796;829;967
2012;;7.590;3.714;3.876;;6.395;3.133;3.262;;1.195;581;614
2013;;7.276;3.534;3.742;0;6.195;2.958;3.237;;1.081;576;505
2014;;7.906;3.844;4.062;;6.801;3.308;3.493;;1.105;536;569
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Emigrantes salidos de la ciudad de Valladolid según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Resto de España;;;;Extranjero;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;9.967;5.114;4.853;;8.441;4.281;4.160;;1.526;833;693
2012;;8.891;4.523;4.368;;7.749;3.914;3.835;;1.142;609;533
2013;;8.700;4.333;4.367;;7.517;3.745;3.772;;1.183;588;595
2014;;9.310;4.788;4.522;;7.656;3.887;3.769;;1.654;901;753
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Saldo migratorio de la ciudad de Valladolid según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Resto de España;;;;Extranjero;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;-534;-562;28;0;-804;-558;-246;0;270;-4;274
2012;;-1.301;-809;-492;0;-1.354;-781;-573;0;53;-28;81
2013;;-1.424;-799;-625;0;-1.322;-787;-535;0;-102;-12;-90
2014;;-1.404;-944;-460;0;-855;-579;-276;0;-549;-365;-184
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
