;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Variaciones Residenciales con origen o destino en el Municipio de Valladolid según grupo de edad. 2011-2014.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Tabla 1: Inmigrantes llegados a la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
Tabla 2: Emigrantes salidos de la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
Tabla 3: Saldo migratorio de la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Inmigrantes llegados a la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;Grupo de edad;;;;;;;
Año;;Total;;Menos de 16 años;De 16 a 24 años;De 25 a 34 años;De 35 a 44 años;De 45 a 54 años;De 55 a 64 años;De 65 años y más;
2011;;9.433;;1.653;1.096;2.666;1.937;876;463;742;
2012;;7.590;;1.354;854;1.996;1.608;748;425;605;
2013;;7.276;;1.340;871;1.772;1.566;827;354;546;
2014;;7.906;;1.362;909;2.012;1.713;850;448;612;
;;;;;;;;;;;
;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Emigrantes salidos de la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;Grupo de edad;;;;;;;
Año;;Total;;Menos de 16 años;De 16 a 24 años;De 25 a 34 años;De 35 a 44 años;De 45 a 54 años;De 55 a 64 años;De 65 años y más;
2011;;9.967;;1.420;1.057;3.324;2.177;904;534;551;
2012;;8.891;;1.369;957;2.827;1.844;853;464;577;
2013;;8.700;;1.388;915;2.622;1.809;853;511;602;
2014;;9.310;;1.311;957;2.796;1.972;1.026;591;657;
;;;;;;;;;;;
;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Saldo migratorio de la ciudad de Valladolid según grupo de edad y año.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;Grupo de edad;;;;;;;
Año;;Total;;Menos de 16 años;De 16 a 24 años;De 25 a 34 años;De 35 a 44 años;De 45 a 54 años;De 55 a 64 años;De 65 años y más;
2011;;-534;0;233;39;-658;-240;-28;-71;191;
2012;;-1.301;0;-15;-103;-831;-236;-105;-39;28;
2013;;-1.424;;-48;-44;-850;-243;-26;-157;-56;
2014;;-1.404;0;51;-48;-784;-259;-176;-143;-45;
;;;;;;;;;;;
;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;
