"Ayuntamiento
de Valladolid";;;;;;;;
;;;;;;;;
;;;;;;;;
Indice de Precios al Consumo (I.P.C.). España, Castilla y León y provincia de Valladolid.;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Tabla 1: Evolución de la tasa anual de inflación. Periodo 1993-2009.;;;;;;;;
;;;;;;;;
Tabla 2: Evolución mensual del Índice General desde enero de 2002. Base 2001=100.;;;;;;;;
;;;;;;;;
Tabla 3: Evolución mensual de la tasa interanual de inflación desde enero de 2002. Base 2001=100.  ;;;;;;;;
;;;;;;;;
Tabla 4: Evolución de la tasa mensual de inflación desde enero de 2002. Base 2001=100.;;;;;;;;
;;;;;;;;
Tabla 5: Evolución mensual del Índice General desde enero de 2007. Base 2006=100.;;;;;;;;
;;;;;;;;
Tabla 6: Evolución mensual de la tasa interanual de inflación desde enero de 2007. Base 2006=100.  ;;;;;;;;
;;;;;;;;
Tabla 7: Evolución de la tasa mensual de inflación desde enero de 2007. Base 2006=100.;;;;;;;;
;;;;;;;;
Tabla 8: Evolución mensual del Índice General desde enero de 2012. Base 2011=100.;;;;;;;;
;;;;;;;;
Tabla 9: Evolución mensual de la tasa interanual de inflación desde enero de 2012. Base 2011=100.  ;;;;;;;;
;;;;;;;;
Tabla 10: Evolución de la tasa mensual de inflación desde enero de 2012. Base 2011=100.;;;;;;;;
;;;;;;;;
Evolución de la tasa anual de inflación. España, Castilla y León y Provincia de Valladolid. Periodo 1993-2014.;;;;;;;;
;;;;;;;;
;;;;;;;;
Año;;España;;Castilla y León ;;Valladolid Provincia;;
1993;;4,9;;5,2;;..;;
1994;;4,3;;4,3;;4,6;;
1995;;4,3;;4,3;;4,4;;
1996;;3,2;;3,4;;3,2;;
1997;;2,0;;1,8;;2,0;;
1998;;1,4;;0,9;;1,0;;
1999;;2,9;;3,1;;2,9;;
2000;;4,0;;4,1;;4,1;;
2001;;2,7;;2,5;;3,0;;
2002;;4,0;;3,6;;4,0;;
2003;;2,6;;2,1;;2,1;;
2004;;3,2;;3,1;;2,5;;
2005;;3,7;;3,7;;3,9;;
2006;;2,7;;2,7;;2,6;;
2007;;4,2;;4,5;;4,3;;
2008;;1,4;;1,1;;1,3;;
2009;;0,8;;0,7;;0,7;;
2010;;3,0;;3,2;;3,0;;
2011;;2,4;;2,7;;2,7;;
2012;;2,9;;2,9;;3,2;;
2013;;0,3;;0,5;;0,4;;
2014;;-1,0;;-1,2;;-1,0;;
;;;;;;;;
Fuente: Instituto Nacional de Estadística (I.N.E.). ;;;;;;;;
;;;;;;;;
Evolución mensual del Índice General. España, Castilla y León y Provincia de Valladolid. 2002-2006. Base 2001=100.;;;;;;;;
;;;;;;;;
;;;;;;;;
Periodo;;España;;Castilla y León ;;Valladolid Provincia;;
Año 2002;;;;;;;;
   Enero;;101,3;;101,2;;100,8;;
   Febrero;;101,4;;101,2;;101,0;;
   Marzo;;102,2;;102,0;;101,9;;
   Abril;;103,6;;103,2;;103,1;;
   Mayo;;103,9;;103,6;;103,4;;
   Junio;;104,0;;103,6;;103,4;;
   Julio;;103,2;;103,0;;102,6;;
   Agosto;;103,5;;103,3;;102,8;;
