Matrimonios en el Municipio de Valladolid. Año 2015.;;;;;
;;;;;
;;;;;
Tabla 1: Matrimonios que han fijado su residencia en el municipio según mes de celebración.;;;;;
;;;;;
Tabla 2: Matrimonios que han fijado su residencia en el municipio según grupo de edad de los esposos.;;;;;
;;;;;
Tabla 3: Matrimonios que han fijado su residencia en el municipio según estado civil anterior de los esposos.;;;;;
;;;;;
Tabla 4: Matrimonios que han fijado su residencia en el municipio según forma de celebración.;;;;;
;;;;;
Tabla 5: Matrimonios que han fijado su residencia en el municipio según composición del matrimonio.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Matrimonios de diferente sexo que han fijado su residencia en el municipio de Valladolid según mes de celebración. Año 2015.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Mes de celebración;;;;;
Enero;;29;;;
Febrero;;28;;;
Marzo;;48;;;
Abril;;44;;;
Mayo;;114;;;
Junio;;145;;;
Julio;;172;;;
Agosto;;131;;;
Septiembre;;115;;;
Octubre;;98;;;
Noviembre;;30;;;
Diciembre;;32;;;
Total;;986;;;
;;;;;
;;;;;
;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Matrimonios de diferente sexo que han fijado su residencia en el Municipio de Valladolid según grupo de edad de los esposos. Año 2015.;;;;;
;;;;;
;;;;;
;;;;;
Grupo de edad;;Esposo;Esposa;;
De menos de 20;;2;7;;
20-24;;18;24;;
25-29;;90;147;;
30-34;;317;361;;
35-39;;247;246;;
40-44;;152;80;;
45-49;;60;53;;
50-54;;35;37;;
55-59;;25;22;;
60 o más;;40;9;;
Total;;986;986;;
;;;;;
;;;;;
;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Matrimonios de diferente sexo que han fijado su residencia en el Municipio de Valladolid según estado civil anterior de los esposos. Año 2015.;;;;;
;;;;;
;;;;;
;;;;;
Estado civil;;Esposo;;Esposa;
Soltero/a;;857;;869;
Viudo/a;;13;;3;
Divorciado/a;;116;;114;
Total;;986;;986;
;;;;;
;;;;;
;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Matrimonios de diferencte sexo que han fijado su residencia en el municipio de Valladolid según forma de celebración. Año 2015.;;;;;
;;;;;
;;;;;
;Forma de celebración;;;;
;Boda católica;Exclusivamente civil;Otras religiones;;Total
;386;596;4;;986
;;;;;
;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Matrimonios que han fijado su residencia en el municipio según composición del matrimonio. Año 2015.;;;;;
;;;;;
;;;;;
;;;;;
;Matrimonios de diferente sexo;Matrimonios entre varones;Matrimonios entre mujeres;;Total
;986;8;8;;1.002
;;;;;
;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;
