;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Variaciones Residenciales exteriores con origen o destino en el Municipio de Valladolid. 2011-2014.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 1: Inmigrantes procedentes del extranjero llegados a la ciudad de Valladolid según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 2: Emigrantes salidos de la ciudad de Valladolid con destino al extranjero según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 3: Saldo migratorio de la ciudad de Valladolid con el extranjero según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Inmigrantes procedentes del extranjero llegados a la ciudad de Valladolid según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Españoles;;;;Extranjeros;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;1.796;829;967;;168;75;93;;1.628;754;874
2012;;1.195;581;614;;122;57;65;;1.073;524;549
2013;;1.081;576;505;;127;63;64;;954;513;441
2014;;1.105;536;569;;199;95;104;;906;441;465
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Emigrantes salidos de la ciudad de Valladolid con destino al extranjero según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Españoles;;;;Extranjeros;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;1.526;833;693;;338;169;169;;1.188;664;524
2012;;1.142;609;533;;288;145;143;;854;464;390
2013;;1.183;588;595;;412;193;219;;771;395;376
2014;;1.654;901;753;;454;233;221;;1.200;668;532
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Saldo migratorio de la ciudad de Valladolid con el extranjero según sexo, nacionalidad y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Españoles;;;;Extranjeros;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
2011;;270;-4;274;0;-170;-94;-76;0;440;90;350
2012;;53;-28;81;0;-166;-88;-78;0;219;60;159
2013;;-102;-12;-90;0;-285;-130;-155;0;183;118;65
2014;;-549;-365;-184;0;-255;-138;-117;0;-294;-227;-67
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
