Nacimientos de madres residentes en el Municipio de Valladolid. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 1: Nacimientos según el mes.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 2: Nacimientos según sexo del nacido y edad y estado civil de la madre. ;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 3: Nacimientos según condición civil de la madre y orden del nacimiento.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 4: Nacimientos de madres casadas en primeras nupcias según años de casada y orden del nacimiento.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 5: Nacimientos según grupo de edad del padre y de la madre.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nacimientos de madres residentes en el Municipio de Valladolid según el mes. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Mes;;Nº de nacimientos;;;;;;;;;;
Enero;;192;;;;;;;;;;
Febrero;;160;;;;;;;;;;
Marzo;;200;;;;;;;;;;
Abril;;180;;;;;;;;;;
Mayo;;201;;;;;;;;;;
Junio;;170;;;;;;;;;;
Julio;;204;;;;;;;;;;
Agosto;;203;;;;;;;;;;
Septiembre;;174;;;;;;;;;;
Octubre;;192;;;;;;;;;;
Noviembre;;178;;;;;;;;;;
Diciembre;;184;;;;;;;;;;
Total;;2.238;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nacimientos de madres residentes en el Municipio de Valladolid según sexo del nacido y edad y estado civil de la madre. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Edad de la madre;;Casada;;;;No casada;;;;Total;;
;;Varones;Mujeres;Total;;Varones;Mujeres;Total;;Varones;Mujeres;Total
Menos de 15;;..;..;..;;..;1;1;;..;1;1
15;;..;..;..;;2;1;3;;2;1;3
16;;..;..;..;;4;6;10;;4;6;10
17;;..;1;1;;5;10;15;;5;11;16
18;;..;..;..;;..;10;10;;..;10;10
19;;1;..;1;;16;14;30;;17;14;31
20;;1;2;3;;14;12;26;;15;14;29
21;;1;1;2;;8;13;21;;9;14;23
22;;2;2;4;;11;4;15;;13;6;19
23;;5;2;7;;14;13;27;;19;15;34
24;;6;4;10;;12;8;20;;18;12;30
25;;6;14;20;;12;5;17;;18;19;37
26;;10;6;16;;15;7;22;;25;13;38
27;;9;11;20;;14;6;20;;23;17;40
28;;16;15;31;;17;16;33;;33;31;64
29;;24;23;47;;14;13;27;;38;36;74
30;;16;34;50;;18;20;38;;34;54;88
31;;38;34;72;;20;22;42;;58;56;114
32;;45;50;95;;30;22;52;;75;72;147
33;;44;47;91;;36;27;63;;80;74;154
34;;67;55;122;;33;29;62;;100;84;184
