NOMBRE;ENTRADILLA;DURACIÓN DEL CONTRATO;PRESUPUESTO DEL CONTRATO;IMPORTE TOTAL;PROCEDIMIENTO;NÚMERO DE LICITADORES;ADJUDICATARIO;DESISTIMIENTO Y RENUNCIA;PARTIDAS DE SUBCONTRATACIÓN;FECHA DE ADJUDICACIÓN; FECHA DE FORMALIZACIÓN
OBRA DE REFORMA DE LA PISTA POLIDEPORTIVA DE RIBERA DE CASTILLA;; El plazo de ejecución se establece en 4 meses;146.909,19 €;165.770 €;Abierto;;APIMET CONSTRUCCIONES AUTOPORTANTES S.L.;;;12/04/2017;30/05/2017
CONTRATO DE LA OBRA DE REMODELACIÓN DE LA CUBIERTA DE LA PISCINA CLIMATIZADA "PARQUESOL", DE VALLADOLID;; Plazo de ejecución: 30 días naturales;;279.736,57 €;Abierto;4;HARAL 12 SERVICIOS Y OBRAS, S.L.;;;21/09/2016;26/10/2016
CONTRATO DE OBRAS DE REFORMA DE LA INSTALACIÓN DE CLIMATIZACIÓN EN EL EDIFICIO MUNICIPAL DE SAN BENITO;; Ocho semanas;151.211,38 €;133.402,5 €;Abierto;7;TECNICAS DE AHORRO ENERGÉTICO;; No hay ninguna partida crítica que no pueda ser objeto de subcontratación. ;24/03/2017;10/04/2017
CONTRATO DE OBRAS DE REHABILITACIÓN DEL BLOQUE DE 6 VIVIENDAS DE LA CALLE ZORZAL Nº 12 DEL BARRIO "29 DE OCTUBRE", DE VALLADOLID;; El plazo de ejecución del contrato es de diez meses.;;294.622,7 €;Abierto;5;HARAL 12, Servicios y Obras, S.L.;; No hay ninguna partida que no pueda ser objeto de subcontratación;26/04/2017;5/05/2017
Contratación de la obra de actuaciones en válvulas de la arteria de 1000 mm. en el Puente de la Hispanidad;;  Cuatro meses.;153.094,76 €;179.797,43 €;;2;AGUAS DE VALLADOLID S.A.;;;11/01/2017;13/01/2017
CONTRATACION DE LAS OBRAS PARA LA REFORMA INTEGRAL DEL CENTRO DE PERSONAS MAYORES SAN JUAN;CONTRATACION DE LAS OBRAS PARA LA REFORMA INTEGRAL DEL CENTRO DE PERSONAS MAYORES SAN JUAN;  Se etablece un plazo de ejecucion de las obras proyectadas de 6 meses a contar desde la fecha de firma del acta de comprobacion de replanteol;918.113 €;862.960 €;Abierto;22;D-TODO INGENIERÍA Y DESARROLLO S.L.;;;16/11/2016;21/11/2016
CONTRATO DE OBRAS PARA LA INSTALACIÓN DE UNA PISTA PARA EL SKATE PARK EN LA CIUDAD DE VALLADOLID;; 2 meses;;111.436,84 €;Negociado sin publicidad;;Sistemas Jose, SL;;;;4/09/2012
Contrato de obras de reparación redes abastecimiento y saneamiento y urbanización calles Magaña y Solanilla;; 6 meses    ;361.007,52 €;;Abierto;;;;;;27/08/2013
CONTRATO MEDIANTE PROCEDIMIENTO NEGOCIADO PARA REHABILITACIÓN COLECTORES ZONA PLAZA MARTÍ Y MONSÓ;CONTRATO DE OBRA MEDIANTE PROCEDIMIENTO NEGOCIADO, TRAMITACIÓN ORDINARIA PARA REHABILITACIÓN COLECTORES ZONA PLAZA MARTÍ Y MONSÓ; 2 MESES;143.405,04 €;139.256,77 €;Negociado sin publicidad;;AGUAS DE VALLADOLID S.A.;;;17/10/2013;11/10/2013
EQUIPAMIENTO, DOTACIONES Y ALUMBRADO PLAZA DE LA ANTIGUA;; 2 MESES;61.233,61 €;73.722,2 €;Abierto;;TOYRSA;;;21/02/2014;28/02/2014
