EXERCICI,CODI ORGÀNIC,CODI DE PROGRAMA,CODI ECONÒMIC,NOM PARTIDA,PRESSUPOST INICIAL,PRESSUPOST ACTUAL,AUTORITZACIÓ (A),DISPOSICIÓ (D),OBLIGACIÓ (O),PAGAMENT (P),REALITZACIÓ DE PAGAMENT (RP),SALDO,% SALDO SOBRE PRESS. ACTUAL,MODIFICACIÓ,REMANENTS INCORPORATS,ALTRES MODIFICACIONS,REMANENT,A PENDENT,D PENDENT,O PENDENT,P PENDENT,RETENCIONS DE CRÈDIT,% D SOBRE CRÈDIT,% RP SOBRE OBLIGACIONS
2017,J1000,91220,12003,SOUS DEL GRUP C1 SECRETARIA ALCALDIA,€19967.36,€20167.03,€20167.03,€20167.03,€15959.84,€15959.84,€14490.82,€0.00,0.00%,€199.67,€0.00,,€4207.19,€0.00,€4207.19,€0.00,€1469.02,,100.00%,90.80%
2017,J1000,91220,12004,SOUS DEL GRUP C2 SECRETARIA ALCALDIA,€8462.86,€8547.49,€8547.49,€8547.49,€6718.83,€6718.83,€6107.52,€0.00,0.00%,€84.63,€0.00,,€1828.66,€0.00,€1828.66,€0.00,€611.31,,100.00%,90.90%
2017,J1000,91220,12006,TRIENNIS SECRETARIA ALCALDIA,€9498.18,€9593.16,€9593.16,€9593.16,€7300.64,€7300.64,€6703.28,€0.00,0.00%,€94.98,€0.00,,€2292.52,€0.00,€2292.52,€0.00,€597.36,,100.00%,91.82%
2017,J1000,91220,12100,COMPLEMENT DE DESTINACIÓ SECRETARIA ALCALDIA,€15834.56,€15992.91,€15992.91,€15992.91,€12566.07,€12566.07,€11423.70,€0.00,0.00%,€158.35,€0.00,,€3426.84,€0.00,€3426.84,€0.00,€1142.37,,100.00%,90.91%
2017,J1000,91220,12101,COMPLEMENT ESPECÍFIC SECRETARIA ALCALDIA,€40555.20,€40960.75,€40960.75,€40960.75,€32205.69,€32205.69,€29277.90,€0.00,0.00%,€405.55,€0.00,,€8755.06,€0.00,€8755.06,€0.00,€2927.79,,100.00%,90.91%
2017,J1000,91220,16000,SEGURETAT SOCIAL SECRETARIA ALCALDIA,€28720.11,€29007.31,€29007.31,€29007.31,€16144.63,€16144.63,€16144.63,€0.00,0.00%,€287.20,€0.00,,€12862.68,€0.00,€12862.68,€0.00,€0.00,,100.00%,100.00%
2017,J1000,91220,20301,ARRENDAMENT FONT D'AIGUA ALCALDIA,€450.00,€450.00,€377.52,€377.52,€377.52,€377.52,€377.52,€72.48,16.11%,€0.00,€0.00,,€72.48,€0.00,€0.00,€0.00,€0.00,,83.89%,100.00%
2017,J1000,91220,21400,MANTENIM.MAT.TRANSPORT ALCALDIA,€1000.00,€1000.00,€196.74,€196.74,€196.74,€196.74,€196.74,€803.26,80.33%,€0.00,€0.00,,€803.26,€0.00,€0.00,€0.00,€0.00,,19.67%,100.00%
2017,J1000,91220,22103,COMBUSTIBLE I CARBURANT  ALCALDIA,€1500.00,€1500.00,€1500.00,€1500.00,€648.82,€648.82,€648.82,€0.00,0.00%,€0.00,€0.00,,€851.18,€0.00,€851.18,€0.00,€0.00,,100.00%,100.00%
2017,J1000,91220,22104,VESTUARI ALCALDIA,€750.00,€750.00,€339.80,€339.80,€339.69,€339.69,€339.69,€410.20,54.69%,€0.00,€0.00,,€410.31,€0.00,€0.11,€0.00,€0.00,,45.31%,100.00%
