Actuació,% d'execució
"Potenciar el seguiment dels problemes hipotecaris a trav&eacute;s de la comissi&oacute; mixta integrada per la Plataforma d&rsquo;Afectats per les Hipoteques, el Col&middot;legi d&rsquo;Advocats, el Col&middot;legi d&rsquo;Aparelladors i Arquitectes T&egrave;cnics i l&rsquo;Ajuntament de Granollers.",67%
"Seguir invertint per una ciutat de qualitat en un horitz&oacute; de 10 anys, incrementant l'atractiu de la ciutat mitjan&ccedil;ant programes de millora d&rsquo;efici&egrave;ncia energ&egrave;tica, rehabilitaci&oacute; del parc d&rsquo;habitatges, gesti&oacute; dels residus urbans i mobilitat",64%
Establir mecanismes de mediaci&oacute; en els casos de problemes hipotecaris.,67%
Atendre les necessitats b&agrave;siques i urgents de subsist&egrave;ncia de la poblaci&oacute; en situaci&oacute; de greu risc social,67%
Treballar per l'elaboraci&oacute; d'ordenances i/o modificaci&oacute; de normes de planejament que permeti una millor regulaci&oacute; de nous usos del s&ograve;l i en la intervenci&oacute; en l'edificaci&oacute; existent,93%
Defensar la rehabilitaci&oacute; i la revitalitzaci&oacute; dels teixits urbans existents front dels creixements en extensi&oacute; per mantenir la m&agrave;xima integritat possible de l'entorn (sistema d&rsquo;espais obert),67%
Acc&eacute;s a l'habitatge per part de joves,0%
Proposar que els parlaments espanyol i catal&agrave; regulin que les entitats financeres rescatades amb diners p&uacute;blics i el SAREB destinin els pisos que tenen en propietat a lloguer assequible.,67%
"Estimular la participaci&oacute; dels propietaris d&rsquo;habitatges en els sistemes de cessi&oacute; d&rsquo;&uacute;s de les seves propietats per tal de cedir-los per al seu &uacute;s social, mitjan&ccedil;ant un model de gesti&oacute; que inclogui el manteniment i la conservaci&oacute; dels habitatges.",50%
Afrontar l'emerg&egrave;ncia en l'&agrave;mbit de l'habitatge i la pobresa energ&egrave;tica desplegant la llei 24/2015,75%
"Continuar possibilitant que les persones grans o en situaci&oacute; de depend&egrave;ncia puguin restar a casa potenciant els ajuts a l&rsquo;adaptaci&oacute; i rehabilitaci&oacute; dels habitatges, tot incrementant els serveis d&rsquo;atenci&oacute; a domicili i les ajudes t&egrave;cniques",67%
"Treballar perqu&egrave; el centre hist&ograve;ric esdevingui m&eacute;s equilibrat pel que fa als usos (comercial/residencial -franqu&iuml;cies/comer&ccedil; tradicional), i m&eacute;s atractiu pel que fa a la seva configuraci&oacute; urban&iacute;stica i el paisatge urb&agrave;.",80%
Fomentar la cultura del manteniment i de la rehabilitaci&oacute; d&rsquo;habitatges.,67%
Seguir vetllant perqu&egrave; no ni hagi habitatges buits especialment de les entitats financeres i filials immobili&agrave;ries i seguir incoant expedients sancionadors per aquells habitatges que portin m&eacute;s de dos anys buits.,67%
"En les situacions de risc social i infrahabitatge, posar en marxa actuacions especials impulsades directament des de l&rsquo;ajuntament.",60%
