RUTA,TIPUS DE RUTA,DISTÀNCIA (Km),TEMPS ESTIMAT,PUNT D'INTERÈS,ORDRE,DESCRIPCIÓ,FOTOGRAFIA,LOCALITZACIÓ
Itinerari del Padró,Ruta natural,7.6,1h 50min,Carrer de Josep Umbert,1,,,"(41.604218000000003, 2.2929349999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Cal Jardiner,2,,,"(41.594743000000001, 2.2934239999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Àrea de descans del Pedró,3,,,"(41.587623999999998, 2.2940719999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Els Quatre Camins,4,,,"(41.582915, 2.2919130000000001)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,El Camí Ral,5,,,"(41.581530000000001, 2.2801049999999998)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,El Parc Firal,6,,,"(41.596929000000003, 2.277936)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Plaça de la Constitució,7,,,"(41.610883000000001, 2.2833420000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Plaça de Josep Oliveres,1,,,"(41.586855, 2.2790949999999999)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Camí de Can Pastor - Pas FFCC,2,,,"(41.598526, 2.275623)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Sant Nicolau,3,,,"(41.602058, 2.2740490000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Camí de l'Escanyat,4,,,"(41.607917, 2.2742930000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Verneda de Can Gili,5,,,"(41.613038000000003, 2.2741980000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Font del Ràdium - Àrea de descans,6,,,"(41.601823000000003, 2.2680189999999998)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de can Ferran,7,,,"(41.588549, 2.2626550000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Can Català,8,,,"(41.575982000000003, 2.265101)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Can Gordi,9,,,"(41.569361999999998, 2.2620040000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Can Cabanyes - bosc i aiguamoll,10,,,"(41.56756, 2.2673260000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Passeig Fluvial,11,,,"(41.597715000000001, 2.278308)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,," La Porxada, segle XVI",1,"Llotja de gra aixecada pel mestre de cases Bartomeu Brufalt a l&rsquo;antiga pla&ccedil;a Major entre 1586 i 1587. Fa 24 metres de llarg&agrave;ria per 15,65 d&rsquo;ampl&agrave;ria i consta de 15
columnes d&rsquo;ordre tosc&agrave;. Aquesta obra fou concebuda pel Consell de la vila de Granollers en un per&iacute;ode de creixement demogr&agrave;fic i econ&ograve;mic de la ciutat. Des del
segle XVI ha estat el nucli de l&rsquo;important mercat d&rsquo;abast comarcal. Al llarg de les cent&uacute;ries ha patit diverses reformes, fins que l&rsquo;any 1872 l&rsquo;antiga llotja de blat s&rsquo;obr&iacute; a
tota mena de mercaderies. Tot i mantenir intacta la primitiva estructura pel que fa a les columnes, el pas del temps ha obligat a canviar diverses vegades l'embigat de la coberta, totalment o parcialment. Aquestes restauracions romanen registrades a les marques de les antigues bigues angulars (1751, 1881 i 1940). La darrera gran restauraci&oacute; est&agrave; datada entre el 1985 i el 1987, i es pot comprovar entre d&rsquo;altres a la biga mestra del carener. De la Pedra de l&rsquo;Encant, situada al peu d&rsquo;una de les columnes de la Porxada, s&rsquo;expliquen algunes llegendes, per&ograve; en realitat servia per fer els encants p&uacute;blics (subhasta).",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto01.jpg,"(41.608141000000003, 2.2874910000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XV",2,"Pla&ccedil;a de la Porxada, 20

Casa cantonera bastida sobre les arcades dels porxos on es feia mercat. Destaca al primer pis una finestra geminada, d&rsquo;arc lobulat sobre impostes decorades amb flors.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto02.jpg,"(41.608314999999997, 2.2879659999999999)"
