EXERCICI,CODI ORGÀNIC,CODI ECONÒMIC,NOM PARTIDA,PRESSUPOST INICIAL,MODIFICACIÓ,PRESSUPOST ACTUAL,DR ANUL·LAT,DR CANCEL·LAT,DR ALTRA ANUL·LACIÓ,DR NET,DRET RECONEGUT ( DR),ORDRE D'INGRÉS (OI),INGRÉS (I),DEVOLUCIÓ D'INGRÉS,INGRÉS NET,SALDO,DEUTORS,% DR SOBRE PREVISIONS,% INGRÉS NET SOBRE DR
2017,J1110,32904,TAXA MATRIM.CIVILS ALCALDIA,€12000.00,€0.00,€12000.00,€0.00,€0.00,,€11959.00,€11959.00,€11959.00,€11959.00,€0.00,€11959.00,€41.00,€0.00,99.66%,100.00%
2017,J1130,36001,VENDA DE PUBLICACIONS IMATGE I COMUNICACIO,€250.00,€0.00,€250.00,€0.00,€0.00,,€105.58,€105.58,€0.00,€0.00,€0.00,€0.00,€144.42,€105.58,42.23%,0.00%
2017,J1130,36008,SERVEIS D'IMPREMTA,€100.00,€0.00,€100.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€100.00,€0.00,0.00%,0.00%
2017,J1140,39909,ALTRES INGRESSOS CONSORCI TDT,€17300.00,€0.00,€17300.00,€0.00,€0.00,,€17452.80,€17452.80,€8726.40,€8726.40,€0.00,€8726.40,€-152.80,€8726.40,100.88%,50.00%
2017,J1210,32500,TAXA PER EXPEDICIONS DOCUMENTS SECRETARIA,€4000.00,€0.00,€4000.00,€0.00,€0.00,,€1281.15,€1281.15,€1281.15,€1281.15,€0.00,€1281.15,€2718.85,€0.00,32.03%,100.00%
2017,J1210,38901,REINTEG.EX.TANCATS COSTES PROCESSALS,€1000.00,€0.00,€1000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€1000.00,€0.00,0.00%,0.00%
2017,J1210,39900,ALTRES INGRESSOS PATRIMONI,€0.00,€0.00,€0.00,€0.00,€0.00,,€100.00,€100.00,€100.00,€100.00,€0.00,€100.00,€-100.00,€0.00,0.00%,100.00%
2017,J1210,39908,INGR. EXPED.RESPONS.PATRIMONIAL,€40000.00,€0.00,€40000.00,€0.00,€0.00,,€1145.37,€1145.37,€1145.37,€1145.37,€0.00,€1145.37,€38854.63,€0.00,2.86%,100.00%
2017,J1210,42190,TRANSF.I.N.ESTADIST.PADRO,€700.00,€0.00,€700.00,€0.00,€0.00,,€697.86,€697.86,€697.86,€697.86,€0.00,€697.86,€2.14,€0.00,99.69%,100.00%
2017,J1210,55003,"CONCESSIO QUIOSCOS,BARS.. PATRIMONI",€15000.00,€0.00,€15000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€15000.00,€0.00,0.00%,0.00%
2017,J1300,32903,TAXA PER SERVEIS ARXIU MUNICIPAL,€1000.00,€0.00,€1000.00,€0.00,€0.00,,€253.35,€253.35,€253.35,€253.35,€0.00,€253.35,€746.65,€0.00,25.34%,100.00%
2017,J1300,45015,GENERALITAT FONS DOCUMENTALS,€9000.00,€0.00,€9000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€9000.00,€0.00,0.00%,0.00%
2017,J1300,46100,DIPUTACIO FONS DOCUMENTALS,€2500.00,€0.00,€2500.00,€0.00,€0.00,,€2700.00,€2700.00,€2700.00,€2700.00,€0.00,€2700.00,€-200.00,€0.00,108.00%,100.00%
2017,J1300,46101,DIPUTACIÓ FORUM DE GOVERNANÇA,€30000.00,€0.00,€30000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€30000.00,€0.00,0.00%,0.00%
2017,J1300,46188,DIPUTACIÓ RELACIONS INTERNACIONALS,€0.00,€7000.00,€7000.00,€0.00,€0.00,,€5950.00,€5950.00,€5950.00,€5950.00,€0.00,€5950.00,€1050.00,€0.00,85.00%,100.00%
2017,J1310,38900,REINTEGRAMENT EXERCICIS TANCATS,€0.00,€0.00,€0.00,€0.00,€0.00,,€1446.88,€1446.88,€1446.88,€1446.88,€0.00,€1446.88,€-1446.88,€0.00,0.00%,100.00%
2017,J1310,46100,DIPUTACIÓ OFICINA II PLA ESTRATEGIC,€18000.00,€4500.00,€22500.00,€0.00,€0.00,,€50175.00,€50175.00,€50175.00,€50175.00,€0.00,€50175.00,€-27675.00,€0.00,223.00%,100.00%
2017,J1310,49703,UE PROJECTE THERMOS,€83446.00,€0.00,€83446.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€83446.00,€0.00,0.00%,0.00%
2017,J1310,49707,UE PROJECTE ALERA,€0.00,€7440.57,€7440.57,€0.00,€0.00,,€11246.65,€11246.65,€11246.65,€11246.65,€0.00,€11246.65,€-3806.08,€0.00,151.15%,100.00%
2017,J1310,49708,UE PROJECTE COMPOSE,€0.00,€149816.39,€149816.39,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€149816.39,€0.00,0.00%,0.00%
2017,J1320,34922,PREU UTILITZACIO CENTRE DE CULTURA DE LA PAU,€0.00,€0.00,€0.00,€0.00,€0.00,,€74.16,€74.16,€74.16,€74.16,€0.00,€74.16,€-74.16,€0.00,0.00%,100.00%
2017,J1320,46181,DIPUTACIO CENTRE DE CULTURA DE LA PAU,€5000.00,€0.00,€5000.00,€0.00,€0.00,,€5000.00,€5000.00,€0.00,€0.00,€0.00,€0.00,€0.00,€5000.00,100.00%,0.00%
2017,J1320,46182,DIPUTACIO XARXA PER LA PAU,€71000.00,€5000.00,€76000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€76000.00,€0.00,0.00%,0.00%
2017,J1330,79101,FEDER ROCA UMBERT FÀBRICA DE LES ARTS,€200000.00,€0.00,€200000.00,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€200000.00,€0.00,0.00%,0.00%
2017,J1340,46180,DIPUTACIÓ COOPERACIÓ MARROC,€0.00,€986.10,€986.10,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€986.10,€0.00,0.00%,0.00%
2017,J1400,32501,TAXA PER FORMALITZACIÓ DE CONTRACTES,€4500.00,€0.00,€4500.00,€0.00,€0.00,,€5808.90,€5808.90,€5808.90,€5808.90,€0.00,€5808.90,€-1308.90,€0.00,129.09%,100.00%
2017,J1400,32503,TAXA PER BASTANTEIG DE PODERS OCCC,€800.00,€0.00,€800.00,€0.00,€0.00,,€1013.98,€1013.98,€1013.98,€1013.98,€0.00,€1013.98,€-213.98,€0.00,126.75%,100.00%
2017,J1400,39900,ALTRES INGRESSOS OCCC,€12000.00,€0.00,€12000.00,€0.00,€0.00,,€17038.47,€17038.47,€17038.47,€17038.47,€0.00,€17038.47,€-5038.47,€0.00,141.99%,100.00%
2017,J1400,55900,CONCESSIO MAQUINES VENDING OCCC,€3300.00,€0.00,€3300.00,€0.00,€0.00,,€3575.00,€3575.00,€3575.00,€3575.00,€0.00,€3575.00,€-275.00,€0.00,108.33%,100.00%
2017,J2100,11200,"I.B.I,NATURALESA RUSTICA",€9000.00,€0.00,€9000.00,€0.00,€0.00,,€22847.59,€22847.59,€1178.39,€1178.39,€0.00,€1178.39,€-13847.59,€21669.20,253.86%,5.16%
2017,J2100,11300,"I.B.I,NATURALESA URBANA",€17000000.00,€0.00,€17000000.00,€34027.25,€0.00,,€17701613.45,€17626161.98,€13563224.14,€13563224.14,€41424.22,€13521799.92,€-626161.98,€4104362.06,103.68%,76.71%
2017,J2100,11500,I. SOBRE VEHICLES TRACCIO MECANICA,€3200000.00,€0.00,€3200000.00,€19175.00,€205.29,,€3495448.50,€3469871.74,€2974285.56,€2974285.56,€6196.47,€2968089.09,€-269871.74,€501782.65,108.43%,85.54%
2017,J2100,11600,I.I.V.T.N.U. (PLUSVALUA),€1700000.00,€0.00,€1700000.00,€24853.25,€1513.52,,€2475820.42,€2428021.36,€1519076.41,€1519076.41,€21432.29,€1497644.12,€-728021.36,€930377.24,142.82%,61.68%
