ANY,EMPRESA,ÒRGAN,LLOC,SOU BASE,COMPLEMENTÀRIES,SEGURETAT SOCIAL,COST TOTAL,CONVENI,NIVELL,COMPLEMENT DE DESTÍ,GRUP ESPECÍFIC,GRUP DE COTITZACIÓ SS,EPÍGRAF SS,FUNCIONAL
2014,1,100,COORDINADOR/ASSSESSOR ÀREA DE GOVERN,€15061.45,€38674.02,€14523.60,€68259.07,AJ,A1,27,33,1,113,92000
2014,1,100,COORDINADORA ADMINISTRATIVA,€14751.10,€16266.18,€8204.16,€39221.44,AJ,A2,19,18,5,113,92000
2014,1,111,ALCALDE,€0.00,€0.00,€0.00,€0.00,AJ,A1,26,PO,1,113,91210
2014,1,111,TÈCNIC/A SUPORT GRUP MUNICIPAL PP,€4942.42,€7873.74,€4376.64,€17192.80,AJ,C1,16,9,5,113,91210
2014,1,111,SECRETARIA GRUP MUNICIPAL,€12044.88,€20674.22,€8648.36,€41367.46,AJ,C1,16,9,5,113,91210
2014,1,111,TÈCNIC/A SUPORT GRUP MUNICIPAL ICV-EUiA,€10016.39,€15747.20,€8795.32,€34558.91,AJ,C1,16,9,5,113,91210
2014,1,111,TECNIC SUPORT GRUP MUNICIPAL PP,€5034.54,€7873.74,€4408.20,€17316.48,AJ,C1,16,9,5,113,91210
2014,1,111,SECRETARIA GRUP MUNICIPAL,€13533.36,€15747.20,€11415.86,€40696.42,AJ,C1,16,9,5,113,91210
2014,1,111,TÈCNIC/A SUPORT GRUP MUNICIPAL ERC,€10069.01,€15747.20,€8816.28,€34632.49,AJ,C1,16,9,5,113,91210
2014,1,111,REGIDOR,€46671.52,€0.00,€14276.88,€60948.40,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€11667.88,€0.00,€4121.04,€15788.92,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€46671.52,€0.00,€14276.88,€60948.40,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€23335.76,€0.00,€7829.16,€31164.92,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€23335.76,€0.00,€7829.16,€31164.92,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€11667.88,€0.00,€4121.04,€15788.92,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€11667.88,€0.00,€4121.04,€15788.92,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€46671.52,€0.00,€14276.88,€60948.40,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€46671.52,€0.00,€14276.88,€60948.40,AJ,R,0,0,1,113,91210
2014,1,111,REGIDOR,€46671.52,€0.00,€14276.88,€60948.40,AJ,R,0,0,1,113,91210
2014,1,112,CAP SERVEI COMPRES I CONTRACTACIÓ,€18792.48,€25010.72,€11358.24,€55161.44,AJ,A1,25,29,1,113,92030
2014,1,112,TÈCNIC/A MITJÀ/ANA CONTRACTACIÓ I COMPRE,€16299.22,€22107.96,€10158.60,€48565.78,AJ,A2,24,18,2,113,92030
2014,1,112,RESPONSABLE PROGRAMES DE COMPRES,€11004.98,€16313.64,€7225.80,€34544.42,AJ,C1,19,19,5,113,92030
2014,1,112,AUX. ADMINISTRATIU COMPRES I CONTRACTACI,€8629.60,€13136.48,€6954.24,€28720.32,AJ,C2,16,8,7,113,92030
2014,1,112,ADMINISTRATIU COMPRES,€8629.60,€13136.48,€6954.24,€28720.32,AJ,C2,16,8,5,113,92030
2014,1,112,SECRETARI/A,€17236.60,€64626.38,€11358.24,€93221.22,AJ,A1,30,36,1,113,92060
2014,1,112,DIRECTOR DE SERVEIS DE GOVERN,€21842.80,€41094.62,€16125.36,€79062.78,AJ,A1,30,33,1,113,92060
2014,1,112,RESP. TRÀMITS ADMINISTRACIÓ ELECTRÒNICA,€12433.96,€16231.74,€11204.52,€39870.22,AJ,C1,18,21,5,113,92060
2014,1,112,SECRETARIA AREA ALCALDIA,€13598.48,€15477.14,€11350.68,€40426.30,AJ,C1,18,13,5,113,92060
2014,1,112,CAP DE SERVEI DE SECRETARIA GENERAL,€20877.36,€30631.02,€16125.36,€67633.74,AJ,A1,25,29,1,113,92061
2014,1,112,LLETRAT/DA SERVEIS JURÍDICS,€15274.70,€20776.70,€11518.44,€47569.84,AJ,A1,22,26,1,113,92061
2014,1,112,LLETRAT SERVEIS JURIDICS,€15871.80,€20776.70,€11709.24,€48357.74,AJ,A1,22,26,1,113,92061
2014,1,112,CAP DEL SERVEI D'ARXIU I DOCUMENTACIÓ,€18760.73,€25010.72,€11358.24,€55129.69,AJ,A1,25,29,1,113,92310
2014,1,112,PERIODISTA,€19411.75,€19719.00,€12578.25,€51709.00,AJ,A1,22,23,1,113,92310
2014,1,112,TÈCNIC HEMEROTECA,€15591.80,€15951.74,€8343.24,€39886.78,AJ,A2,18,18,2,113,92310
2014,1,112,TÈCNIC AUXILIAR D'ARXIU,€11726.54,€13349.14,€8061.96,€33137.64,AJ,C1,16,9,5,113,92310
2014,1,112,RESPONSABLE GESTIO PATRIMONI,€12375.72,€14554.40,€7123.08,€34053.20,AJ,C1,18,13,7,113,93310
2014,1,113,CAP DEL GABINET DE L'ALCALDIA,€12951.92,€26771.78,€10503.39,€50227.09,AJ,C1,22,26,5,113,91220
2014,1,113,ADMINISTRATIVA GABINET ALCALDIA,€13731.34,€16146.76,€11636.64,€41514.74,AJ,C1,16,9,5,113,91220
2014,1,113,XOFER ALCALDE,€9882.60,€13568.80,€6625.08,€30076.48,AJ,C2,12,3,7,108,91220
2014,1,121,COORDINADORA COMUNICACIÓ,€15871.80,€20776.70,€12515.52,€49164.02,AJ,A1,22,26,1,113,92050
2014,1,121,PERIODISTA,€18382.85,€20755.84,€10346.43,€49485.12,AJ,A1,22,23,1,113,92050
2014,1,121,TECNIC MIG,€14249.90,€15951.74,€10313.76,€40515.40,AJ,A2,18,18,2,113,92050
2014,1,121,RESPONSABLE PROTOCOL I RELACIONS INSTITU,€11992.26,€21250.18,€8792.64,€42035.08,AJ,C1,19,23,5,113,92050
2014,1,121,RESP. PROGRAMES COMUNICACIÓ CULTURAL,€11955.30,€16313.64,€7477.08,€35746.02,AJ,C1,19,19,5,113,92050
2014,1,121,ENCARREGAT PRE-IMPRESSIO,€12365.74,€15539.72,€10928.91,€38834.37,AJ,C1,17,17,7,113,92050
2014,1,121,TEC. ESP. FOTOGRAFIA I IMATGE,€10133.20,€20530.30,€8110.44,€38773.94,AJ,C2,18,9,7,113,92050
