CODI,ADREÇA,BARRI,LOCALITZACIÓ,IMMOBILIÀRIA,SITUACIÓ,INFORMACIÓ EXTRA,TELÈFON
1,"Travessia Francisco Pizarro, 7, Granollers",LLEDONER,"(41.618, 2.292634)",Particular,LLOGUER,,938493383
2,"Plaça Serrat i Bonastre, 16, Granollers",SANT MIQUEL,"(41.599402, 2.290081)",La Casa Agency,LLOGUER,,938613917
3,"Plaça de la Porxada, 30, Granollers",GRANOLLERS CENTRE,"(41.607821, 2.287432)",Finques Marcel,LLOGUER,,938791767
4,"Plaça de la Porxada (Boulevard), 23 (local9), Granollers",GRANOLLERS CENTRE,"(41.607988, 2.287999)",Particular,VENDA,,629816814
5,"Plaça de la Porxada (Boulevard), 23 (local6), Granollers",GRANOLLERS CENTRE,"(41.60799, 2.288019)",Finques Colomina,VENDA,,617420477
6,"Plaça de la Porxada (Boulevard), 23 (local25bis), Granollers",GRANOLLERS CENTRE,"(41.607911, 2.288034)",Particular,LLOGUER,,647908160
7,"Plaça de la Porxada (Boulevard), 23 (local24), Granollers",GRANOLLERS CENTRE,"(41.607984, 2.287996)",MGL Aministració,LLOGUER,,938701500
8,"Plaça de la Porxada (Boulevard), 23 (local23), Granollers",GRANOLLERS CENTRE,"(41.607981, 2.288003)",Finques Marcel,LLOGUER,,938791767
9,"Plaça de la Porxada (Boulevard), 23 (local23), Granollers",GRANOLLERS CENTRE,"(41.607982, 2.287998)",Particular,LLOGUER,,630501218
10,"Plaça de la Porxada (Boulevard), 23 (local17), Granollers",GRANOLLERS CENTRE,"(41.607981, 2.288)",Forcadell.com,LLOGUER/VENDA,,938792003
11,"Plaça de la Porxada (Boulevard), 23 (local16), Granollers",GRANOLLERS CENTRE,"(41.607982, 2.287996)",Particular,LLOGUER,,647908160
12,"Plaça de la Porxada (Boulevard), 23 (local15), Granollers",GRANOLLERS CENTRE,"(41.607984, 2.287999)",Particular,LLOGUER/VENDA,,639338710
13,"Plaça de la Porxada (Boulevard), 23 (local14), Granollers",GRANOLLERS CENTRE,"(41.607981, 2.287999)",Area Gestio Inmobiliària,VENDA,,937952906
14,"Placa Onze de Setembre 9, Granollers",GRANOLLERS CENTRE,"(41.604824, 2.290976)",Particular,LLOGUER,,636632850
15,"Plaça Josep Barangué, 5, Granollers, Spain",GRANOLLERS CENTRE,"(41.60798, 2.289506)",Finques Marcel,LLOGUER,,938791767
16,"Plaça Josep Barangué, 13, Granollers, Spain",GRANOLLERS CENTRE,"(41.60782, 2.28947)",Oliva Grupo Inmobiliario,LLOGUER,,938795050
17,"Plaça Jaume I 7, Granollers",LLEDONER,"(41.618702, 2.29274)",Modest Bellavista,LLOGUER,,938706842
18,"Plaça De les Hortes, 5, Granollers",SOTA EL CAMÍ RAL,"(41.60584, 2.28282)",Aditres,VENDA,,938792892
19,"Plaça De les Hortes, 4, Granollers",SOTA EL CAMÍ RAL,"(41.605844, 2.282376)",Eminad,LLOGUER,,938703666
20,"Plaça De les Arts, 11, Granollers",TRES TORRES,"(41.59997, 2.283146)",Aguilar&Vilalta,LLOGUER,,931282171
21,"Plaça De les Arts, 12, Granollers",TRES TORRES,"(41.600005, 2.283353)",Particular,LLOGUER/VENDA,,654098556
22,"Plaça De les Arts, 8, Granollers",TRES TORRES,"(41.599448, 2.283149)",Finques Marcel,LLOGUER,,931282171
23,"Plaça Can Bassa 4, Granollers",CAN BASSA,"(41.59102, 2.28846)",Finques Marcel,LLOGUER,,938791767
24,"Passeig de la Muntanya, 141, Granollers",FONT VERDA,"(41.611043, 2.294068)",Particular,LLOGUER,,938792876
25,"Passeig de la Muntanya, 139, Granollers",FONT VERDA,"(41.610884, 2.293949)",Finques Colomina,VENDA,,617420477
26,Passeig de la Muntanya 106 Granollers,FONT VERDA,"(41.61032, 2.294094)",Bernabé Grup,LLOGUER,,695904491
27,"Passeig de la Muntanya, 104, Granollers",FONT VERDA,"(41.610093, 2.294006)",Modest Bellavista,LLOGUER,P.B 850 m2,938706842
28,"Passeig de la Muntanya, 102, Granollers",FONT VERDA,"(41.6099, 2.293952)","Eminad,Lloguer",LLOGUER,,938703666
29,"Passeig de la Muntanya, 50, Granollers",FONT VERDA,"(41.606098, 2.293287)",Finques Cot,LLOGUER,,678743814
30,"Passeig de la Muntanya, 38, Granollers",FONT VERDA,"(41.605233, 2.293169)",Finques Marcel,LLOGUER,,938791767
31,"Passeig de la Muntanya, 15, Granollers",FONT VERDA,"(41.605358, 2.292928)",Espai cúbic,LLOGUER,,938796470
32,"Carretera Caldes, 55, Granollers",CAN GILI,"(41.614195, 2.275796)",Finques Coll,LLOGUER,,938792714
33,"Carrer Voluntaris 92, 5, Granollers",SANT MIQUEL,"(41.598756, 2.289022)",Santi Collell,LLOGUER/VENDA,,938793165
34,"Carrer Vallespir 8, Granollers",CAN BASSA,"(41.59076, 2.28813)",Particular,VENDA,,636122834 / 938701743
35,"Carrer  Vallespir 4, Granollers",CAN BASSA,"(41.59075, 2.28774)",Particular,LLOGUER,,627931453
36,"Carrer Vallès, 38, Granollers",SANT MIQUEL,"(41.601365, 2.286751)",Finques Marcel,LLOGUER,,938791767
37,"Carrer València, 25, Granollers",GRANOLLERS CENTRE,"(41.612776, 2.287775)",santroc3@telefonica.net,VENDA,,938794302
38,"Carrer Travesseres, 25, Granollers",GRANOLLERS CENTRE,"(41.609116, 2.286877)",Particular,LLOGUER,,938791767
39,"Carrer Travesseres, 1, Granollers",GRANOLLERS CENTRE,"(41.609107, 2.287737)",Esteve Brachs,LLOGUER,,938790004
40,"Carrer de Tres Torres, 10, Granollers",TRES TORRES,"(41.598018, 2.2855)",Finques Ester,LLOGUER,,617283475 / 938792952
41,"Carrer de Tres Torres, 6, Granollers",TRES TORRES,"(41.597988, 2.285834)",Jubany&Associats,LLOGUER,,639026621
42,"Carrer Santa Esperança, 18, Granollers",GRANOLLERS CENTRE,"(41.607573, 2.288523)",Gavi àmbit SL,LLOGUER,,938460000
43,"Carrer Sant Josep de Calassanç, 140, Granollers",SANT MIQUEL,"(41.600916, 2.289086)",Finques Marcel,VENDA,,938791767
44,"Carrer Sant Josep de Calassanç, 65, Granollers",SANT MIQUEL,"(41.602429, 2.289433)",Particular,LLOGUER,500m2,938700750
45,"Carrer Sant Josep de Calassanç, 64, Granollers",GRANOLLERS CENTRE,"(41.60382, 2.28948)",Corso,LLOGUER,,938600436
46,"Carrer Sant Josep de Calassanç, 43, Granollers",SANT MIQUEL,"(41.60311, 2.28957)",Finques Cot,LLOGUER,,938794162
47,"Carrer Sant Josep, 18 Granollers",INSTITUTS,"(41.607597, 2.283919)",Aguilar&Vilalta,LLOGUER,,931282171
48,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 38), Granollers",INSTITUTS,"(41.608558, 2.285623)",Modest Bellavista,LLOGUER,,938706842
49,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 35), Granollers",INSTITUTS,"(41.608562, 2.285628)",Modest Bellavista,LLOGUER,,938706842
50,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 32), Granollers",INSTITUTS,"(41.608525, 2.285638)",FORCADELL,LLOGUER,,938792003
51,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 30), Granollers",INSTITUTS,"(41.608539, 2.285611)",Modest Bellavista,LLOGUER,,938706842
52,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 28), Granollers",INSTITUTS,"(41.608552, 2.285611)",Modest Bellavista,LLOGUER,,938706842
53,"Carrer Sant Jaume (Centre Sant Carles), 12 (local 15), Granollers",INSTITUTS,"(41.608539, 2.285647)",Particular,LLOGUER,,617315031
54,"Carrer Sant Jaume, 114, Granollers",SOTA EL CAMÍ RAL,"(41.603878, 2.285607)",Ferrer Consulting,LLOGUER/VENDA,300m2,609461730
55,"Carrer Sant Jaume, 73, Granollers",GRANOLLERS CENTRE,"(41.604884, 2.285773)",Espai cúbic,LLOGUER/VENDA,,938796470
56,"Carrer Sant Jaume, 63, Granollers",GRANOLLERS CENTRE,"(41.605274, 2.285766)",Finques Marcel/ Finques Cot,LLOGUER,,938791767 / 678743814
57,"Carrer Salvador Casanova 5, Granollers",CAN BASSA,"(41.595678, 2.28717)",Salas Serveis Inmobiliaris,LLOGUER/VENDA,,937457300
58,"Carrer Salvador Casanova 3, Granollers",CAN BASSA,"(41.595802, 2.287207)",Salas Serveis Inmobiliaris,LLOGUER/VENDA,,937457300
59,"Carrer Rosselló, 38, Granollers",L'HOSTAL,"(41.615733, 2.289274)",Nivell.net,LLOGUER,,629725239
60,"Carrer Rosselló, 27, Granollers",L'HOSTAL,"(41.614891, 2.288892)",Eminad,VENDA,,938703666
61,"Carrer Rosselló, 11, Granollers",L'HOSTAL,"(41.614198, 2.288692)",Inmobiliària Viserta,LLOGUER/VENDA,,637794867
62,"Carrer Roger de LLúria, 44, Granollers",SOTA EL CAMÍ RAL,"(41.60344, 2.283445)",Finques Vallbona,LLOGUER,,938792164
63,"Carrer Roger de Flor, 89, Granollers",SOTA EL CAMÍ RAL,"(41.605168, 2.283144)",Modest Bellavista,LLOGUER/VENDA,,938706842
64,"Carrer Roger de Flor, 78, Granollers",SOTA EL CAMÍ RAL,"(41.605192, 2.282916)",IPA inversions,LLOGUER,,629808078
65,"Carrer Rec, 50, Granollers",INSTITUTS,"(41.610349, 2.284271)",Arderiu Consulting,LLOGUER,,938468256
66,Carrer Ramon Daga 13,CAN BASSA,"(41.595069, 2.289366)",Des SA,LLOGUER,,663132266
67,"Carrer Princesa, 65, Granollers",SOTA EL CAMÍ RAL,"(41.604221, 2.284475)",Finques Coll,LLOGUER,,938792714
68,"Carrer Princesa, 26- 30, Granollers",SOTA EL CAMÍ RAL,"(41.605644, 2.284137)",Santi Collell,LLOGUER,,938793165
69,"Carrer Príncep de Viana, 15, Granollers",GRANOLLERS CENTRE,"(41.606095, 2.286499)",GDH consulting inmobiliario,VENDA,,932756937
70,"Carrer Príncep de Viana, 5, Granollers",GRANOLLERS CENTRE,"(41.606009, 2.287298)",Finques Marcel,LLOGUER,,938791767
71,"Carrer Primer Marques de les Franqueses, 97, Granollers",LLEDONER,"(41.620379, 2.292406)","DS,",LLOGUER,550m2,639353577
72,"Carrer Primer Marques de les Franqueses, 93, Granollers",LLEDONER,"(41.620254, 2.292363)",Bufet Prieto,LLOGUER,,938704558
73,"Carrer Primer Marques de les Franqueses, 91, Granollers",LLEDONER,"(41.620177, 2.292344)",Bufet Prieto,LLOGUER,,938704558
74,"Carrer Primer Marques de les Franqueses, 60, Granollers",LLEDONER,"(41.620117, 2.292548)",Finques Cot,LLOGUER,,678743814
75,"Carrer Primer Marques de les Franqueses, 31, Granollers",LLEDONER,"(41.618214, 2.291735)",Finques Vallbona,LLOGUER,,938792164
76,"Carrer Primer Marques de les Franqueses, 20, Granollers",LLEDONER,"(41.61799, 2.29191)",Espai cúbic,LLOGUER,,938796470
77,"Carrer de Ponent, 94, Granollers",L'HOSTAL,"(41.615006, 2.287961)",Particular,LLOGUER/VENDA,,607717647
78,"Carrer de Ponent, 92, Granollers",L'HOSTAL,"(41.6149, 2.287917)",Particular,LLOGUER/VENDA,,607717647
79,"Carrer de Ponent, 57, Granollers",PONENT,"(41.612721, 2.28701)",Aguilar&Vilalta,LLOGUER,,655870608
80,"Carrer de Ponent, 45, Granollers",PONENT,"(41.61184, 2.286596)",Finques MarceL,LLOGUER/VENDA,,938791767
81,"Carrer de Ponent, 34, Granollers",GRANOLLERS CENTRE,"(41.610287, 2.286035)",colbertproperties.com,VENDA,,931171615
82,"Carrer de Ponent, 37, Granollers",PONENT,"(41.611363, 2.286377)",buscaspiso,LLOGUER,,938611081
83,"Carrer de Ponent, 35, Granollers",PONENT,"(41.611267, 2.286329)",Eminad,LLOGUER,,938703666
84,"Carrer de Ponent, 25, Granollers",INSTITUTS,"(41.61042, 2.285949)",Finques La Llar,LLOGUER,,938791734
85,"Carrer Pla de Baix 55-57, Granollers",CAN BASSA,"(41.592719, 2.287753)",Des SA,LLOGUER/VENDA,,663133266
86,"Carrer Pla de Baix 49, Granollers",CAN BASSA,"(41.593387, 2.28788)",Fiques Marcel,LLOGUER,,938791767
87,"Carrer Pla de Baix 30, Granollers",CAN BASSA,"(41.594908, 2.287992)",Finques Marcel,VENDA,,938791767
88,"Carrer Pere el Gran, 10, Granollers",LLEDONER,"(41.61843, 2.292992)",Particular,LLOGUER,,664270501
89,"Carrer de Pep Ventura, 26, Granollers",SANT MIQUEL,"(41.600885, 2.289549)",Finques Marcel/CORSO,VENDA,,931282171 / 938600436
91,"Carrer de Navarra, 95, Granollers",SOTA EL CAMÍ RAL,"(41.603931, 2.283141)",Finques Same,LLOGUER,,938604800
92,"Carrer de Navarra, 61, Granollers",SOTA EL CAMÍ RAL,"(41.603937, 2.285067)",Finques Marcel,LLOGUER,,938791767
93,"Carrer de Navarra, 54, Granollers",SOTA EL CAMÍ RAL,"(41.604047, 2.284569)",Oliva Grupo Inmobiliario,LLOGUER,,938795050
94,"Carrer de Navarra, 38, Granollers",SOTA EL CAMÍ RAL,"(41.604019, 2.285378)",Particular,LLOGUER/VENDA,,696346761
95,"Carrer Muralla, 18, Granollers, Spain",GRANOLLERS CENTRE,"(41.609805, 2.286073)",Finques Marcel Àmbit Comerç industrial,LLOGUER,,938791767 / 691674475
96,"Carrer Montcada, 7, Granollers",LLEDONER,"(41.618974, 2.293139)",Finques Marcel,VENDA,,938791767
97,"Carrer Montcada, 3, Granollers",LLEDONER,"(41.619016, 2.292916)",Finques Marcel,LLOGUER,,938791767
98,"Carrer Miquel Ricomà, 146, Granollers",SANT MIQUEL,"(41.603756, 2.286273)",Inmogra,LLOGUER,,938794000
99,"Carrer Miquel Ricomà, 110, Granollers",GRANOLLERS CENTRE,"(41.604645, 2.286268)",La casa Agency,LLOGUER,,938613927
100,"Carrer Miquel Ricomà, 107, Granollers",GRANOLLERS CENTRE,"(41.604218, 2.286363)",Aguilar&Vilalta,LLOGUER,,931282171
101,Carrer Minetes 7 Granollers,JOAN PRIM CENTRE,"(41.612351, 2.290403)",Particular,LLOGUER/VENDA,,
102,"Carrer Miguel de Cervantes, 23, Granollers",SANT MIQUEL,"(41.599146, 2.28845)",Inmogra,VENDA,,938794000
103,"Carrer Miguel de Cervantes, 19, Granollers",SANT MIQUEL,"(41.599221, 2.288)",Finques Cot,LLOGUER,,678743814
104,"Carrer Mas Gili, 1, Granollers",CAN GILI,"(41.61396, 2.27509)",Particular,VENDA,,616937089
105,"Carrer Martí Grivé, 30, Granollers",SANT MIQUEL,"(41.603526, 2.290133)",Bernabé Grup,LLOGUER,,695904491
106,"Carrer Martí Grivé, 27, Granollers",GRANOLLERS CENTRE,"(41.603742, 2.289099)",Finques Isern,LLOGUER,,935620504
