nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Promoción al Deficiente (ASPRODES)","Asociación de Discapacitados","482","G-30033146","Dip. De Purias, Ctra. Altobordo","30800","","","968 482 323","968 482 323                                       ","asprodes_administracion@wimaxonline.es - psicologo@asprodes.com","01/01/1977 0:00:00"
"Asociación Esclerosis Múltiple Area III","Asociación de Discapacitados","394","g-73596280","Alameda de Cervantes nº7 2º-C","30800","","","689 333 202","","","27/06/2008 0:00:00"
"Asociación de Diabéticos de Lorca y su  Comarca (ADILOR)","Asociación de Discapacitados","111","G-73012627","Edificio Municipal ONG´S, C/Francisco Escobar Barberán s/n","30800","","","678 699 831- 647 585 241","","adiloryco@gmail.com","01/01/1998 0:00:00"
"Asociación Lorquina de Enfermos de Parkinson (ASLEP)","Asociación de Discapacitados","186","G-73185159","C/ Río Guadalentín s/n, bajo","30800","","","661 573 735","","aslep-200@yahoo.es","11/04/2002 0:00:00"
"Asociación Alzheimer Lorca y Otras Demencias","Asociación de Discapacitados","112","G-73014326","Alameda de Cervantes, nº60. Residencial La Palmeras, 2ªfase, bajo","30800","","","968 471 780","","alzheimerlorca@yahoo.es","20/11/1998 0:00:00"
"Asociación Lorca Activa con el TDAH (Trastorno por déficit de atención e hiperactividad)","Asociación de Discapacitados","411","G-73606394","Avda de Cervantes nº22, 8º-D","30800","","","647 127 776","","lorcactivatdah@hotmail.com","30/05/2008 0:00:00"
"Asociación de Personas Sordas de Lorca y Comarca (ASPERSOLOR)","Asociación de Discapacitados","38","G-30324180","C/ Travesía de Benemérita, 2. Bajo.","30800","","","686214627","www.aspersolor.blogspot.com                       ","sors.aspersolor@gmail.com","06/11/1991 0:00:00"
"Asociación Lorquina de Fibromialgia y Fatiga Crónica (AFILOR)","Asociación de Discapacitados","401","G-73589582","C/ Enrique Zumel, nº23","30800","","","665 771 099","","afilor@hotmail.es","23/06/2008 0:00:00"
"Asociación de Epilepticos del Mediterráneo (AEPIM)","Asociación de Discapacitados","395","G-73596819","Dip. purias, Camino de los Bucanos 159","30813","","","636 653 498","","aepim@hotmail.es","07/08/2008 0:00:00"
"Asociación de Familiares de Enfermos Mentales (ASOFEM)","Asociación de Discapacitados","85","G-30555130","C/ Pérez Casas, 93, Bajo","30800","","","968 471 180","968 471 180                                       ","asofem2003@hotmail.com","29/05/1997 0:00:00"
"Asociación de Minusválidos Físicos de Lorca","Asociación de Discapacitados","189","G-30043467","C/ Pascual Miras, 1","30800","","","","","",""
"Asociación para Personas con Síndrome de Down de la Comarca de Lorca (DOWNLORCA)","Asociación de Discapacitados","509","G-73788382","Travesía Juan Carlos I, 12 - 5 - Bajo - K","30800","","","669 522 736","","downlorca@hotmail.com","22/02/2013 0:00:00"
"FEDERACIÓN DE PERSONAS SORDAS DE LA REGIÓN DE MURCIA (FESORMU)","Asociación de Discapacitados","528","G-30430516","C/ Travesía Benemérita, Bajo, 2","30800","","","968 220 475","","fesormu@fesormu.org","05/06/1994 0:00:00"
