nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Mujeres de Campillo","Asociación de Mujeres","63","G-30468359","Dip. Campillo, Carretera de Almenara ","30813","","","671 984 355","","","10/08/1995 0:00:00"
"Asociación de Mujeres de Aguaderas","Asociación de Mujeres","117","G-73024705","Carretera Campo Lopez, buzon 5B Aguaderas   ","30815","","","","","","09/02/1999 0:00:00"
"Asociación de Mujeres Barrio de La Viña","Asociación de Mujeres","24","G30283717","C/Panaderia, 13 - bajo","30800","","","","","","01/01/1986 0:00:00"
"Centro de la Mujer del Barrio San Juan","Asociación de Mujeres","37","G-30368070","C/ Gomelez","30800","","","968461387","","",""
"Asociación de Mujeres del Barrio de San Cristóbal","Asociación de Mujeres","33","G-30214472","C/ Charco, s/n","30800","","","634915188","","",""
"Asociación Centro de la Mujer La Isla","Asociación de Mujeres","34","G-30255384","C/ Bordadora Apolonia Ros - bajo","30800","","","644387753","","",""
"Centro de la Mujer del Barrio de San Pedro","Asociación de Mujeres","30","G-30288484","C/Santiago, nº 5  ","30800","","","968441184","","",""
"Asociacion de Viudas Virgen del Alcazar","Asociación de Mujeres","13","G-30120620","C/ José Mouliaá, 12","30800","","","606350613","","","01/01/1986 0:00:00"
"Asociación de Mujeres de Avilés","Asociación de Mujeres","56","G-30430268","Dip. Avilés, Barrio Rocío, ","30812","","","669882080 - 648 882 774 ","","catiaviles@live.com","18/10/1994 0:00:00"
"Asociación de Mujeres Sagrada Familia","Asociación de Mujeres","55","G-30436075","Almda de Cervantes, 18, 5ºC   30800 Lorca","","","","968465751","","",""
"Asociación de Mujeres de La Paca","Asociación de Mujeres","242","G-30526677","C/Juan Carlos I, Nº49  Dip. La Paca  30812 Lorca","30812","","","968491133","","mcarmen.martinez41@gmail.com","21/11/1996 0:00:00"
"Asociación de Mujeres de la Escucha","Asociación de Mujeres","169","G-73109092","Dip. La Escucha, Centro Social","30813","","","968 482 849","","","11/09/2000 0:00:00"
"Asociación de Mujeres de la Escarihuela","Asociación de Mujeres","492","G-73327520","Centro Social de la Escarihuela- Diputación La Escucha ","30813","","","618882343","","","03/08/2004 0:00:00"
"Asociacion de Mujeres de Zarzalico","Asociación de Mujeres","256","G-73362634"," Local Social de Zarzalico, Venta la Petra, Dip. Zarzalico. ","30890","","","629656561 -Encarna-","968401251","isa@ventalapetra.com","16/02/2005 0:00:00"
"Asociacion de Mujeres de Zúñiga","Asociación de Mujeres","325","G-73524456","C/ Fátima, Dipt. Zúñiga, s/n","30814","","","647787854","","","02/04/2007 0:00:00"
"Asociacion de Mujeres Trece Rosas ","Asociación de Mujeres","314","G-73467219","C/Corredera, 12-2º H   ","30800","","","677423407","968479716","dori_pm@hotmail.com","07/10/2005 0:00:00"
"Asociación de Mujeres de Tercia","Asociación de Mujeres","45","G-30430961","Dip. Tercia, Camino de Villaespesa, nº 171","30815","","","627 520 562","","montseroiz-1965@hotmail.com","21/03/1994 0:00:00"
"Asociación de Mujeres de Puerto Muriel","Asociación de Mujeres","488","J73497539","Dip. Morata, Puerto Muriel","30878","","","699 706 428","","","30/09/2006 0:00:00"
"Asociación de Mujeres La Integración","Asociación de Mujeres","36","G-30335657","Avda Antonio Campoy (Estación de Renfe), Almendricos: ","30893","","","659 881 760","","","18/06/1992 0:00:00"
"Asociación de Mujeres de Coy","Asociación de Mujeres","329","G-30492623","C/ Fuente de Abajo s/n. Dip Coy ","30812","","","630 730 301","","","24/01/2010 0:00:00"
"Asociación de Mujeres de Alameda de Cervantes","Asociación de Mujeres","50","G-30433502","Alameda de Cervantes s/n","30800","","","660 697 987","","",""
"Centro de Promoción Social de la Mujer del Barrio de Santiago","Asociación de Mujeres","29","G-30386783","C/ Rubira, nº13, bajo","30800","","","647 215 694","","","26/06/1993 0:00:00"
"Asociación de Mujeres de Torrealvilla","Asociación de Mujeres","377","g-73568586","Local Social Parroquial de torrealvilla, s/n","30814","","","968 438 105","","",""
"Asociación de Mujeres de Purias","Asociación de Mujeres","70","G-30479760","Camino de Las Escuelas, panel 28, buzón 8","30813","","","610 787 777","","","18/09/1995 0:00:00"
"Asociación de Mujeres de Diputación La Hoya","Asociación de Mujeres","327","G-30436059","Crtra Hinojar s/n","","","","676176 308","","","14/11/1994 0:00:00"
"Asociación de Mujeres de Cazalla","Asociación de Mujeres","64","G-30473540","Dip. Cazalla, Camino Vereda Alta, Local Social ","30800","","","968 444758- 669 228 850","","asomucazalla@hotmail.com","09/05/1995 0:00:00"
"Asociación de mujeres de Zarcilla de Ramos","Asociación de Mujeres","25","G-30373989","C/ Estanco nº4  de Diputación Zarcilla de Ram","30810","","","654 351 099","","","02/07/1993 0:00:00"
