nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Club Lorquino de Carreras de Orientación en la Naturaleza","Asociación Deportiva","71","G-30349427","Alameda de la Constitución s/n","30800","","","649 204 272","","","21/10/1992 0:00:00"
"Club TeaMMurcia","Asociación Deportiva","450","G-73669921","Cmno. Cuesta de Apiche, 21","30817","","","","","","09/04/2010 0:00:00"
"Asociación Lorca Biciudad","Asociación Deportiva","429","G-73526188","Alameda de la Constitución - Casa del Deporte","30800","","","617 470 635","968 477 386                                       ","info@lorcabiciudad.es","21/06/2007 0:00:00"
"Asociación Deportiva Cultural Club El Cejo","Asociación Deportiva","422","G-73624868","Crtra de Granada, nº71, esc.1, 2ºA","30800","","","609 229 133","","clubelcejo@gmail.com","18/03/2009 0:00:00"
"Peña Madridista Ciudad del Sol","Asociación Deportiva","54","G-30209373","Residencial Plaza Real, bajo, 1º","30800","","","968 462 201","","pmadridistaciudadelsol@hotmail.com","22/02/1959 0:00:00"
"Club de Parapente Desnivel de Lorca","Asociación Deportiva","75","G-30308696","Avda de Portugal nº28, bajo","30800","","","968 443 076","968 444 784                                       ","pedro@asesoriajimenez.com","18/05/1991 0:00:00"
"Club Ciudad de Lorca Fútbol Sala","Asociación Deportiva","272","G-73379562","Alameda de Cervantes, nº7, 6ºA","30800","","","606 867 772","968482452","pilariki33@hotmail.com","20/08/2004 0:00:00"
"Peña Motera Demoño Dojo","Asociación Deportiva","225","G-73304842","C/ Alonso Vargas, nº 2, 1ª Bj","30800","","","609828266","","","22/05/2001 0:00:00"
"Club de Ajedrez Lorca","Asociación Deportiva","230","G-30346845","Alameda de la Constitución","30800","","","","","","31/12/1987 0:00:00"
"Asociación Deportiva de Pesca Ciudad de Lorca","Asociación Deportiva","231","G-30458350","C/ La Seda 8 Bajo Edif. Las Terrazas","30800","","","","","","11/05/1994 0:00:00"
"Club Natación Lorca","Asociación Deportiva","246","G-30144885","C/ Juan Antonio Dimas, s/n. Complejo Deportivo Europa ","30800","","","656875860","","cnlorca@hotmail.com","05/11/1987 0:00:00"
"Moto Club La Peñarrubia","Asociación Deportiva","253","G-73347577","Ctra. de la Estación, nº 57A","30817","","","628273406","968442745","","21/01/2005 0:00:00"
"Club Petanca Ciudad de Lorca","Asociación Deportiva","254","G-30408744","Ctra. de Águilas. Dip. Campillo. Bz. 114","30816","","","661126764","","","20/12/1993 0:00:00"
"Club Deportivo San Cristóbal","Asociación Deportiva","255","G-30469894","Camino Cañaveral, nº 78, Buzón B","30813","","","686935403","968935403","montylorca@yahoo.es","07/09/1993 0:00:00"
"Club Ciclista Estructuras Lorca","Asociación Deportiva","257","G-73274276","San José Edificio Florencia Bajo","30800","","","659489390","","","14/10/2003 0:00:00"
"Lorca Club de Tenis","Asociación Deportiva","259","G-30457709","Polideportivo La Torrecilla","30800","","","646302458","","tenislorca@hotmail.es","27/09/1994 0:00:00"
