nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Club de Pensionistas de La Escucha","Club de Pensionistas","350","G-73121261","La Escucha, El Estanco buzon nº 48  ","30813","","","678282202","","","23/01/2001 0:00:00"
"Club de Pensionistas y Jubilados de Cazalla","Club de Pensionistas","153","G-73031775","Travesía de la Asociación, nº 7 C, Panel 52, Dip. Cazalla  ","30818","","","968 462 240","","",""
"Club de Pensionistas y Jubilados de Zarzadilla de Totana","Club de Pensionistas","365","","Centro Social de Zarzadilla de Totana  ","30814","","","968494062","","","12/05/1998 0:00:00"
"Club de Pensionistas y Jubilados  de Virgen de las Huertas","Club de Pensionistas","376","G-30588073","Plaza del Rey Sabio s/n    ","30800","","","630 446 884","","",""
"Club de Pensionistas y Jubilados de San José de Lorca","Club de Pensionistas","358","G-73158479","Placeta de San Jose (Parque Pepe Plazas), 15    ","30800","","","679830611","","",""
"Club de Pensionistas y Jubilados del Centro Social Paso a Nivel.","Club de Pensionistas","131","G-30586408","Avda. Cervantes s/n   ","30800","","","696 222 014","","",""
"Club de Pensionistas y Jubilados de la Viña","Club de Pensionistas","101","G-30583124","c/ Guillermo Oliver, s/n","30800","","","619 0047 61","","","26/02/1998 0:00:00"
"Club de Pensionistas y Jubilados de la Escarihuela","Club de Pensionistas","351","","Centro Social de La Escarihuela, s/n","30813","","","968485592","","","02/06/2006 0:00:00"
"Club de Pensionistas y Jubilados de Purias","Club de Pensionistas","353","G-30524805","Camino de las Monjas, Dip. de Purias","30813","","","","","","24/06/1996 0:00:00"
"Club de Pensionistas y Jubilados de los Ángeles","Club de Pensionistas","218","G-73019200","Nuevo Parque s/n (Los Ángeles)","30800","","","659618601","","","08/01/2011 0:00:00"
"Club de Pensionistas y Jubilados de Almendricos","Club de Pensionistas","152","G-30484497","C/Mayor, 59 Dip.Almendricos","30893","","","968 440 115","968 440 115                                       ","i.ayala@mediadoreslaestrella.es","28/04/2004 0:00:00"
"Club de Pensionistas y Jubilados de Calvario de Lorca","Club de Pensionistas","347","G-30595953","C/Alonso Vargas, 5   ","30800","20/04/1998","","968463562","","",""
"Club de Pensinistas y Jubilados de la Diputación de Aviles","Club de Pensionistas","151","G-73021669","Dip. Avilés, Centro Social","30812","","","606237188","","",""
"Club de Pensionistas y Jubilados de Coy","Club de Pensionistas","344","G-73021503","C/ Consultorio (Coy)","30812","","","968499111","","",""
"Club de Pensionistas de Tercia","Club de Pensionistas","258","G-30410138","Camino de Villaespesa- Tercia","30815","","","","","","25/04/1994 0:00:00"
"Club de Pensionistas y Jubilados de La Campana","Club de Pensionistas","346","G-30487466","El Cabildo y La Campana-Pozo Higuera, buzon 75  ","30813","","","617678988","","",""
"Club de Pensionistas y Jubilados de Ramonete","Club de Pensionistas","366","G-73297574","Local Social, Las Librilleras, s/n","30876","","","609330351","","mcalvoz@terra.es","13/02/2004 0:00:00"
"Club de Pensionistas y Jubilados de la Diputación de Rio","Club de Pensionistas","468","G-30596381","Centro Social de Diputación Rïo","30812","","","639 685 392","","",""
"Club de Pensionistas y Jubilados de Doña Inés","Club de Pensionistas","361","G-73238685","C/ Escuelas. Diputación Doña Inés.","30812","","","968491540","","","30/12/2002 0:00:00"
"Club de Pensionistas y Jubilados Alfonso X el Sabio","Club de Pensionistas","354","G-30582654","C/ Eras Altas de San José, s/n","30800","","","660 959 356","","","04/03/1998 0:00:00"
"Club de Pensionistas y Jubilados de Zarcilla de Ramos","Club de Pensionistas","352","G-73023475","C/ Transformador, Local de los Mayores","30810","","","968 499 384","","","09/11/1998 0:00:00"
