nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Enganches Lorca Ciudad del Sol","Asociaciones de ocio","279","G-73367864","C/ Lópe Gisbert nº30","30800","","","686970546 - 609620828","968461059","","21/04/2005 0:00:00"
"Asociación Lorquina Amigos de las Motos Antiguas","Asociaciones de ocio","132","G-73068686","C/ Fernando el Santo, 3","30800","","","607 606 475","","","02/11/1999 0:00:00"
"Asociación Ociocultura de Lorca","Asociaciones de ocio","331","G-73303307","C/ Los Veras, nº 30, Esc. 3, Pl. 3, Pta. G","30800","","","619479466","","","29/03/2004 0:00:00"
"Asociación Deportivo Cultural Lorca Radio-Control de Automodelismo","Asociaciones de ocio","388","G-73573586","Alameda de Cervantes, nº 61 - 4º D","30800","","","609 216 499","","pegalfe@hotmail.com","28/01/2008 0:00:00"
"Asociación Amigos del Bonsai de Lorca","Asociaciones de ocio","431","G-73645897","C/José Mouliaá, 40","30800","","","619 391 719","","asociacionamigosdelbonsai@hotmail.com","22/06/2009 0:00:00"
"Asociación Scooter Club Lorca","Asociaciones de ocio","437","G-73628018","Alameda de la Constitución, junto casa del deporte, s/n","30800","","","687 949 553","","clementeromera@hotmail.com","30/01/2009 0:00:00"
"Asociación Club de Dardos Los Arcos","Asociaciones de ocio","441","G-73657017","C/ Los Arcos, nº 21","30800","","","678 624 494","","","18/12/2009 0:00:00"
"Asociación, ludoteca y Servicios Comunitarios Aserlud","Asociaciones de ocio","464","G-73696221","C/ Calderón de la Barca, 3 - 2º F","30800","","","666 997 863","","","13/12/2010 0:00:00"
"Asociación Rociera de Lorca","Asociaciones de ocio","475","G-73726747","Dip. de Torrecilla, Ctra. de la Estación","30800","","","968 464 247","968 464 247                                       ","","05/04/2011 0:00:00"
"Fotolorca Asociación Fotográrfica José Rodrigo de Lorca","Asociaciones de ocio","522","G-73831380","C/ Santa Paula, 9 - 4º B","30800","","","","968463252","","04/02/2014 0:00:00"
"Club Taurino de Lorca","Asociaciones de ocio","556","G-30503726","Ctra. de Águilas, Purias, Panel 20, Buzón 3","30813","","","679179672","","clubtaurinodelorca@gmail.com","15/04/1996 0:00:00"
