nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Federacion de Asociaciones Festivo-Cultural San Clemente","Asociación de Animación Sociocultural","476","G-30289383","Alameda Poeta Gimeno Castellar (Morico)","30800","","","618 896 974","","torrespolon@yahoo.es",""
"Asociación Regional Murciana BDM Punto de Cultura","Asociación de Animación Sociocultural","222","G-73238362","C/ María Agustina, nº 1 - 7º C","30800","","","968478692","","",""
"Ocio Creativo de Lorca","Asociación de Animación Sociocultural","201","G-73217234","Avda. Juan Carlos I, 53, Edificio San Patricio, 7º A","30800","","","968 477761","","","02/01/2003 0:00:00"
"Grupo de Coros y Danzas de Lorca","Asociación de Animación Sociocultural","3","G-30160634","C/ Eugenio Úbeda, 3, Bajo","30800","","","607366702","968461161","",""
"Asociación Cultural Érase una vez Lorca","Asociación de Animación Sociocultural","217","G-73258063","Plaza Calderón de la Barca, nº 3","30800","","","","","","10/05/2003 0:00:00"
"Asociación Eduteca","Asociación de Animación Sociocultural","224","G-73269250","Camino Viejo del Puerto, Buzón 48B","30800","","","","","","18/11/2003 0:00:00"
"Coral Bartolomé Pérez Casas de Lorca","Asociación de Animación Sociocultural","52","G-30383772","C/ Poeta Gimeno Castellar, s/n.- Apartado de Correos nº 437","30800","","","669 300 298","","","13/10/1993 0:00:00"
"Trazo Luminoso, Asociación Fotográfica Lorca","Asociación de Animación Sociocultural","58","G-30434393","Dip. Pulgara, 300","","","","","","",""
"Asociación para el Fomento del Caballo","Asociación de Animación Sociocultural","69","G-30481741","Dip. Tercia, Camino de Cartagena, 71","","","","","","",""
"Hueste de los Caballeros de Alonso Fajardo el Bravo","Asociación de Animación Sociocultural","78","G-30334700","Urbanización La Viña, Local Asociación de Vecinos","30800","","","","","","20/02/1989 0:00:00"
"Kabila Mudéjar de la Alhama de Lorca","Asociación de Animación Sociocultural","79","G-30336622","C/ Musso Valiente, 2, 6º C","30800","","","","","",""
"Asociación de Medineros de Ali Ibm Muhamad de Lorca","Asociación de Animación Sociocultural","80","G-30252415","C/ Narciso Yepes, 23","30800","","","","","",""
"Asociación Cultural Pañuelo Verde de La Paca","Asociación de Animación Sociocultural","98","G-30590111","Dip. La Paca, Centro Cultural, C/ Centro de Salud, s/n","30812","","","968 445 514","","",""
"Asociación Cultural ALBATROS (Talleres y Animación)","Asociación de Animación Sociocultural","108","G-73009094","C/ Paso Blanco, Universidad Popular","30800","","","651 583 076","968 460 912                                       ","","29/09/1998 0:00:00"
"Asociación Mozos del Convento","Asociación de Animación Sociocultural","110","G-73002545","Dip. Tiata, Plaza del Rey Sabio, s/n","30800","","","608 469 613","","","01/01/1998 0:00:00"
"Asociación Cultuiral Cine-Club Paradiso","Asociación de Animación Sociocultural","114","G-30552566","Plaza Calderón de la Barca - Reatro Guerra","30800","","","968 471 377","","","12/06/1997 0:00:00"
"Asociación Cultural Primavera Cinematográfica","Asociación de Animación Sociocultural","120","G-73029852","C/ Presbítero Emilio García Navarro, Centro Cultural","30800","","","","","",""
"Kávila Muladíes de Lorca","Asociación de Animación Sociocultural","125","G-30550875","Alameda de Cervantes, Casa del Deporte","30800","","","699 709 915","","","28/04/1997 0:00:00"
"Cuadrilla de Ánimas de La Torrecilla","Asociación de Animación Sociocultural","138","G-30585988","La Torrecilla, Ermita de Burruezo, 10","30817","","","658 256 888","","cuadrillatorrecilla@hotmail.com","02/02/2000 0:00:00"
"Asociación para la Formación y Educación Sociocultural (AFES)","Asociación de Animación Sociocultural","309","G-73447427","Avda. Juan Carlos 1, nº 18  (Residencial Plaza Nueva) 2º Q. Pta 8","30800","","","696634768","","","25/05/2007 0:00:00"
"Peña Almendriqueña","Asociación de Animación Sociocultural","380","G-73352684","Dip. Almendricos, C/ Antonio Campoy","30893","","","600 401 826","","","12/12/2003 0:00:00"
"Asociación Grupo Scout Ciudad del Sol","Asociación de Animación Sociocultural","398","G-73481236","C/ Leonés, Ap. Correos: 20","30800","","","968 464 008","968 463 414                                       ","scoutciudadsol@terra.es","07/06/2006 0:00:00"
"Asociación Veteranos OJE Lorca","Asociación de Animación Sociocultural","470","G-73711509","Camino Vera, 180, bajo","30813","","","968 471 643","968 471 506                                       ","veteranosojelorca@hotmail.com","12/04/2011 0:00:00"
"Asociación Cazalla-Intercultural","Asociación de Animación Sociocultural","474","G-73556987","C/ Corredera, 36","30800","","","637 570 105","","masetorra@euroaccion.com","24/05/2007 0:00:00"
"FUNDACIÓN CEPAIM - ACCIÓN INTEGRAL CON MIGRANTES","Asociación de Animación Sociocultural","543","G-73600553","PLAZA DE SAN JOSÉ, BAJO 15-1","30800","","","671714810 - 968 465467","968823738","pplozano@cepaim.org","30/07/2008 0:00:00"
"ASOCIACIÓN DE ARTE ALTERNATIVO DE LORCA","Asociación de Animación Sociocultural","545","G-73910432","C/ Mariano Miguel del Corral, 7, Esc. 7, Bajo Izq.","30800","","","609522203","","gloryroller@gmail.com","16/01/2016 0:00:00"
