"Codigo","Distrito","Seccion","Mesa","Colegio","Electores","Participac","Particip_1","Particip_2","Votos_Blan","Votos_Efec","Votos_Nulo","X","Y"
"1,00","1,00","1,00","U","AYUNTAMIENTO VESTIBULO","828,00","0,00","0,00","0,00","0,00","0,00","0,00","614648,81","4170720,48"
"2,00","1,00","2,00","U","BIBLIOTECA PILAR BARNES","698,00","0,00","0,00","0,00","0,00","0,00","0,00","614966,03","4170794,57"
"3,00","1,00","3,00","U","CENTRO DE DIA PERSONAS MAYORES","937,00","0,00","0,00","0,00","0,00","0,00","0,00","615251,05","4170750,19"
"5,00","1,00","4,00","U","CENTRO FONDO CULTURAL ESPIN","732,00","0,00","0,00","0,00","0,00","0,00","0,00","614841,85","4170698,06"
"6,00","1,00","5,00","U","ASOCIACION ESPAÑOLA CONTRA EL CANCER","666,00","0,00","0,00","0,00","0,00","0,00","0,00","614568,35","4170320,25"
"7,00","1,00","6,00","U","VESTIBULO CASINO ARTISTICO Y LITERARIO","813,00","0,00","0,00","0,00","0,00","0,00","0,00","614784,67","4170482,76"
"8,00","1,00","7,00","U","CENTRO CULTURAL DE LA CIUDAD LA ZONA","846,00","0,00","0,00","0,00","0,00","0,00","0,00","614903,52","4170462,09"
"9,00","1,00","8,00","U","C.E.I.P. SAN JOSE","741,00","0,00","0,00","0,00","0,00","0,00","0,00","615144,74","4169940,70"
"10,00","1,00","9,00","U","I.E.S. J.IBAÑEZ MARTIN","554,00","0,00","0,00","0,00","0,00","0,00","0,00","614731,75","4169802,78"
"11,00","1,00","10,00","U","LOCAL SOCIAL DEL CALVARIO","963,00","0,00","0,00","0,00","0,00","0,00","0,00","614420,16","4170243,47"
"13,00","1,00","11,00","U","LOCAL SOCIAL DEL BARRIO DE SAN JOSE","989,00","0,00","0,00","0,00","0,00","0,00","0,00","614267,94","4169627,88"
"15,00","1,00","12,00","U","GRUPO ESCOLAR ALFONSO X EL SABIO","590,00","0,00","0,00","0,00","0,00","0,00","0,00","614211,34","4169507,16"
"16,00","1,00","13,00","U","COLEGIO PEREZ DE HITA","906,00","0,00","0,00","0,00","0,00","0,00","0,00","613743,21","4169139,15"
"18,00","1,00","14,00","U","COLEGIO SAGRADO CORAZON","514,00","0,00","0,00","0,00","0,00","0,00","0,00","615194,87","4171155,46"
"19,00","1,00","15,00","U","COLEGIO JUAN GONZALEZ","806,00","0,00","0,00","0,00","0,00","0,00","0,00","615607,21","4171701,26"
"20,00","1,00","16,00","U","COLEGIO SAGRADO CORAZON","932,00","0,00","0,00","0,00","0,00","0,00","0,00","615202,50","4171156,86"
"22,00","1,00","17,00","U","LOCAL DEL PENSIONISTA DE SAN CRISTOBAL","734,00","0,00","0,00","0,00","0,00","0,00","0,00","615112,62","4171208,48"
"23,00","1,00","18,00","A","CENTRO SOCIAL RIO","302,00","0,00","0,00","0,00","0,00","0,00","0,00","614347,35","4171991,36"
"24,00","1,00","18,00","B","LOCAL SOCIAL DE SAN CRISTOBAL","857,00","0,00","0,00","0,00","0,00","0,00","0,00","615089,82","4171324,42"
"25,00","1,00","19,00","U","LOCAL SOCIAL DE LOS ANGELES","1081,00","0,00","0,00","0,00","0,00","0,00","0,00","616199,83","4171729,73"
"27,00","1,00","20,00","U","CENTRO CULTURAL DE LA CIUDAD LA ZONA","827,00","0,00","0,00","0,00","0,00","0,00","0,00","614909,45","4170465,42"
"29,00","1,00","21,00","U","CENTRO CULTURAL DE LA CIUDAD LA ZONA","966,00","0,00","0,00","0,00","0,00","0,00","0,00","614905,66","4170455,18"
"31,00","1,00","22,00","U","C.E.I.P. SAN JOSE","751,00","0,00","0,00","0,00","0,00","0,00","0,00","615148,73","4169939,06"
"32,00","1,00","23,00","U","GRUPO ESCOLAR ALFONSO X EL SABIO","872,00","0,00","0,00","0,00","0,00","0,00","0,00","614217,73","4169518,63"
"33,00","1,00","24,00","U","COLEGIO PEREZ DE HITA","934,00","0,00","0,00","0,00","0,00","0,00","0,00","613740,46","4169133,18"
