nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Federación de Asociaciones de Vecinos, Consumidores y Usuarios de Lorca y Comarca del Alto Guadalentín.","Asociación de Vecinos","1","G-30285845","C/ Centro Social de S. José, Parque de Pepe Lizarán y María Carrillo, Edif. nº 1 Bajo","30800","","","968468805","968468805","",""
"Asociación de Vecinos Barrio de San Cristóbal","Asociación de Vecinos","5","G-30041180"," C/ Mayor, nº15 (Local Social)","30800","","","679560759","","",""
"Asociación de Vecinos de San José ","Asociación de Vecinos","18","G30236897","Parque Pepe Plazas y María Carrillo","30800","","","","","aa.vvsanjoselorca@gmail.com",""
"Asociación de Vecinos Barrio San Juan","Asociación de Vecinos","7","G-30294003","Atrio de San Juan, 5","30800","","","","","",""
"Asociación de Vecinos Barrio de Santa Maria","Asociación de Vecinos","9","G-30286272","C/Sicilia 6","30800","","","666925395","","",""
"Asociación de Vecinos Barrio de San Pedro","Asociación de Vecinos","4","","Placeta del Pipí, 1","30800","","","636251992","","",""
"Asociación de Vecinos de Campillo","Asociación de Vecinos","170","G-30268932","Dip. Campillo, Carretera de Almenara ","30813","","","670 572 729","","aavv.campillo.lorca@hotmail.com",""
"Asociación de Vecinos de Cazalla","Asociación de Vecinos","28","G30402788","Ctra. De Aguilas, buzon 9-A   30800 Lorca","30818","","","607 199 721","","aavvcazalla@gmail.com",""
"Club Lorquino de Carreras de Orientación en la Naturaleza","Asociación Deportiva","71","G-30349427","Alameda de la Constitución s/n","30800","","","649 204 272","","","21/10/1992 0:00:00"
"Asociación de Vecinos de Campo López","Asociación de Vecinos","283","G-30507040","Plaza  Atrio de la Tertulia, 3, buzon 3  ","30815","","","968482507","","","10/04/2004 0:00:00"
"Asociación de Vecinos Dip. de Coy","Asociación de Vecinos","278","G-30221329","Plaza la Cuesta, nº1. Diputación de Coy.    ","30812","","","620 803 835 - 968 499006","","",""
"Asociación de Vecinos de La Paca","Asociación de Vecinos","433","G-30462501","Dip. La Paca, C/ Centro de Salud","30812","","","667244367","","","20/03/1995 0:00:00"
"Asociación de Vecinos de Sutullena","Asociación de Vecinos","20","","Avda. de Sutullena, nº 2 Bar el Canal  30800 Lorca","","","","699302135","","joblama44@hotmail.com",""
"Asociación de Vecinos de Tercia","Asociación de Vecinos","104","G-30201826","Dip. Tercia, C/ de la Encina, s/n","30815","","","669 449 516","","","14/10/1988 0:00:00"
"Asociación de Vecinos de Tiata","Asociación de Vecinos","23","G-30372742","Camino Parador de Los Seguras","30800","","","968468882","","","23/04/1993 0:00:00"
"AAVV La Escucha","Sin Tipo","","","Diputacion La Escucha, buzon 15   30813 Lorca","","","","968436958","","",""
"Asociación de Vecinos de La Torrecilla","Asociación de Vecinos","22","G-30367908","Cmno. Viejo del Puerto, buzon 58  30817 Lorca","30800","","","618498489","","anmifrjo@hotmail.com","20/04/1992 0:00:00"
