nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Juvenil Izquierda Jóven de Lorca","Asociación de Jóvenes","323","G-73416539","Calle Corredera, nº 12, Pl. 2ºH","30800","","","680 507 798","","izquierdajoven@gmail.com","21/06/2005 0:00:00"
"Asociacion Juvenil de Zarcilla de Ramos","Asociación de Jóvenes","449","G-30496186","C/Ancha 9 Zarcilla de Ramos   ","30810","","","661 397 607","","","07/03/1995 0:00:00"
"Asociacion Cultural Juvenil Barrio de San Cristobal","Asociación de Jóvenes","191","G-73021487","C/Eulogio Periago, nº2 ","30800","","","680486011","","acjpasoencarnado@gmail.com",""
"Consejo de la Juventud de Lorca","Asociación de Jóvenes","124","V-30469266","C/Jerez, nº 2, 3º A. ","30800","","","","","",""
"Asociación de óvenes Javier Cervantes","Asociación de Jóvenes","200","G-30581763","Cº Hinojar, buzón 101- La Hoya nº12","30816","","","659  297 343","","","01/01/1991 0:00:00"
"Asociación Juvenil de Estudiantes y Deportistas de Lorca (A.J.E.D)","Asociación de Jóvenes","202","G-30498208","Camino Viejo del Puerto, 75","30800","","","","","","26/01/1996 0:00:00"
"Asociación Juvenil Escala de Lorca","Asociación de Jóvenes","204","G-30460000","Carretera de Caravaca,  nº 1","30800","","","646466712 - 607461645","","",""
"Asociación Juvenil Alfonso X El Sabio","Asociación de Jóvenes","208","G-30455661","C/ Sagrada Familia, 7","30800","","","","","",""
"Asociación Juvenil y Cultural Paso Morao de Lorca","Asociación de Jóvenes","210","G-73232357","C/ Nogalte, 43","30800","","","","","",""
"Asociación Juvenil de Tercia","Asociación de Jóvenes","212","G-30427199","Camino Villaespesa, Dip. Tercia","30815","","","687853960","","","22/05/2003 0:00:00"
"Asociación Juvenil Ramblilla de San Lázaro","Asociación de Jóvenes","35","G-30331474","C/ Almazara de Bravo, nº 16","30800","","","968441588","","",""
"Asociación Juvenil del Instituto de Educación Secundaria Príncipe de Asturias","Asociación de Jóvenes","227","G-73308959","C/ Juan Antonio Dimas, nº 3","30800","","","968444121","968444121","ajiespa@hotmail.com","31/03/2004 0:00:00"
"Asociación Juvenil de La Viña","Asociación de Jóvenes","239","G-30271480","C/ Agricultores","30800","","","667245129","","asociacionjuvenillavina@yahoo.es","17/01/1990 0:00:00"
"Asociación Juvenil ELIOCROCA","Asociación de Jóvenes","67","G-30429567","C/ Corredera, nº 60","30800","","","","","",""
"Asociación Juvenil Naltura, Escalada y Aventura","Asociación de Jóvenes","260","G-73373755","C/ General Eytier, nº 1. Pl. 3º. Pta F","30800","","","617704019","","","19/03/2005 0:00:00"
"Asociación Juvenil Virgen de las Huertas","Asociación de Jóvenes","261","30369656-G","","","","","677190148","","","01/01/1991 0:00:00"
"Asociación de Alumnos de Enseñanzas Medias de Lorca","Asociación de Jóvenes","262","G-73370082","Camino Catanga, nº 8 (Purias)","30813","","","","","","07/06/2004 0:00:00"
"Asociación Juvenil de Tiata","Asociación de Jóvenes","263","G-73374241","Dip. Tiata, Camino Chaparros, Carril Tiznajo, nº 22","30800","","","","","","16/03/2005 0:00:00"
