nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Coro de Cámara Modus Novus","Asociación Cultural","176","G-30366686","C/Eugenio úbeda, 2, -1º I","30800","","","868 926 329 / 616 098 496","","","17/01/1993 0:00:00"
"Cuadrilla de Ánimas de Zarzadilla de Totana","Cultural y tradiciones populares","286","G-30239099","C/ San Miguel, Zarzadilla de Totana, nº 28","30814","","","968494016/620939851/639323612/968460319","","","09/05/1990 0:00:00"
"Asociación Cultural Cuadrilla de Aguaderas","Cultural y tradiciones populares","220","G-73203127","Salón Parroquial de Aguaderas","30815","","","638452201","","mariahernandezbenitez@gmail.com",""
"Asociación Folklore de Avilés,San Nicolás de Bari","Cultural y tradiciones populares","282","G-73405227","C/San Nicolás, 32. 30814. Lorca","30812","","","968491399/618377447","","","01/08/2005 0:00:00"
"Asociación Lorca Santiago","Asociación Cultural","334","","Hueto del Sastre, Casa del Deporte- 30800","30800","","","687 559 253","","lorcasantiago@hotmail.com","22/05/2002 0:00:00"
"Asociación Turístico-Cultural de Lorca CTUR","Asociación Cultural","159","G-73103962","Travesía Castillo Xiquena, nº2","30800","","","616 171 607","","","26/10/2000 0:00:00"
"Asociación Cultural para Conservación de las Viejas Tradiciones de Tercia","Cultural y tradiciones populares","497","G-73618100","Molinas Tercia; Panel 21, buzón 11, nº14","30815","","","629 219 149","","molinajk@hormail.es","05/02/2009 0:00:00"
"Asociación de Amigos de la Egiptología de Lorca","Asociación Cultural","129","G-73027484","Avda Juan Carlos I, 54-4º (particular)","30800","","","620 889 538","","egiptologialorca@gmail.com","25/02/2005 0:00:00"
"Colectivo Segundo Milenio","Asociación Cultural","182","G-30158349","Pasaje del Convento nº4, 3º-C","30800","","","","","","16/09/1988 0:00:00"
"Asociación Cultural Lorca Rock","Cultural y tradiciones populares","214","G-83667956","La Seda, nº 5","30800","","","968 406865","","","15/05/2003 0:00:00"
"Asociación de Cultura y Festejos del Barrio de San Cristóbal","Cultural y tradiciones populares","26","","C/ Nuestra Señora de los Dolores, Bloque 2º - 4º - D","30800","","","","","",""
"Asociación para la Cultura y Tiempo Libre de los Mayores de Lorca","Cultural y tradiciones populares","48","G-30219570","Plaza de la Concordia, 4","30800","","","","","",""
"Peña Cultural Flamenca","Cultural y tradiciones populares","271","G-30246557","C/ Colmenarico, nº 12","30800","","","670063110","","","10/02/1989 0:00:00"
"Asociación Folklórica Cultural San Miguel","Cultural y tradiciones populares","284","G-73415952","C/ Consultorio, nº 9, Zarzadilla de Totana","30814","","","968494141","","","25/11/2005 0:00:00"
"Asociación Bibliotecaria y Documentalista de Lorca","Asociación Cultural","296","G-73418337","C/ Santa Gertrudis (Marchena), Buzón nº 9","30800","","","","","","18/01/2006 0:00:00"
"Asociación de Amigos del Museo Arqueológico de Lorca","Asociación Cultural","127","G-30332399","Plaza de Juan Morenom, s/n","30800","","","968 406 267","","",""
"ASOCIACIÓN CULTURAL TALLER DE MÚSICA","Asociación Cultural","130","G-73058562","C/ Turbinto, nº 7 - 4º E","30800","","","622669941","","jcpepecarrillo@gmail.com","20/10/1999 0:00:00"
"Asociación Cultural Baile de Salón Ciudad del Sol (SODELON)","Asociación Cultural","135","G-73073173","Dip. Campillo, Ctra. de Águilas, 86","30800","","","","","",""
"Asociación Cultural Cuadrilla de Auroros de Lorca","Asociación Cultural","313","G-73444820","C/ Franco, nº 17","30800","","","659659648","","peregil@aol.es","30/01/2006 0:00:00"
