nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"ASOCIACIÓN CIUDADANO 10","Asociación con Fines Asistenciales","514","G-73813917","Camino Viejo del Puerto nº 20. Pl 1º","30800","","","622 711 215","","mangarmore@gmail.com","20/02/2013 0:00:00"
"Asociación de Padres con Hijos con Discapacidad Intelectual de la Comarca de Lorca APANDIS.","Asociación con Fines Asistenciales","229","G-30462204","C/Panaderia, s/n, Urbanización La Viña","30800","","","968 470 727","","mjvicente@apandis.com",""
"Asociacion ILITIA DE LORCA","Asociación con Fines Asistenciales","196","G-73219123","Avda. Santa Clara, nº15,  Edif. Oasis 5ºC   ","30800","","","654 352 709","","ilitia-lorca@hotmail.com",""
"Asociación Lorquina de Padres contra la Droga (NYPACOLD)","Asociación con Fines Asistenciales","163","G-30367353","C/Fernando V, 2   bajo","30800","","","606 344 825","","nypacold@nypacold.com",""
"Asociacion de Animación Sociocultural del Barrio","Asociación con Fines Asistenciales","425","G-73636318","Ctra. de Caravaca, 4 - 5º G","30800","","","646 864 411","","asc.delbarrio@hotmail.com","07/04/2009 0:00:00"
"Asociación Lorca-Activa","Asociación con Fines Asistenciales","277","G-73381485","Alameda Gimeno Castellar s/n. Edificio Noriko. 30800 Lorca","30800","","","637985637","","","15/05/2005 0:00:00"
"Asamblea Local de Cruz Roja","Asociación con Fines Asistenciales","244","","C/ Madre Teresa de Calcuta nº33-30800","30800","","","627 904 946","968477660","lorca@cruzroja.es",""
"Asociación El Buen Camino","Asociación con Fines Asistenciales","267","G-30470728","Camino de Pina, nº4- Diputación de Tercia","30815","","","968 470 162- 696 318 041","968470162","elbuencamino@live.com","16/06/1995 0:00:00"
"Asociación CUIDALOR","Asociación con Fines Asistenciales","213","","C/ Albañilería, nº3- 2ºA","30800","","","968 477 761- 901 707 423","","","21/04/2003 0:00:00"
"Asociación Murciana de Rehabilitación Psicosocial","Asociación con Fines Asistenciales","471","G-73212987","C/ Impresores, nº4","30800","","","618 818 201","868 951 776                                       ","lpelegrin@isdmurcia.org","31/10/2002 0:00:00"
"Sociedad Protectora de Animales Fauna Sol","Asociación con Fines Asistenciales","161","G-73120883","C/ Padre García, 23 bajo","30800","","","968 468 513","","","03/11/2000 0:00:00"
"Asociación de Ayuda a Domicilio DAYLOR","Asociación con Fines Asistenciales","215","G-73248585","C/ Nogalte, nº21. 2º B","30800","","","968 442777","968 442777                                        ","daylor112@hotmail.com","20/05/2003 0:00:00"
"Asociación Española Contra el Cáncer","Asociación con Fines Asistenciales","21","G-28197564","C/ Narciso Yepes, nº7, bajo","30800","","","659 662 239","","fannyb7@gmail.com","01/01/1986 0:00:00"
"Asociación Internacional del Teléfono de la Esperanza (ASITES)","Asociación con Fines Asistenciales","181","G-85590685","C/ Martín Piñero, nº10, ático C","30800","","","968 471 829","","amites.lorca@telefonodelaesperanza.org.","18/04/1972 0:00:00"
"Asociación de Antiguas Alumnas Madres Mercedarias de Lorca","Asociación con Fines Asistenciales","100","G-30531313","C/ Zapatería nº2","30800","","","968 442 311","","ineslorji@hotmail.com","02/10/1996 0:00:00"
"Asociación Murcia Acoge","Asociación con Fines Asistenciales","122","G-30251953","Calle Ana Romero nº2, bajo","30800","","","968 473 272 - 687 282 927","","lorca-acoge@hotmail.com","01/01/1990 0:00:00"
"Asociación de Discapacitados Físicos de Lorca y Comarca -ASDIFILOR-","Asociación con Fines Asistenciales","499","G-73765141","C/ Francisco Escobar Barberán, s/n","30800","","","601 054 085","","asdifilor@hotmail.es","31/05/2012 0:00:00"
"Asociación Murciana de Fibromialgia y Fatiga Crónica, ASMUFIBRÓN.","Asociación con Fines Asistenciales","223","G-73143273","C/ Motor Mondéjar - La Escucha","30813","","","968936915; 687790879; 968439064","","asmufibrom@hotmail.com","01/01/2001 0:00:00"
"Nerea Integración Social","Asociación con Fines Asistenciales","268","G-73373094","C/ Puente La Alberca, nº 6. Esc. 1ª. Pl. 3ª. Pta.A","30800","","","637406422","","","05/05/2005 0:00:00"
"PRODENI (PRO-DERECHOS DEL NIÑO Y DE LA NIÑA)","Asociación con Fines Asistenciales","90","G-29226131","C/ Nogalte, 36 - 1º B","30800","","","","","",""
"Asociación de Familias y Amigos de la Fundación Solidaridad y Reinserción Proyecto Hombre de Lorca","Asociación con Fines Asistenciales","96","","Avda. de Portugal, nº 16","30800","","","","","","12/11/1997 0:00:00"
"Asociación F.E.M.M.E.S.","Asociación con Fines Asistenciales","280","G-30043665","C/ Núñez de Arce, nº 9","30800","","","968 461706","","asociacionfemmes@hotmail.com","19/04/2005 0:00:00"
"Nueva Vida de Lorca","Asociación con Fines Asistenciales","295","G-73407629","C/ Cava, nº 10","30800","","","","","","05/10/2005 0:00:00"
"Asociación de Padres con Hijos con Epilepsia de la Región de Murcia","Asociación con Fines Asistenciales","298","G-73420853","Barrio S. Cristóbal, C/ Abellaneda nº 31","30800","","","616554373 - 677019282","677019282","","05/12/2005 0:00:00"
"Asociación de Atención al Drogodependiente Quiero","Asociación con Fines Asistenciales","136","G-30478556","C/ Fernando V, nº 2","30800","","","968 478 092","","",""
"Asociación de Ayuda y Compañía (AYUDACOM)","Asociación con Fines Asistenciales","304","G-73425290","Alameda de Cervantes, nº 11. Pl. 2 Pta. D","30800","","","628627889","","",""
"Asociación de Ayuda al Jugador de Azar Región de Murcia y otros Puertos Solidarios (AJAREM-PS)","Asociación con Fines Asistenciales","308","G-73103772","Avda. Juan Carlos I, nº 5, Esc. 1ª, Pl 5º, Pta A","30800","","","607297234","","ajarem-online@hotmail.com","11/04/2000 0:00:00"
"Ayuda a los Niños de Bolivia","Asociación con Fines Asistenciales","311","G-73400913","C/ Los Guiraos, nº 15","30800","","","968460487","","","14/10/2005 0:00:00"
"Asociación Araune Mediación","Asociación con Fines Asistenciales","315","G-73484289","Avda. Juan Carlos I, 4º A","30800","","","610949185","","","14/09/2006 0:00:00"
"Asociación Lorquina de Estudios Gerontológicos","Asociación con Fines Asistenciales","316","G-73293920","Alameda Virgen de las Huertas, nº 125","","","","","","","02/12/2003 0:00:00"
"Asociación de Anorexia Nerviosa y Bulimia Región de Murcia (ADANER)","Asociación con Fines Asistenciales","324","G-73246191","Ctra. de Caravaca, Cmno. Yeseros, nº 14","30800","","","968460581","","","03/07/1991 0:00:00"
"Asociación para la Formación y Apoyo Permanente de la Pareja y Familia en la Región de Murcia (ASPAFA)","Asociación con Fines Asistenciales","184","G-30598163","C/ Fajardo el Bravo, 3 - 1º C -Edificio Vulcano-","30800","","","968 478 092","","",""
"Movimiento por la Paz, el Desarme y la Libertad","Asociación con Fines Asistenciales","187","G-30565097","C/ Pérez Casas, nº 96 . 3º, Izq.","30800","","","","","",""
"Khan Kubrat","Asociación con Fines Asistenciales","332","G-73529042","Avda. Juan Carlos I, Nº 8 Bj.","30800","","","968442760","655131322","khankubrat@yahoo.com","18/06/2007 0:00:00"
"Asociación Anímate con Duendes de la Región de Murcia","Asociación con Fines Asistenciales","379","G-73566796","C/ Matadero, nº 2-2º B (Edificio El Barco)","30800","","","620 869 489","","","08/02/2008 0:00:00"
"FUNDACIÓN CHINGUETTI","Asociación con Fines Asistenciales","396","G-30757710","C/ Musso Valiente, 2, 5º D","30800","","","968 175 835","968 137 652                                       ","chinguetti@fundacionchiguetti.com","11/04/2002 0:00:00"
"Asociación Sociedad Activa","Asociación con Fines Asistenciales","407","G-73596538","C/ Cueto, 10","30800","","","636 973 008","","sociedadactivalorca@gmail.com","07/07/2008 0:00:00"
