estado,link_contrataciondelestado,num_expediente,ANIO,tipocontrato,objeto
"ADJ","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=BWMBVxEBje8QK2TEfXGy%2BA%3D%3D","88","2017","Servicios","CONSULTORIA Y ASISTENCIA TÉCNICA AL ÓRGANO DE CONTRATACIÓN DEL EXCMO. AYUNTAMIENTO DE LORCA Y OFICINA TECNICA DE SUPERVISIÓN"
"EV","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VKVg32buuocQK2TEfXGy%2BA%3D%3D","84","2017","Servicios","SERVICIO DE PREVENCION DE RIESGOS LABORALES DEL AYUNTAMIENTO DE LORCA"
"PUB","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yzHXGNTmxboQK2TEfXGy%2BA%3D%3D","78","2017","Suministros","SUMINISTRO EN RÉGIMEN DE ALQUILER DE CUATRO VEHÍCULOS TIPO TURISMO 4X2, CON DESTINO A LA CONCEJALÍA DE SEGURIDAD CIUDADANA, TRAFICO Y FOMENTO"
"EV","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AT5%2FIOKZotIQK2TEfXGy%2BA%3D%3D","77","2017","Suministros","SUMINISTRO EN RÉGIMEN DE ALQUILER DE UN VEHÍCULO TIPO PICK UP DE DOBLE CABINA, CON DESTINO A LA CONCEJALIA DE PROTECCIÓN CIVIL Y EMERGENCIAS "
"EV","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=O2KDLg%2FbamcQK2TEfXGy%2BA%3D%3D","75","2017","Obras","CONSTRUCCIÓN DE COLECTOR DE PLUVIALES DESDE AVENIDA JUAN CARLOS I Y CALLE ESPINOSA POMARES CON CONEXIÓN EN ALAMEDA CERVANTES"
"EV","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=J8zF1ZgG2vcQK2TEfXGy%2BA%3D%3D","66","2017","Obras","ACONDICIONAMIENTO Y MEJORA DE INFRAESTRUCTURAS ENTRE ALAMEDA DE CERVANTES Y CAMINO MARIN"
"ADJ","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=1MeP7TSKiLoQK2TEfXGy%2BA%3D%3D","65","2017","Suministros","SUMINISTRO DE GAS NATURAL PARA LAS INSTALACIONES DEPORTIVAS MUNICIPALES COMPLEJO DEPORTIVO FELIPE VI Y COMPLEJO DEPORTIVO SAN ANTONIO  DEL AYUNTAMIENTO DE LORCA"
"RES","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=d6jWSuhl0y8QK2TEfXGy%2BA%3D%3D","60","2017","Suministros","SUMINISTRO DE APLICACION INFORMATICA PARA LA GESTION DE LA CONTABILIDAD, GESTIÓN TRIBUTARIA, RECAUDACIÓN Y NOMINAS DE AYUNTAMIENTO DE LORCA"
"EV","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=8qJde6VbYqsQK2TEfXGy%2BA%3D%3D","50","2017","Obras","MEJORA DE INFRAESTRUCTURAS Y ADECUACION DE ESPACIOS VARIOS EN PARQUE PEDIATRA PALLARES CACHA DE LORCA"
"RES","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Zyw1d06lsRYQK2TEfXGy%2BA%3D%3D","39","2017","Suministros","SUMINISTRO EN RÉGIMEN DE ALQUILER DE CUATRO VEHÍCULOS TIPO TURISMO 4X2, CON DESTINO A LA CONCEJALÍA DE SEGURIDAD CIUDADANA, TRAFICO Y FOMENTO"
"RES","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=PYLqL6nM7XkQK2TEfXGy%2BA%3D%3D","36","2017","Servicios","PRESTACIÓN DEL SERVICIO PARA UNA AUDITORIA A LA EMPRESA MUNICIPAL DE ECONOMÍA MIXTA  AGUAS DE LORCA S.A."
"RES","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=j8FtB7DDvQMQK2TEfXGy%2BA%3D%3D","38","2016","Servicios","SERVICIO DE TELECOMUNICACIONES DEL AYUNTAMIENTO DE LORCA. TELEFONÍA FIJA, LINEAS ADSL, ACCESO A INTERNET Y TELEFONIA MOVIL"
"RES","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=adJP%2FAZl%2FRoQK2TEfXGy%2BA%3D%3D","27","2016","Suministros","CONTRATO MIXTO DE SERVICIOS Y SUMINISTRO DE UN SISTEMA DE INFORMACIÓN, TRIBUTARIO Y RECAUDATORIO PARA LA GESTIÓN INTEGRAL DE LA GESTIÓN, INSPECCIÓN Y RECAUDACIÓN DE LOS INGRESOS MUNICIPALES Y LOS SERVICIOS TECNOLÓGICOS NECESARIOS PARA SU EXPLOTACIÓN "
